消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
赤坂,174,1,0,0,0,0,0,1,10,5,8,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,87,17,0,0,0,0,0,0,0,2,3,0,0,0
高輪,96,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0,23,0,0,0,0,0,0,0,4,13,0,0,0
品川,223,0,0,0,0,0,0,0,1,0,5,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,36,9,26,0,0,0,0,0,0,0,4,9,0,0,0
大井,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
荏原,63,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
大森,313,0,0,0,0,0,0,0,1,2,1,197,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,36,3,43,0,0,0,0,0,0,0,6,15,0,0,0
田園調布,190,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,2,0,0,0
蒲田,235,0,0,0,0,0,0,0,1,1,2,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9,0,0,0,8,6,13,27,0,0,1,0,0,0,0,2,28,0,0,0
矢口,57,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,2,0,0,0
目黒,394,0,0,0,1,0,3,0,18,9,2,230,0,1,2,2,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,83,12,0,0,0,0,0,0,0,2,6,0,0,0
世田谷,244,0,0,0,0,0,0,0,2,0,0,163,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,12,1,0,0,0,4,15,3,13,0,0,1,0,0,0,0,2,1,0,0,0
玉川,179,0,0,0,0,0,0,0,0,1,0,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,0,4,1,0,0,0,0,21,5,9,0,0,0,0,0,0,0,0,0,0,0,0
成城,155,0,0,0,0,0,0,0,0,2,0,83,0,0,0,2,4,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,2,0,0,2,0,0,6,8,26,0,0,0,0,0,0,0,0,13,0,0,0
渋谷,203,0,0,0,0,0,1,0,11,14,25,18,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,103,10,0,0,0,0,0,0,0,0,3,0,0,0
四谷,52,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,2,15,0,0,0,0,0,0,0,3,3,0,0,0
牛込,193,0,0,0,0,0,1,0,4,0,0,113,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,9,12,40,0,0,0,0,0,0,0,1,7,0,0,0
新宿,206,1,0,0,1,0,2,0,3,2,9,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,4,0,13,5,0,0,0,0,0,0,0,11,0,0,0,0
中野,214,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,2,0,0,0
野方,243,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,137,0,0,0,0,0,0,0,0,2,0,0,0
杉並,498,0,0,0,1,0,0,0,0,0,0,326,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,10,4,142,0,0,0,1,0,0,0,0,1,0,0,0
荻窪,478,0,1,0,0,0,0,0,3,0,1,239,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,11,2,0,0,0,2,15,6,189,0,0,0,0,0,0,0,1,2,0,0,0
小石川,185,0,0,0,0,0,0,0,0,0,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,10,2,58,0,0,0,0,0,0,0,2,4,0,0,0
本郷,136,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,3,35,0,0,0,0,0,0,0,4,7,0,0,0
豊島,199,0,0,0,0,0,0,0,1,0,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,12,0,0,0,0,1,20,6,28,0,0,0,0,0,0,0,0,3,0,0,0
池袋,232,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,44,0,0,0,0,0,0,0,0,5,0,0,0
王子,125,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,1,3,0,0,0
赤羽,277,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,15,4,51,0,0,0,0,0,0,0,1,12,0,0,0
滝野川,219,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,3,0,0,0,0,0,7,0,52,0,0,0,0,0,0,0,1,0,0,0,0
板橋,215,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,5,5,28,0,0,0,0,0,0,0,3,0,0,0,0
志村,185,0,0,0,1,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,2,0,1,17,3,16,0,0,0,0,0,0,1,2,20,0,0,0
練馬,240,0,0,0,0,0,0,0,3,3,0,126,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,2,0,3,10,23,59,0,0,0,0,0,0,0,1,3,0,0,0
光が丘,167,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,0,0,0,2,0,0,0
石神井,509,0,0,0,0,0,0,0,4,10,2,238,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,3,0,0,25,22,196,0,0,0,0,0,0,0,0,0,0,0,0
上野,108,0,0,0,1,0,0,0,0,1,4,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,13,0,0,2,0,2,2,6,33,0,0,0,0,0,0,0,3,2,0,0,0
浅草,42,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,17,6,0,0,0,0,0,0,0,1,4,0,0,0
日本堤,114,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,24,0,0,0,0,0,0,0,0,50,0,0,0
荒川,212,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,3,16,5,51,0,0,0,0,0,0,0,0,14,0,0,0
尾久,194,0,0,0,2,0,0,0,1,2,0,85,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,4,4,0,0,0,2,3,15,67,0,0,0,0,0,0,0,1,3,0,0,0
千住,139,0,0,0,0,0,0,0,1,2,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,2,14,3,25,0,0,0,0,0,0,0,0,4,0,0,0
足立,394,0,0,0,0,0,0,0,0,1,0,345,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,1,0,1,0,0,0,0,2,5,3,22,0,0,0,0,0,0,0,0,7,0,0,0
西新井,388,0,0,0,0,0,0,0,0,0,0,194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,5,0,3,23,0,141,0,0,0,0,0,0,0,4,13,0,0,0
本所,166,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,1,0,0,21,8,44,0,0,0,0,0,0,0,4,4,0,0,0
向島,108,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,4,13,1,12,0,0,0,0,0,0,0,0,7,0,0,0
深川,68,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,6,11,1,0,0,0,0,0,0,0,0,16,25,0,0,0
城東,78,0,0,0,1,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,8,11,0,0,0,0,0,0,0,5,10,0,0,0
本田,390,0,0,0,0,0,0,0,0,1,5,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,0,0,0,8,13,13,61,0,0,0,0,0,0,0,0,0,0,0,0
金町,205,0,0,0,0,0,0,0,2,2,2,150,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,3,0,0,0,0,7,2,20,0,0,1,0,0,0,0,0,1,0,0,0
江戸川,170,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,8,1,25,0,0,0,0,0,0,0,0,5,0,0,0
葛西,148,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,13,0,0,0,0,0,0,0,0,3,0,0,0
小岩,134,0,0,0,0,0,0,0,2,5,3,72,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,22,0,0,0,0,0,0,0,0,1,0,0,0
受託地区,"4,505",2,0,0,2,0,3,0,30,63,26,"2,094",3,1,1,11,13,0,0,1,7,1,0,10,0,3,2,93,33,0,0,3,51,35,0,25,0,64,309,160,1257,0,0,6,0,0,0,0,31,165,0,0,0
立川,449,1,0,0,0,0,1,0,13,4,5,248,2,0,1,1,1,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,1,2,0,11,0,5,22,54,51,0,0,2,0,0,0,0,5,12,0,0,0
武蔵野,111,0,0,0,0,0,0,0,1,1,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,14,5,29,0,0,0,0,0,0,0,0,4,0,0,0
三鷹,373,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,14,4,170,0,0,0,0,0,0,0,0,2,0,0,0
府中,171,1,0,0,0,0,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,1,0,0,0,4,12,3,66,0,0,0,0,0,0,0,2,5,0,0,0
昭島,124,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,28,0,0,0,0,0,0,0,0,21,0,0,0
調布,128,0,0,0,0,0,0,0,0,1,0,57,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,1,44,0,0,1,0,0,0,0,1,9,0,0,0
小金井,112,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,1,5,5,41,0,0,0,0,0,0,0,0,1,0,0,0
小平,278,0,0,0,1,0,0,0,0,19,0,121,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,0,0,16,11,94,0,0,0,0,0,0,0,0,2,0,0,0
東村山,245,0,0,0,1,0,1,0,0,5,1,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,2,17,10,95,0,0,0,0,0,0,0,1,6,0,0,0
国分寺,258,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,0,9,0,89,0,0,0,0,0,0,0,0,3,0,0,0
狛江,130,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,5,0,47,0,0,0,0,0,0,0,0,4,0,0,0
北多摩西部,108,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,29,0,0,0,0,0,0,0,3,5,0,0,0
清瀬,148,0,0,0,0,0,0,0,1,0,0,61,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,15,5,1,49,0,0,0,0,0,0,0,2,7,0,0,0
東久留米,147,0,0,0,0,0,0,0,0,3,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,59,0,0,0,0,0,0,0,0,4,0,0,0
西東京,72,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0
八王子,668,0,0,0,0,0,0,0,7,13,4,372,0,0,0,1,5,0,0,0,4,0,0,3,0,1,0,44,0,0,0,0,10,0,0,3,0,5,33,36,101,0,0,0,0,0,0,0,1,25,0,0,0
青梅,107,0,0,0,0,0,0,0,2,6,2,13,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,2,2,0,0,0,6,13,0,1,0,7,14,1,12,0,0,0,0,0,0,0,5,14,0,0,0
町田,191,0,0,0,0,0,1,0,2,4,1,97,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,1,0,1,0,0,9,16,27,0,0,0,0,0,0,0,0,4,0,0,0
日野,165,0,0,0,0,0,0,0,1,0,0,67,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,10,1,79,0,0,0,0,0,0,0,1,0,0,0,0
福生,250,0,0,0,0,0,0,0,0,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,1,0,14,31,5,94,0,0,3,0,0,0,0,3,8,0,0,0
多摩,140,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,27,0,11,0,0,0,0,0,0,0,5,5,0,0,0
秋川,107,0,0,0,0,0,0,0,1,2,8,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,17,5,8,0,0,0,0,0,0,0,0,21,0,0,0
奥多摩,23,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,2,3,0,0,0
