業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
製造業_パルプ・紙・紙加工品製造業,2,2,-,-,-,2,-,-,-,-,-,-,"101,550",-,-,-
製造業_印刷・同関連業,7,7,-,-,1,6,-,-,-,-,-,-,"7,007,694",-,-,-
製造業_化学工業,13,12,-,-,-,12,-,-,-,-,1,-,"840,620",84000,-,4
製造業_プラスチック製品製造業（別掲を除く）,3,3,-,1,-,2,-,-,-,-,-,67,7118100,-,-,1
製造業_ゴム製品製造業,1,1,-,-,-,1,-,-,-,-,-,-,900,-,-,-
製造業_なめし革・同製品・毛皮製造業,1,1,-,-,-,1,-,-,-,-,-,-,9700,-,-,1
製造業_窯業・土石製品製造業,2,1,-,-,1,-,-,-,-,-,1,15,"606,090",-,-,-
製造業_鉄鋼業,3,3,-,-,-,3,-,-,-,-,-,-,"517,400",-,-,-
製造業_非鉄金属製造業,1,-,-,-,-,-,-,-,-,-,1,-,-,2000000,-,-
製造業_金属製品製造業,8,7,-,1,3,3,-,-,-,-,1,117,"17,486,753",25870,-,7
製造業_一般機械器具製造業,3,3,-,-,-,3,-,-,-,-,-,-,"50,962,900",68000,1,1
製造業_電気機械器具製造業,4,4,-,-,-,4,-,-,-,-,-,-,182100,-,-,-
製造業_情報通信機械器具製造業,3,3,-,-,-,3,-,-,-,-,-,-,8961500,-,-,-
製造業_電子部品・デバイス製造業,3,3,-,-,-,3,-,-,-,-,-,-,98400,-,-,1
製造業_輸送用機械器具製造業,6,4,-,-,-,4,-,1,1,-,-,-,"4,657,630",1900,-,1
製造業_精密機械器具製造業,4,3,-,-,-,3,-,-,-,-,1,-,"12,900",500,-,1
製造業_その他の製造業,3,3,-,-,1,2,-,-,-,-,-,-,281220,800,-,-
電気・ガス・熱供給・水道業,41,4,-,-,-,4,-,1,-,-,36,-,"133,600",123047,-,-
電気・ガス・熱供給・水道業_電気業,35,2,-,-,-,2,-,-,-,-,33,-,50000,111747,-,-
電気・ガス・熱供給・水道業_ガス業,2,1,-,-,-,1,-,1,-,-,-,-,3600,-,-,-
電気・ガス・熱供給・水道業_水道業,4,1,-,-,-,1,-,-,-,-,3,-,"80,000",11300,-,-
情報通信業,26,26,-,-,3,23,-,-,-,-,-,34,"35,610,171",-,-,2
情報通信業_通信業,3,3,-,-,1,2,-,-,-,-,-,-,"611,509",-,-,-
情報通信業_情報サービス業,18,18,-,-,1,17,-,-,-,-,-,34,"33,061,082",-,-,2
情報通信業_インターネット附随サービス業,2,2,-,-,-,2,-,-,-,-,-,-,900,-,-,-
情報通信業_映像・音声・文字情報制作業,3,3,-,-,1,2,-,-,-,-,-,-,"1,936,680",-,-,-
運輸業,97,51,-,-,1,50,-,22,-,-,24,5,935591,"22,317,144",-,3
運輸業_鉄道業,60,40,-,-,-,40,-,3,-,-,17,-,223968,"2,632,314",-,2
運輸業_道路旅客運送業,3,1,-,-,-,1,-,2,-,-,-,-,"3,500",931170,-,-
運輸業_道路貨物運送業,18,1,-,-,-,1,-,16,-,-,1,-,900,18720600,-,1
運輸業_倉庫業,6,6,-,-,-,6,-,-,-,-,-,-,"155,646",-,-,-
運輸業_運輸に附帯するサービス業,10,3,-,-,1,2,-,1,-,-,6,5,"551,577",33060,-,-
卸売・小売業,152,136,1,2,9,124,-,5,-,-,11,492,"138,461,912",732415,-,9
卸売・小売業_各種商品卸売業,2,2,-,-,-,2,-,-,-,-,-,-,"43,600",-,-,1
卸売・小売業_繊維・衣服等卸売業,1,1,-,-,-,1,-,-,-,-,-,-,300,-,-,-
卸売・小売業_飲食料品卸売業,3,2,-,-,1,1,-,1,-,-,-,-,"3,100","13,200",-,-
卸売・小売業_建築材料・鉱物・金属材料等卸売業,2,2,-,-,1,1,-,-,-,-,-,-,6460,-,-,-
卸売・小売業_機械器具卸売業,3,2,-,-,1,1,-,1,-,-,-,-,"2,883,490",10000,-,-
卸売・小売業_その他の卸売業,1,1,-,-,1,-,-,-,-,-,-,148,"74,917,200",-,-,-
卸売・小売業_各種商品小売業,41,38,-,-,-,38,-,-,-,-,3,-,"325,263","20,765",-,1
卸売・小売業_織物・衣服・身の回り品小売業,9,9,-,-,-,9,-,-,-,-,-,-,"19,000",-,-,-
卸売・小売業_飲食料品小売業,52,43,-,1,3,39,-,3,-,-,6,146,"6,553,585",145950,-,5
卸売・小売業_自動車・自転車小売業,5,4,1,-,1,2,-,-,-,-,1,178,"46,244,230",542200,-,-
卸売・小売業_家具・じゅう器・機械器具小売業,6,6,-,1,-,5,-,-,-,-,-,20,"5,494,779",-,-,1
卸売・小売業_その他の小売業,27,26,-,-,1,25,-,-,-,-,1,-,"1,970,905",300,-,1
金融・保険業,23,22,-,-,-,22,-,-,-,-,1,-,"418,940",2100,-,-
金融・保険業_銀行業,12,12,-,-,-,12,-,-,-,-,-,-,"6,940",-,-,-
金融・保険業_協同組織金融業,2,2,-,-,-,2,-,-,-,-,-,-,300,-,-,-
金融・保険業_貸金業・投資業等非預金信用機関,2,2,-,-,-,2,-,-,-,-,-,-,"4,200",-,-,-
金融・保険業_証券業・商品先物取引業,2,2,-,-,-,2,-,-,-,-,-,-,"402,700",-,-,-
金融・保険業_補助的金融業，金融附帯業,1,1,-,-,-,1,-,-,-,-,-,-,"2,000",-,-,-
金融・保険業_保険業（保険媒介代理業・保険サービス業を含む）,4,3,-,-,-,3,-,-,-,-,1,-,"2,800","2,100",-,-
不動産業,34,20,-,-,1,19,-,-,-,-,14,1,"2,796,850","225,700",-,1
不動産業_不動産取引業,4,2,-,-,1,1,-,-,-,-,2,1,"2,562,800",600,-,1
不動産業_不動産賃貸業・管理業,30,18,-,-,-,18,-,-,-,-,12,-,"234,050","225,100",-,-
飲食店・宿泊業,336,327,1,3,39,284,-,-,-,-,9,563,"197,321,591","321,610",-,58
飲食店・宿泊業_一般飲食店,215,212,-,2,20,190,-,-,-,-,3,176,"78,485,018",95910,-,41
飲食店・宿泊業_遊興飲食店,90,86,1,1,16,68,-,-,-,-,4,368,"112,780,183",1700,-,16
飲食店・宿泊業_宿泊業,31,29,-,-,3,26,-,-,-,-,2,19,"6,056,390",224000,-,1
医療・福祉,59,53,-,-,5,48,-,1,-,-,5,-,"36,601,080","85,800",-,6
医療・福祉_医療業,32,29,-,-,2,27,-,-,-,-,3,-,"33,130,930","31,400",-,4
医療・福祉_社会保険・社会福祉・介護事業,27,24,-,-,3,21,-,1,-,-,2,-,"3,470,150",54400,-,2
教育・学習支援業,42,39,-,-,5,34,-,-,-,-,3,192,743355997,-,-,4
教育・学習支援業_学校教育,28,25,-,-,3,22,-,-,-,-,3,183,741120727,-,-,4
教育・学習支援業_その他の教育・学習支援業,14,14,-,-,2,12,-,-,-,-,-,9,2235270,-,-,-
複合サービス事業,2,-,-,-,-,-,-,-,-,-,2,-,-,"1,500",-,-
複合サービス事業_郵便局（別掲を除く）,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
複合サービス事業_協同組合（他に分類されないもの）,1,-,-,-,-,-,-,-,-,-,1,-,-,1500,-,-
サービス業（他に分類されないもの）,239,124,2,-,12,110,-,59,-,-,56,283,81213734,18106751,1,17
サービス業（他に分類されないもの）_専門サービス業（他に分類されないもの）,10,10,-,-,1,9,-,-,-,-,-,17,"8,502,690",-,-,2
サービス業（他に分類されないもの）_学術・開発研究機関,2,2,-,-,-,2,-,-,-,-,-,-,"49,300",-,-,-
サービス業（他に分類されないもの）_洗濯・理容・美容・浴場業,19,17,1,-,3,13,-,-,-,-,2,128,"18,756,438","23,900",-,4
サービス業（他に分類されないもの）_その他の生活関連サービス業,18,6,1,-,1,4,-,2,-,-,10,102,"23,007,850",1039800,-,-
サービス業（他に分類されないもの）_娯楽業,68,29,-,-,1,28,-,-,-,-,39,-,"173,550",6635110,1,1
サービス業（他に分類されないもの）_廃棄物処理業,71,17,-,-,2,15,-,54,-,-,-,-,"11,924,200",8478701,-,4
サービス業（他に分類されないもの）_自動車整備業,9,6,-,-,2,4,-,2,-,-,1,31,"4,135,362",428340,-,3
サービス業（他に分類されないもの）_機械等修理業（別掲を除く）,9,9,-,-,-,9,-,-,-,-,-,-,"123,540",-,-,2
サービス業（他に分類されないもの）_物品賃貸業,4,4,-,-,1,3,-,-,-,-,-,-,"8,762,160",-,-,-
サービス業（他に分類されないもの）_広告業,3,3,-,-,-,3,-,-,-,-,-,-,47400,-,-,-
サービス業（他に分類されないもの）_その他の事業サービス業,17,16,-,-,1,15,-,1,-,-,-,5,"4,857,920",1500000,-,1
サービス業（他に分類されないもの）_政治・経済・文化団体,2,2,-,-,-,2,-,-,-,-,-,-,"856,500",-,-,-
サービス業（他に分類されないもの）_宗教,7,3,-,-,-,3,-,-,-,-,4,-,"16,824",900,-,-
公務（他に分類されないもの）,29,25,-,-,2,23,-,1,-,-,3,5,"79,062,501",500,-,-
公務（他に分類されないもの）_国家公務,4,4,-,-,-,4,-,-,-,-,-,-,"75,853,200",-,-,-
公務（他に分類されないもの）_地方公務,25,21,-,-,2,19,-,1,-,-,3,5,3209301,500,-,-
分類不能の産業,1,1,-,-,-,1,-,-,-,-,-,-,28200,-,-,-
業態分類が適用されないもの,2681,1872,61,67,259,1485,6,102,-,-,701,14114,2468043486,134443498,84,538
