消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
調布,601,441,171,138,1,3,45,40,27,26,44,56,272,339,21,13,10,7
小金井,254,197,65,61,1,1,12,12,5,4,22,24,92,115,4,4,2,0
小平,554,357,138,119,5,15,11,11,16,19,36,47,152,258,26,18,8,9
東村山,382,277,125,100,2,5,11,10,11,18,21,26,149,212,20,16,23,20
国分寺,230,173,84,73,0,0,15,15,8,8,26,23,99,78,5,4,3,3
狛江,164,89,42,38,1,0,11,13,1,1,8,16,65,84,5,3,10,3
北多摩西部,319,247,96,79,2,1,12,12,5,5,18,18,115,122,22,21,19,19
清瀬,244,133,72,50,0,0,4,4,9,9,16,21,38,24,6,7,4,2
東久留米,237,188,77,71,0,0,13,13,11,13,11,12,84,95,18,20,10,8
西東京,425,226,128,100,0,0,15,15,11,12,22,17,223,305,4,2,9,9
八王子,1920,1176,600,549,1,0,103,99,61,64,167,247,666,618,96,69,227,30
青梅,365,268,130,113,2,2,14,12,7,5,40,30,134,229,34,27,28,25
町田,903,652,336,321,3,3,66,64,33,35,59,71,403,535,32,33,9,7
日野,457,274,138,113,0,0,17,16,21,22,34,39,158,171,16,13,7,6
福生,365,332,103,111,3,10,28,26,12,11,23,31,123,185,39,44,47,47
多摩,565,310,184,120,1,0,67,67,20,20,49,75,285,312,11,9,2,1
秋川,142,170,105,114,0,0,5,5,4,2,6,7,49,82,19,25,15,16
奥多摩,13,12,8,8,1,1,0,0,0,0,2,0,4,5,0,0,3,3
