消防署,木造・防火造・準耐火造・計画件数,木造・防火造・準耐火造・棟数,"木造・防火造・準耐火造・建築面積(㎡)","木造・防火造・準耐火造・延べ面積（㎡）",耐火造・計画件数,耐火造・棟数,"耐火造・建築面積(㎡)","耐火造・延べ面積（㎡）","危険物等関係施設・計画件数","危険物等関係施設・棟数","放射性物質関係施設・計画件数","放射性物質関係施設・棟数",その他の対象物計画件数
板橋,0,0,0,0,22,23,66189,408581,2,2,0,0,0
志村,0,0,0,0,69,69,158978,537176,3,3,1,1,5
練馬,0,0,0,0,27,27,26257,167855,0,0,0,0,3
光が丘,1,1,748,1269,21,21,67442,357764,0,0,0,0,0
石神井,2,2,312,516,51,57,103745,420033,0,0,0,0,3
上野,6,7,3757,6303,26,28,89720,427158,0,0,0,0,0
浅草,0,0,0,0,12,12,6730,69914,0,0,0,0,0
日本堤,2,2,455,869,22,22,36494,274242,0,0,0,0,0
荒川,2,2,800,1615,25,26,38742,342109,1,1,0,0,1
尾久,0,0,0,0,12,12,13032,53799,0,0,0,0,2
千住,0,0,0,0,26,26,79436,420077,1,1,0,0,2
足立,2,2,1200,1173,52,57,105748,423647,0,0,0,0,7
西新井,0,0,0,0,46,46,95550,397141,2,4,0,0,5
本所,0,0,0,0,20,21,95202,575514,0,0,0,0,22
向島,0,0,0,0,23,23,54303,358293,1,1,0,0,0
深川,1,1,418,822,92,92,730770,3826500,9,9,2,2,8
城東,0,0,0,0,35,36,139396,754213,3,3,1,1,4
本田,0,0,0,0,35,35,74552,298337,0,0,0,0,0
金町,0,0,0,0,27,30,93514,415816,1,1,1,1,4
江戸川,1,1,244,304,36,36,52109,218916,0,0,0,0,0
葛西,0,0,0,0,29,29,112165,485458,0,0,0,0,0
小岩,0,0,0,0,21,25,64170,196225,0,0,0,0,1
受託地区,20,24,12946,18011,824,887,2829371,11106576,22,23,13,14,62
立川,0,0,0,0,56,56,230675,1167821,0,0,0,0,4
武蔵野,0,0,0,0,38,38,96315,638553,1,1,0,0,4
三鷹,0,0,0,0,18,20,44708,205910,0,0,0,0,0
府中,0,0,0,0,50,50,206156,965198,0,0,1,1,5
昭島,0,0,0,0,27,28,123777,429504,0,0,0,0,0
調布,1,2,1192,1654,43,43,149762,624359,1,1,0,0,1
小金井,2,2,1683,2911,20,20,53524,335430,2,2,1,1,0
小平,1,1,1399,1399,27,33,81034,261202,2,3,1,1,1
東村山,5,5,2692,4113,35,48,92482,301251,1,1,2,2,1
国分寺,1,1,291,291,23,23,55832,290954,1,1,0,0,1
狛江,0,0,0,0,10,10,26872,94727,0,0,1,1,1
北多摩西部,2,2,1109,1839,22,24,113932,318430,0,0,0,0,4
清瀬,0,0,0,0,19,23,65748,185326,0,0,0,0,0
東久留米,0,0,0,0,19,21,80649,261371,0,0,0,0,0
西東京,0,0,0,0,32,32,72441,337172,2,2,0,0,0
八王子,3,6,1561,2147,100,113,334908,1339653,3,3,4,5,2
青梅,0,0,0,0,39,39,79822,260999,1,1,0,0,3
町田,2,2,473,657,79,85,209896,781466,3,3,1,1,19
日野,1,1,320,320,31,37,194957,544969,0,0,2,2,1
福生,0,0,0,0,38,38,126931,340207,4,4,0,0,1
多摩,0,0,0,0,43,47,209840,938161,0,0,0,0,0
秋川,2,2,2226,2680,50,54,169417,463241,0,0,0,0,8
奥多摩,0,0,0,0,5,5,9691,20673,1,1,0,0,6
