発火源,火災件数
電気を使用する道具・装置_電気機器_加湿機　　　　　　　　　　　,4
電気を使用する道具・装置_電気機器_ハロゲンヒータ（暖房器具）,9
電気を使用する道具・装置_電気機器_カーボンヒータ,12
電気を使用する道具・装置_電気機器_白熱電球　　　　　　　　　　,10
電気を使用する道具・装置_電気機器_白熱灯スタンド　　　　　　　,4
電気を使用する道具・装置_電気機器_蛍光灯　　　　　　　　　　　,39
電気を使用する道具・装置_電気機器_蛍光灯スタンド　　　　　　　,1
電気を使用する道具・装置_電気機器_ブラケット　　　　　　　　　,2
電気を使用する道具・装置_電気機器_シーリングライト　　　　　　,1
電気を使用する道具・装置_電気機器_ダウンライト　　　　　　　　,11
電気を使用する道具・装置_電気機器_スポットライト　　　　　　　,1
電気を使用する道具・装置_電気機器_投光器　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_器具外付け安定器　　　　　　,2
電気を使用する道具・装置_電気機器_看板灯　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_ネオン灯配線　　　　　　　　,2
電気を使用する道具・装置_電気機器_電気表示板（盤）　　　　　　,1
電気を使用する道具・装置_電気機器_ペンダントライト,4
電気を使用する道具・装置_電気機器_ハロゲンランプ,6
電気を使用する道具・装置_電気機器_クリップライト,4
電気を使用する道具・装置_電気機器_ＬＥＤ,46
電気を使用する道具・装置_電気機器_スピーカ　　　　　　　　,3
電気を使用する道具・装置_電気機器_ＬＤ，ＣＤ，ＭＤ，ＤＶＤプレーヤ　　　,2
電気を使用する道具・装置_電気機器_テレビゲーム機器,1
電気を使用する道具・装置_電気機器_テレビ（液晶モニタ式）,3
電気を使用する道具・装置_電気機器_洗濯機　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_掃除機　　　　　　　　　　　,15
電気を使用する道具・装置_電気機器_電気あんま器　　　　　　　　,2
電気を使用する道具・装置_電気機器_鑑賞魚用ポンプモータ　　,1
電気を使用する道具・装置_電気機器_洗濯乾燥機　　　　　　　　　,3
電気を使用する道具・装置_電気機器_電気美容器具　　　　　　　　,1
電気を使用する道具・装置_電気機器_電話機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_直流電源装置（ＡＣアダプタ含む）,34
電気を使用する道具・装置_電気機器_コンピュータ（本体）　　　　,18
電気を使用する道具・装置_電気機器_コンピュータ（モニタ）　　,5
電気を使用する道具・装置_電気機器_携帯電話機,17
電気を使用する道具・装置_電気機器_コンピュータ（その他外付機器）,1
電気を使用する道具・装置_電気機器_ネットワーク関係（ルータ等）,3
電気を使用する道具・装置_電気機器_自動販売機　　　　　　　　　,2
電気を使用する道具・装置_電気機器_自動現金支払機　　　　　　　,1
電気を使用する道具・装置_電気機器_電気ドリル　　　　　　　　　,2
電気を使用する道具・装置_電気機器_合成樹脂成型機　　　　　　　,1
電気を使用する道具・装置_電気機器_印刷機　　　　　　　　　　　,7
電気を使用する道具・装置_電気機器_送（排）風機　　　　　　　　,3
電気を使用する道具・装置_電気機器_研磨機（グラインダ含む）,17
電気を使用する道具・装置_電気機器_かくはん機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_電動遊技（戯）機器　　　　　,1
電気を使用する道具・装置_電気機器_電気のこぎり　　　　　　　　,2
電気を使用する道具・装置_電気機器_旋盤　　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_分析装置　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_レーザー加工機　　　　　　　,3
電気を使用する道具・装置_電気機器_空気圧縮機　　　　　　　　　,3
電気を使用する道具・装置_電気機器_水中ポンプ　　　　　　　　　,2
電気を使用する道具・装置_電気機器_充電式電池　　　　　　　　　,111
電気を使用する道具・装置_電気機器_蓄電池　　　　　　　　　　　,6
電気を使用する道具・装置_電気機器_リチウム電池　　　　　　　　,3
電気を使用する道具・装置_電気機器_無停電電源装置,1
電気を使用する道具・装置_電気機器_太陽光発電装置,2
電気を使用する道具・装置_電気機器_燃料ポンプ,2
電気を使用する道具・装置_電気機器_包装機（結束機を含む）　　　,1
電気を使用する道具・装置_電気機器_レーザーメス,1
電気を使用する道具・装置_電気機器_裁断機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_ニッケルカドミウム電池　　　,1
電気を使用する道具・装置_電気機器_クリプトン電球,1
電気を使用する道具・装置_電気機器_乾電池　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_食器洗器　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_コンピュータ（プリンタ）　,2
電気を使用する道具・装置_電気機器_歯科治療器　　　　　　　　　,1
電気を使用する道具・装置_電気機器_インターホン　　　　　　　　,2
電気を使用する道具・装置_電気機器_映写機　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_充電式カミソリ　　　　　　　,1
電気を使用する道具・装置_電気機器_Ｘ線装置（周辺機器を含む）　,2
電気を使用する道具・装置_電気機器_ＣＤ，ＭＤ，ＤＶＤレコーダ　　　　,1
電気を使用する道具・装置_電気機器_メタルハライドランプ,2
電気を使用する道具・装置_電気機器_床みがき機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_冷水機　　　　　　　　　　　,2
電気を使用する道具・装置_電気装置,93
電気を使用する道具・装置_電気装置_整流器　　　　　　　　　　　,6
電気を使用する道具・装置_電気装置_充電器　　　　　　　　　　　,3
電気を使用する道具・装置_電気装置_トランス　　　　　　　　　　,10
電気を使用する道具・装置_電気装置_抵抗器　　　　　　　　　　　,2
電気を使用する道具・装置_電気装置_単相モータ　　　　,2
電気を使用する道具・装置_電気装置_三相モータ　　　　　　　　,7
電気を使用する道具・装置_電気装置_セルモータ　　　　　　　　,7
電気を使用する道具・装置_電気装置_オルタネータ　　　　　　　,7
電気を使用する道具・装置_電気装置_直流モータ,3
電気を使用する道具・装置_電気装置_コンデンサ（低圧）　　　　,6
電気を使用する道具・装置_電気装置_制御盤　　　　　　　　　　　,23
電気を使用する道具・装置_電気装置_分電盤　　　　　　　　　　　,15
電気を使用する道具・装置_電気装置_発電機　　　　　　　　　　　,2
電気を使用する道具・装置_電灯・電話等の配線,186
電気を使用する道具・装置_電灯・電話等の配線_配電線（高圧）　　　　　　　,23
電気を使用する道具・装置_電灯・電話等の配線_配電線（低圧）　　　　　　　,5
電気を使用する道具・装置_電灯・電話等の配線_き電線（高圧）　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_引込線（高圧）　　　　　　　,4
電気を使用する道具・装置_電灯・電話等の配線_引込線（低圧）　　　　　　　,7
電気を使用する道具・装置_電灯・電話等の配線_屋外線　　　　　　　　　　　,13
電気を使用する道具・装置_電灯・電話等の配線_屋側線　　　　　　　　　　　,2
電気を使用する道具・装置_電灯・電話等の配線_屋内線　　　　　　　　　　　,42
電気を使用する道具・装置_電灯・電話等の配線_変電設備内配線　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_コード　　　　　　　　　　　,53
電気を使用する道具・装置_電灯・電話等の配線_交通機関内配線　　　　　　　,30
電気を使用する道具・装置_電灯・電話等の配線_ディストリビュータ　　　,4
電気を使用する道具・装置_電灯・電話等の配線_コンタクトブレーカ　　　　,1
電気を使用する道具・装置_配線器具関連,324
電気を使用する道具・装置_配線器具関連_タイムスイッチ　　　　　　　,1
電気を使用する道具・装置_配線器具関連_タンブラースイッチ　　　　　,9
電気を使用する道具・装置_配線器具関連_ロータリースイッチ　　　　　,1
電気を使用する道具・装置_配線器具関連_押しボタンスイッチ　　　　　,2
電気を使用する道具・装置_配線器具関連_街頭スイッチ　　　　　　　　,2
電気を使用する道具・装置_配線器具関連_電磁開閉器　　　　　　　　　,2
電気を使用する道具・装置_配線器具関連_配線用遮断器　　　　　　　　,12
電気を使用する道具・装置_配線器具関連_電流制限器　　　　　　　　　,4
電気を使用する道具・装置_配線器具関連_漏電遮断器　　　　　　　　　,16
電気を使用する道具・装置_配線器具関連_継電器　　　　　　　　　　　,4
電気を使用する道具・装置_配線器具関連_高圧カットアウト　　　　　　,2
電気を使用する道具・装置_配線器具関連_断路器（ジスコン）　　　　　,1
電気を使用する道具・装置_配線器具関連_真空遮断器　　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_電磁接触器,10
電気を使用する道具・装置_配線器具関連_気中開閉器,1
電気を使用する道具・装置_配線器具関連_避雷器,3
電気を使用する道具・装置_配線器具関連_差し込みプラグ　　　　　　　,82
電気を使用する道具・装置_配線器具関連_コンセント　　　　　　　　　,86
電気を使用する道具・装置_配線器具関連_電灯付家具、コンセント付家具,5
電気を使用する道具・装置_配線器具関連_テーブルタップ　　　　　　　,28
電気を使用する道具・装置_配線器具関連_マルチタップ　　　　　　　　,13
電気を使用する道具・装置_配線器具関連_コードコネクタ　　　　　　,17
電気を使用する道具・装置_配線器具関連_引掛ローゼット　　　　　　　,2
電気を使用する道具・装置_配線器具関連_アダプタ　　　　　　　　　,2
電気を使用する道具・装置_配線器具関連_ジョイントボックス　　　　　,4
電気を使用する道具・装置_配線器具関連_積算電力計　　　　　　　　　,4
電気を使用する道具・装置_配線器具関連_柱上低圧開閉器　　　　　　　,2
電気を使用する道具・装置_配線器具関連_調光器,4
電気を使用する道具・装置_配線器具関連_箱開閉器　　　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_ランプレセプタクル　　　　　,1
電気を使用する道具・装置_配線器具関連_キーソケット　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_ガス開閉器,1
電気を使用する道具・装置_漏電により発熱した部分,9
電気を使用する道具・装置_漏電により発熱した部分_金属と接地線の接触部　　　　,7
電気を使用する道具・装置_漏電により発熱した部分_金属と金属の接触部　　　　　,1
電気を使用する道具・装置_漏電により発熱した部分_雨樋の支え釘　　　　　　　　,1
電気を使用する道具・装置_静電スパーク,1
電気を使用する道具・装置_静電スパーク_帯電衣類のスパーク　　　　　　　　　,1
ガス・油等を燃料とする道具装置,665
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置,476
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスこんろ,34
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガステーブル,274
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型ガスこんろ　　　　　　　,81
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスレンジ　　　　　　　　　,16
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型レンジ　　　　　　　　　,21
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスオーブン　　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス炊飯器　　　　　　　　　,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_瞬間湯沸器,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_給湯器,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス鉄板焼器　　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_コーヒー焙煎機　　　　　　　,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスロースタ（無煙を除く）,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_焼鳥炉　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスハースグリラ　　　　,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_フライヤ,5
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_無煙ガスロースタ,5
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ゆで麺機,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスストーブ,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスファンヒータ,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス衣類乾燥機　　　　　　　,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_風呂がま,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_築造かまど　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_回転かまど　　　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ボイラ,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスペイント溶解用ケトル　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス溶解がま　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置,78
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスこんろ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガステーブル,17
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型ガスこんろ　　　　　　　,9
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_簡易型ガスこんろ　　　　　　,28
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型レンジ　　　　　　　　　,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスロースタ（無煙を除く）,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_無煙ガスロースタ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスストーブ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_簡易型ガスストーブ　　　　　,5
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガス溶接器　　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガス切断器　　　　　　　　　,10
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスバーナ　　　　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置,41
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アルコールランプ　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アルコールこんろ　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ストーブ,12
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ファンヒータ,6
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_代用ストーブ　　　　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ランプ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_内燃機関　　　　　　　　　　,8
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_エンジンカッタ　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_溶解がま　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_発電機　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油バーナ　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_エア・ヒータ　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_ごみ焼却炉　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_スチームクリーナ　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_火葬用かまど　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_ジーゼルコンプレッサ　　　,1
ガス・油等を燃料とする道具装置_その他,70
ガス・油等を燃料とする道具装置_その他_アセチレンガス切断器　　　　,12
ガス・油等を燃料とする道具装置_その他_ブタンガストーチバーナ　　,58
固体燃料を用いる道具装置,42
固体燃料を用いる道具装置_炭・たどん（練炭）燃料,27
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_木炭七厘こんろ　　　　　　　,7
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_練炭七厘こんろ　　　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_魚焼き炉　　　　　　　　　　,2
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_焼肉炉　　　　　　　　　　　,8
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_無煙ロースタ,2
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_炭おこし　　　　　　　　　　,4
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_ピザ釜　　　　　　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_木炭火鉢　　　　　　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_練炭火鉢　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料,15
固体燃料を用いる道具装置_薪（鉋屑等）燃料_こんろ　　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_かまど　　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_薫製炉・器　　　　　　　　　,2
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ピザ釜　　　　　　　　　　,4
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ストーブ　　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_風呂がま　　　　　　　　　　,2
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ごみ焼却炉　　　　　　　　　,4
火種,910
火種_裸火,129
火種_裸火_炭火,15
火種_裸火_線香（仏具用）　　　　　　　,10
火種_裸火_蚊取線香　　　　　　　　　　,12
火種_裸火_たき火　　　　　　　　　　　,5
火種_裸火_焼却火　　　　　　　　　　　,27
火種_裸火_ロウソク　　　　　　　　　　,19
火種_裸火_灯明　　　　　　　　　　　　,21
火種_裸火_火のついた紙　　　　　　　　,13
火種_裸火_火のついたゴミ　　　　　　　,1
火種_裸火_火のついた油等　　　　　　　,2
火種_裸火_火のついた布　　　　　　　　,2
火種_裸火_灸用もぐさ類　　　　　　　　,2
火種_たばことマッチ,732
火種_たばことマッチ_たばこ　　　　　　　　　　　,585
火種_たばことマッチ_マッチ　　　　　　　　　　　,30
火種_たばことマッチ_ライター　　　　　　　　　　,117
火種_火花,32
火種_火花_ブレーキの火花　　　　　　　,1
火種_火花_金属と非金属の衝撃火花　　　　,26
火種_火花_金属と金属の衝撃火花　　　　,5
火種_再燃により出火しやすいもの,17
火種_再燃により出火しやすいもの_取灰　　　　　　　　　　　　,1
火種_再燃により出火しやすいもの_消したはずの炭　　　　　　　,3
火種_再燃により出火しやすいもの_寝具類　　　　　　　　　　　,5
火種_再燃により出火しやすいもの_消したはずの木材・廃材　　　,1
火種_再燃により出火しやすいもの_消したはずの紙・製品　　　　,1
火種_再燃により出火しやすいもの_消したはずの薪　　　　　　　,1
火種_再燃により出火しやすいもの_消したはずの繊維・製品　　　,3
火種_再燃により出火しやすいもの_すす　　　　　　　　　　　　,1
火種_再燃により出火しやすいもの_くず類　　　　　　　　　　　,1
高温の固体,56
高温の固体_高温の気体で熱せられたもの,33
高温の固体_高温の気体で熱せられたもの_排気管　　　　　　　　　　　,24
高温の固体_高温の気体で熱せられたもの_触媒装置　　　　　　　　　　,7
高温の固体_高温の気体で熱せられたもの_排気ダクト　　　　　　　　　,1
高温の固体_高温の気体で熱せられたもの_煙道　　　　　　　　　　　　,1
高温の固体_摩擦により熱せられたもの,19
高温の固体_摩擦により熱せられたもの_軸受（ベアリング含む）,7
高温の固体_摩擦により熱せられたもの_クラッチ　　　　　　　　　　,2
高温の固体_摩擦により熱せられたもの_ブレーキライニング　　　　　,4
高温の固体_摩擦により熱せられたもの_ベルト　　　　　　　　　　　,2
高温の固体_摩擦により熱せられたもの_切削工具　　　　　　　　　　,1
高温の固体_摩擦により熱せられたもの_ミキシングロール圧延機　　　,1
高温の固体_摩擦により熱せられたもの_車輪　　　　　　　　　　　　,1
高温の固体_摩擦により熱せられたもの_ブレーキドラム,1
高温の固体_高温の固体,4
高温の固体_高温の固体_熱せられた金属製品　　　　　,3
高温の固体_高温の固体_溶融金属　　　　　　　　　　,1
自然発火を起こしやすいもの,24
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質,6
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_アルキルリチウム　　　　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_その他の金属の水素化物　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_石灰　　　　　　　　　　　　,3
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_アルカリ金属・アルカリ土類金,1
自然発火を起こしやすいもの_酸化性液体,2
自然発火を起こしやすいもの_酸化性液体_過塩素酸　　　　　　　　　　,1
自然発火を起こしやすいもの_酸化性液体_ハロゲン化合物　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの,16
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布　　　　　　　　　　　　,6
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布製品　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_揚げかす　　　　　　　　　　,6
自然発火を起こしやすいもの_その他の自然発火しやすいもの_飼料　　　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_揚げ玉　　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_合成樹脂　　　　　　　　　　,1
危険物品,9
危険物品_火薬類,9
危険物品_火薬類_花火（玩具用）　　　　　　　,7
危険物品_火薬類_発煙筒　　　　　　　　　　　,2
天災,16
天災_雷,8
天災_雷_直接雷,2
天災_雷_間接雷,6
天災_レンズ類,8
天災_レンズ類_凸レンズ,4
天災_レンズ類_凹面鏡,4
不明,720
不明_不明,720
不明_不明_不明,720
