消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
矢口,-,1,-,8,-,1,-,-,-,-,9,25,125,172,28,0,0,9,25,126,176,28
目黒,-,3,-,18,-,7,-,3,1,-,22,70,180,210,25,1,0,24,66,188,214,26
世田谷,-,3,1,16,-,10,-,1,1,-,20,69,196,239,22,1,0,19,65,204,247,23
玉川,1,3,2,23,-,5,-,1,-,-,10,44,208,258,22,0,0,10,47,215,264,25
成城,-,30,-,13,-,6,-,3,-,-,10,50,427,362,58,0,0,10,50,441,363,57
渋谷,-,1,-,13,-,4,-,2,-,-,91,67,443,398,4,0,0,91,69,445,391,4
四谷,-,-,-,1,-,2,-,1,-,-,14,9,65,277,14,0,0,14,9,65,283,14
牛込,-,3,-,8,-,5,-,1,-,-,28,57,226,141,123,0,0,27,54,226,138,124
新宿,-,5,-,10,-,3,-,3,-,-,66,68,357,420,31,0,0,64,67,357,426,31
中野,-,1,-,5,-,4,-,2,-,-,13,24,81,97,20,0,0,12,24,85,99,20
野方,-,-,-,5,-,3,-,2,2,-,5,24,66,253,28,2,0,5,23,66,250,28
杉並,-,1,-,12,-,9,-,2,2,-,10,39,132,362,37,2,0,11,40,134,359,37
荻窪,-,2,-,12,-,4,-,-,-,-,6,25,116,236,38,0,0,6,28,119,235,38
小石川,-,-,-,6,-,1,-,2,-,-,27,34,176,383,79,0,0,26,34,176,382,79
本郷,-,-,-,6,-,2,-,1,1,-,32,44,216,544,9,1,0,31,43,218,537,9
豊島,-,4,-,6,-,3,-,-,1,-,25,30,266,249,21,1,0,25,31,271,251,22
池袋,-,-,-,4,-,2,-,1,1,-,5,12,74,190,21,1,0,4,14,74,194,20
王子,-,2,1,6,-,3,-,1,-,-,17,56,83,120,46,0,0,17,57,87,118,48
赤羽,-,3,-,6,-,10,-,2,2,-,18,90,141,222,68,2,0,17,94,150,221,68
滝野川,-,-,-,4,3,3,-,2,1,-,21,49,226,218,50,1,0,21,46,202,219,50
板橋,-,4,-,12,-,2,-,9,4,-,19,62,101,369,88,4,0,19,63,103,369,87
志村,-,21,20,21,-,14,-,3,3,-,43,260,737,742,250,3,0,47,267,749,743,249
練馬,-,13,-,8,-,6,-,1,-,-,10,35,108,255,48,0,0,10,35,109,258,48
光が丘,-,20,-,12,-,7,-,2,1,-,9,58,132,94,21,1,0,8,60,139,87,21
石神井,-,18,-,13,-,8,-,1,1,-,9,37,148,241,40,1,0,10,38,154,237,41
上野,-,4,-,8,-,1,-,2,3,-,8,21,85,219,37,3,0,8,21,86,216,37
浅草,-,-,-,5,-,1,-,6,3,-,4,40,61,136,33,3,0,4,39,60,138,33
日本堤,-,-,-,3,-,-,-,8,11,-,7,26,111,310,28,11,0,7,28,115,314,28
荒川,-,22,1,7,1,6,-,5,1,-,7,51,256,236,205,1,0,7,50,273,237,203
尾久,-,24,-,6,-,-,-,7,2,-,6,35,1255,124,64,2,0,6,37,1258,128,65
千住,-,8,2,8,-,9,-,4,1,-,18,58,556,182,93,1,0,18,59,557,185,94
足立,-,55,1,28,-,11,-,3,1,-,19,121,314,564,155,1,0,20,117,325,556,156
西新井,-,77,4,22,-,26,-,3,1,-,34,145,280,361,381,1,0,33,146,283,360,378
本所,-,-,-,13,-,2,-,7,3,-,19,63,191,316,142,3,0,18,65,193,320,141
向島,-,87,-,9,-,5,-,6,3,-,12,78,457,383,239,4,0,13,79,453,386,238
深川,2,21,11,16,1,37,-,6,4,-,159,315,681,844,365,4,0,168,175,571,846,362
城東,-,33,2,15,4,30,-,3,1,-,61,186,332,538,570,1,0,61,192,356,540,572
本田,-,41,1,15,-,12,-,10,2,-,34,121,272,811,162,2,0,32,123,273,808,163
金町,-,9,-,9,-,11,-,-,-,-,13,47,98,208,50,0,0,12,47,98,210,51
江戸川,-,38,1,22,1,12,-,10,3,-,15,126,373,516,80,3,0,15,124,375,519,80
葛西,-,82,2,16,1,16,-,3,-,-,28,119,240,123,107,0,0,30,121,245,119,105
小岩,-,25,-,12,-,8,-,5,-,-,10,67,262,144,77,0,0,12,70,272,144,77
受託地区,4,500,41,292,7,232,0,21,15,0,723,2065,7913,9008,1362,15,0,722,2069,8051,9010,1333
立川,-,42,2,15,4,16,-,1,-,-,54,107,271,810,53,0,0,58,107,280,814,51
武蔵野,-,-,-,3,-,5,-,1,-,-,14,29,63,357,13,0,0,14,21,64,357,13
三鷹,-,6,2,7,-,7,-,-,2,-,39,74,210,212,48,2,0,39,74,227,209,48
府中,-,9,-,15,-,16,-,-,3,-,53,151,353,555,57,3,0,49,155,358,559,56
昭島,-,14,1,10,-,13,-,1,-,-,40,105,211,466,36,0,0,38,111,214,465,35
調布,-,3,-,15,2,7,-,1,3,-,29,74,433,274,47,3,0,30,78,437,271,48
小金井,-,-,-,4,-,4,-,-,-,-,5,21,74,113,10,0,0,5,22,74,116,10
小平,1,39,2,10,-,6,-,1,-,-,26,56,274,398,77,0,0,25,55,279,394,77
東村山,-,7,-,5,-,8,-,-,-,-,17,53,143,364,58,0,0,17,56,147,362,55
国分寺,-,1,1,9,-,2,-,-,-,-,5,24,78,200,10,0,0,4,22,79,204,10
狛江,-,-,-,4,-,2,-,-,1,-,4,13,36,54,27,1,0,4,13,36,55,27
北多摩西部,-,30,-,17,-,14,-,-,2,-,21,84,258,411,99,2,0,21,80,258,405,99
清瀬,-,2,-,2,1,1,-,-,-,-,11,22,54,143,18,0,0,10,22,53,139,18
東久留米,-,35,-,8,-,10,-,-,-,-,10,31,22,230,40,0,0,11,32,25,236,40
西東京,-,5,2,5,-,4,-,-,1,-,26,38,129,110,20,1,0,25,38,129,113,20
八王子,2,182,3,49,-,36,-,7,-,-,87,397,898,1053,165,0,0,88,395,901,1051,161
青梅,-,24,9,19,-,14,-,2,1,-,49,143,381,721,171,1,0,51,143,405,723,164
町田,1,42,3,29,-,10,-,2,-,-,31,130,1632,466,47,0,0,32,133,1662,466,43
日野,-,8,-,13,-,7,-,1,-,-,34,101,295,314,42,0,0,34,101,290,312,44
福生,-,21,12,20,-,26,-,3,2,-,66,221,1401,892,160,2,0,68,224,1424,888,149
多摩,-,2,-,11,-,5,-,-,-,-,43,57,154,211,23,0,0,37,57,154,211,23
秋川,-,22,3,17,-,17,-,1,-,-,47,109,488,534,129,0,0,50,105,500,539,129
奥多摩,-,6,1,5,-,2,-,-,-,-,12,25,55,120,12,0,0,12,25,55,121,13
島しょ地区,1,57,49,34,23,6,-,-,-,10,57,535,793,-,-,0,10,57,537,805,-,-
