消防署,計,消火栓・小計,消火栓・公設・上水,消火栓・公設・工業水,消火栓・私設,防火水槽・貯水池等・小計,防火水槽・貯水池等・所管内・防火水槽・100m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3未満,防火水槽・貯水池等・所管内・貯水池・100m3以上,防火水槽・貯水池等・所管内・貯水池・40m3以上,防火水槽・貯水池等・所管内・貯水池・40m3未満,防火水槽・貯水池等・所管内・受水槽・飲料用,防火水槽・貯水池等・所管内・受水槽・その他,防火水槽・貯水池等・所管外・防火水槽・100m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3未満,防火水槽・貯水池等・所管外・貯水池・100m3以上,防火水槽・貯水池等・所管外・貯水池・40m3以上,防火水槽・貯水池等・所管外・貯水池・40m3未満,防火水槽・貯水池等・所管外・受水槽・飲料用,防火水槽・貯水池等・所管外・受水槽・その他,その他小計,プール,"河川／みぞ","池／ほり",海,井戸,その他
城東,2428,1568,1560,0,8,623,56,72,0,0,0,0,0,0,33,362,15,6,0,0,69,10,237,47,134,4,52,0,0
本田,3974,2911,2906,0,5,869,72,148,1,0,0,0,0,0,21,572,10,0,1,0,38,6,194,48,145,1,0,0,0
金町,2441,1827,1819,0,8,524,47,117,1,0,0,0,0,0,27,273,2,5,3,0,47,2,90,32,52,6,0,0,0
江戸川,3090,2540,2540,0,0,382,63,107,1,0,0,0,0,0,7,162,6,0,0,0,33,3,168,37,130,1,0,0,0
?西,2315,1774,1773,0,1,460,51,31,0,0,0,0,0,0,13,327,5,1,0,1,29,2,81,32,47,2,0,0,0
小岩,2785,2321,2321,0,0,348,70,107,0,0,0,0,0,0,8,138,2,1,0,1,19,2,116,34,82,0,0,0,0
受託地区計,61618,46238,45582,0,656,13625,616,5349,258,4,4,5,25,23,555,5932,121,56,70,25,484,98,1755,882,722,151,0,0,0
立川,4260,3071,2959,0,112,1088,96,297,13,0,0,0,0,0,66,570,6,3,4,0,27,6,101,55,32,14,0,0,0
武蔵野,1436,973,961,0,12,437,71,176,13,1,0,1,1,4,38,120,2,0,1,0,6,3,26,26,0,0,0,0,0
三鷹,2208,1731,1690,0,41,437,29,141,4,1,0,0,7,2,10,178,4,4,9,1,42,5,40,30,5,5,0,0,0
府中,3945,3003,2944,0,59,858,30,267,5,0,0,0,0,5,28,464,11,2,2,4,36,4,84,59,19,6,0,0,0
昭島,2013,1525,1494,0,31,448,9,147,4,0,0,0,1,0,19,241,1,8,5,0,11,2,40,25,13,2,0,0,0
調布,2817,2047,2015,0,32,716,64,276,12,0,0,0,0,0,58,271,2,2,2,1,20,8,54,42,8,4,0,0,0
小金井,1453,1153,1151,0,2,268,8,134,2,0,0,0,0,0,5,98,0,3,10,0,7,1,32,23,7,2,0,0,0
小平,2374,1639,1608,0,31,648,26,256,4,0,0,0,3,1,36,267,5,0,0,0,49,1,87,41,40,6,0,0,0
東村山,1812,1270,1250,0,20,461,8,192,12,0,0,0,0,0,32,165,6,2,0,4,40,0,81,30,46,5,0,0,0
国分寺,1599,1206,1203,0,3,360,3,130,6,0,0,0,0,0,20,181,2,2,1,2,13,0,33,19,9,5,0,0,0
狛江,976,737,716,0,21,219,5,73,0,0,0,0,0,0,21,117,0,1,0,0,2,0,20,17,3,0,0,0,0
北多摩西部,2112,1607,1585,0,22,458,27,253,12,0,0,0,0,0,10,130,4,0,3,0,18,1,47,40,1,6,0,0,0
清瀬,903,619,599,0,20,243,15,111,1,0,0,0,0,1,10,70,0,0,1,2,32,0,41,16,25,0,0,0,0
東久留米,1312,1083,1076,0,7,206,14,120,10,0,0,1,2,0,8,50,1,0,0,0,0,0,23,23,0,0,0,0,0
西東京,2050,1561,1559,0,2,450,59,220,3,0,0,0,0,0,37,102,1,5,2,0,21,0,39,36,2,1,0,0,0
八王子,8947,7020,6968,0,52,1607,21,705,34,0,1,1,2,1,22,728,17,3,6,0,51,15,320,141,148,31,0,0,0
青梅,4410,3533,3525,0,8,770,3,189,4,0,1,0,0,0,4,532,16,9,3,2,2,5,107,37,51,19,0,0,0
町田,5905,4419,4350,0,69,1285,77,542,34,1,0,0,5,1,73,465,19,0,2,1,61,4,201,79,107,15,0,0,0
日野,2626,1992,1967,0,25,529,6,167,12,0,0,1,4,0,13,282,1,6,11,4,9,13,105,33,65,7,0,0,0
福生,2942,2148,2139,0,9,733,29,452,16,1,0,0,0,2,19,147,8,5,8,3,22,21,61,40,19,2,0,0,0
多摩,2472,1674,1630,0,44,688,1,7,1,0,0,0,0,0,20,639,7,0,0,0,12,1,110,34,69,7,0,0,0
秋川,2503,1869,1836,0,33,542,12,338,48,0,2,1,0,6,6,109,7,1,0,1,3,8,92,32,47,13,0,0,0
奥多摩,543,358,357,0,1,174,3,156,8,0,0,0,0,0,0,6,1,0,0,0,0,0,11,4,6,1,0,0,0
