消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（１）,（六）・イ・（２）,（六）・イ・（３）,（六）・イ・（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
田園調布,5135,0,0,0,1,0,1,0,44,68,3,2787,1,0,6,23,28,0,0,0,2,13,0,64,2,17,27,117,4,0,3,10,60,114,0,22,0,60,158,21,112,704,659,0,0,4
蒲田,6817,1,0,0,5,1,3,0,100,78,104,2817,4,10,4,13,23,0,0,0,2,6,2,20,0,30,10,58,3,0,6,13,68,339,0,68,4,176,325,40,261,900,1319,0,0,4
矢口,4866,0,1,0,1,0,1,0,71,74,27,2101,1,1,5,21,25,0,0,0,0,4,0,25,0,25,8,33,2,0,3,4,53,243,0,38,0,56,128,9,199,713,993,0,0,1
目黒,9865,1,0,0,8,0,3,0,150,85,23,5146,2,10,15,27,39,0,0,0,3,10,0,74,4,22,17,181,12,0,9,7,62,63,3,22,0,55,288,40,300,1766,1393,0,0,25
世田谷,11749,3,2,1,11,0,4,0,163,137,31,6614,5,1,18,44,42,0,0,2,2,11,0,121,7,21,33,285,7,1,13,15,126,19,1,29,0,60,265,40,220,2082,1302,0,0,11
玉川,7701,7,0,0,3,0,2,1,62,101,4,3679,4,2,10,26,58,0,0,0,0,19,0,65,1,14,22,173,6,0,3,6,90,44,1,20,0,64,292,58,190,1185,1482,0,0,7
成城,5614,3,0,0,4,0,0,0,46,99,5,2848,3,12,7,18,107,0,0,0,6,11,0,65,5,35,23,159,7,0,2,1,70,25,8,17,0,82,247,25,113,785,759,0,0,17
渋谷,12100,10,2,0,5,1,6,0,337,284,182,3943,14,21,5,13,18,0,0,0,1,5,1,55,2,10,14,236,8,0,4,26,121,14,3,29,0,33,351,32,1128,3646,1527,1,0,12
四谷,2979,5,0,0,2,0,3,1,152,22,52,749,7,2,1,9,5,0,0,0,0,2,0,6,0,2,0,32,2,2,0,9,70,2,1,14,0,27,103,10,411,799,465,0,0,12
牛込,4508,0,0,1,1,0,2,6,125,30,40,1917,14,1,0,15,8,0,0,0,0,2,0,9,1,5,1,114,6,0,3,9,82,57,0,14,0,33,107,49,366,785,699,0,0,6
新宿,11280,4,2,1,14,5,26,0,220,118,328,5003,0,5,6,23,13,0,0,0,3,6,1,24,1,18,11,243,10,6,5,17,94,69,1,23,0,63,308,33,584,2206,1776,4,0,6
中野,6603,3,0,1,5,0,0,0,93,63,50,3629,2,1,5,20,18,0,0,0,1,6,0,32,0,10,11,91,3,1,9,11,63,40,0,17,0,20,138,22,220,826,1192,0,0,0
野方,6762,0,0,0,3,0,0,0,41,49,27,3587,0,0,6,26,38,0,1,0,0,6,1,46,2,20,13,58,4,0,5,7,69,20,0,10,0,31,120,24,95,629,1812,0,0,12
杉並,12180,1,5,0,11,0,3,1,162,120,21,6047,2,1,13,43,50,0,0,0,3,15,1,85,1,32,27,194,7,0,9,5,166,56,2,27,0,83,273,49,281,1596,2777,0,0,11
荻窪,7983,0,2,0,4,0,1,0,86,89,7,3734,3,2,9,31,62,0,0,0,8,18,0,74,3,34,16,136,6,0,3,5,77,46,0,18,0,49,162,19,192,1048,2028,0,0,11
小石川,4180,0,1,0,0,0,0,0,28,14,7,2014,2,3,0,7,13,0,0,0,2,1,0,32,0,4,17,195,11,0,3,10,82,31,0,14,0,41,96,15,300,460,765,0,0,12
本郷,4149,0,0,1,1,0,0,1,79,19,34,1580,3,4,18,5,7,0,0,0,0,1,0,22,0,2,4,223,7,1,1,9,59,11,0,29,0,21,114,19,465,684,708,0,0,17
豊島,5845,1,0,2,11,1,7,1,92,62,136,2355,0,2,6,17,12,0,0,0,0,1,0,31,0,12,7,173,3,6,2,10,80,15,1,44,0,48,173,27,424,1236,841,1,0,5
池袋,6335,1,0,2,6,0,4,0,87,44,191,3212,1,1,13,13,23,0,0,0,3,2,0,36,0,24,9,101,4,7,2,8,32,43,1,22,0,31,121,23,215,1023,1023,1,0,6
王子,3690,1,0,0,5,0,2,0,50,44,16,1686,3,9,2,12,15,0,0,0,0,6,0,23,3,17,10,81,3,0,3,8,21,55,0,44,0,63,147,40,138,574,609,0,0,0
赤羽,3702,2,0,1,2,0,0,1,72,38,26,1715,4,6,6,8,18,0,0,0,3,3,0,24,0,8,14,56,1,0,3,5,69,124,0,36,0,89,177,40,111,490,548,0,0,2
滝野川,3744,1,0,0,2,0,0,0,19,21,32,1730,0,2,4,12,7,0,0,0,2,1,0,18,0,9,10,71,5,1,4,3,34,62,0,14,0,50,102,16,154,405,942,0,0,11
板橋,7075,0,0,0,13,0,1,0,65,80,22,3688,4,0,31,26,27,0,0,0,1,7,0,51,1,17,18,111,5,0,8,6,35,96,0,32,0,59,170,22,167,1023,1289,0,0,0
志村,11104,2,0,1,14,0,2,0,89,189,6,5249,14,18,16,21,70,0,0,0,5,16,0,66,0,38,31,154,8,0,12,12,72,703,0,123,0,329,422,59,333,1105,1921,0,0,4
練馬,6823,1,2,1,6,0,1,0,78,95,9,3851,0,8,6,16,61,0,0,1,1,10,1,56,1,24,12,114,3,0,3,10,53,45,1,32,0,54,140,30,138,887,1071,0,0,1
光が丘,3939,0,1,0,3,0,1,0,43,100,0,1798,1,15,3,8,36,0,0,0,1,15,0,18,1,15,29,67,2,0,2,5,28,77,0,59,0,90,148,39,111,425,797,0,0,1
石神井,7012,0,0,0,4,0,4,0,78,155,3,3164,12,13,7,31,83,0,0,0,19,37,4,81,6,55,41,139,10,0,4,4,43,47,16,32,0,63,262,38,145,823,1588,0,0,1
上野,4904,3,4,6,12,0,5,1,212,165,242,1227,0,0,5,4,3,0,0,0,0,2,1,14,0,5,3,39,27,2,7,15,147,24,0,44,0,43,142,20,642,1044,762,0,0,32
浅草,3396,0,0,0,0,0,0,1,72,61,124,914,0,3,0,5,3,0,0,0,0,0,0,10,0,7,2,21,0,0,2,8,74,25,0,38,0,50,69,10,468,634,795,0,0,0
日本堤,2705,4,1,1,8,0,2,3,117,54,246,738,1,4,2,3,10,3,0,0,0,1,5,5,0,5,3,7,0,125,4,3,57,24,0,19,0,53,61,23,87,591,429,1,0,5
荒川,4416,1,0,0,4,0,1,1,23,49,88,1716,1,8,9,4,13,0,0,0,1,7,0,23,0,10,4,69,3,0,9,13,84,162,0,38,0,154,180,52,218,588,878,0,0,5
尾久,2521,0,0,0,5,0,0,0,13,28,12,1016,2,3,7,14,15,0,0,0,2,1,0,14,1,14,3,37,1,0,6,2,17,140,0,12,0,57,78,19,75,338,589,0,0,0
千住,3398,0,0,3,2,0,3,0,68,34,18,1346,5,0,5,15,11,0,0,0,0,3,0,30,0,8,3,58,0,0,6,5,46,197,0,38,0,197,193,65,148,404,487,0,0,0
足立,10130,0,0,2,11,0,6,0,134,290,26,5183,11,8,20,60,78,0,0,0,9,22,0,68,2,61,48,121,2,0,8,7,64,284,0,66,0,408,336,56,318,1082,1339,0,0,0
西新井,6219,1,0,0,8,0,1,0,92,190,18,2501,7,2,20,36,42,0,0,0,2,20,1,50,2,28,38,93,1,0,5,9,66,432,0,55,0,423,256,26,211,558,1021,0,0,4
本所,6533,2,0,3,7,0,2,13,70,47,189,2519,1,2,8,9,10,0,0,0,1,3,1,23,1,9,4,59,5,0,4,8,55,158,0,43,0,130,151,22,378,1111,1484,0,0,1
向島,3363,1,0,0,1,0,0,0,22,53,106,1340,3,1,5,15,25,0,0,0,3,6,2,23,0,15,7,57,2,0,6,4,55,304,1,43,0,115,157,21,108,345,516,0,0,1
深川,7522,17,1,1,9,0,1,3,111,96,50,2424,3,7,5,1,14,0,0,0,0,2,3,47,2,13,15,114,12,0,5,29,66,262,5,155,0,416,540,47,527,1055,1462,0,0,2
城東,5455,4,0,0,6,0,3,1,65,68,40,1857,8,3,3,17,19,0,0,0,4,4,0,35,1,20,20,88,4,0,11,7,31,287,2,115,8,414,328,65,393,806,717,0,0,1
本田,8689,0,1,2,15,0,2,3,75,173,127,3796,4,1,12,54,48,0,0,1,8,27,0,68,3,67,25,119,3,0,16,6,56,449,0,59,0,233,284,64,210,1041,1635,0,0,2
金町,4722,0,0,3,11,0,2,4,87,106,13,2391,8,12,13,21,39,0,0,0,3,11,0,46,5,26,17,75,2,3,6,3,60,100,0,25,0,72,168,68,96,610,614,0,0,2
江戸川,5127,1,2,1,8,0,0,3,45,130,17,2270,1,4,11,19,27,0,0,0,4,12,0,45,7,24,29,87,3,0,10,0,49,299,0,39,0,214,166,19,135,628,810,0,0,8
葛西,5271,3,0,0,6,0,1,0,41,99,34,3067,1,3,8,8,38,0,0,0,1,4,0,39,1,19,16,79,3,0,7,2,20,89,0,66,0,138,178,34,116,603,545,0,0,2
小岩,5692,0,0,0,8,0,1,0,57,115,27,2817,3,0,8,49,40,0,0,0,3,10,0,49,3,40,31,83,1,0,11,2,51,96,0,25,0,123,156,27,149,780,926,0,0,1
受託地区,112197,58,26,13,123,4,33,25,2209,3267,722,40783,108,127,302,634,874,9,2,28,310,396,6,1302,95,887,547,3596,179,2,60,130,1256,4230,20,815,10,3473,7575,1065,3424,11558,21682,0,0,232
立川,7991,12,2,0,8,0,2,1,169,202,35,3101,3,8,24,51,65,0,0,4,22,18,1,78,7,46,36,254,5,0,3,14,85,180,0,74,6,246,505,175,341,1054,1134,0,0,20
武蔵野,4964,1,3,2,3,2,3,0,105,113,9,1882,2,1,8,28,25,0,0,0,4,11,0,48,0,23,15,200,11,1,5,1,33,20,0,17,0,25,227,36,117,924,1058,0,0,1
三鷹,5814,0,2,0,2,0,0,0,63,134,2,2205,1,0,16,20,44,0,0,1,7,17,0,61,2,29,38,124,9,0,1,2,51,88,1,37,1,119,372,39,158,463,1697,0,0,8
府中,6879,12,2,1,4,0,0,0,77,143,17,2758,3,7,15,27,50,0,0,1,9,19,0,76,5,31,39,220,13,1,3,12,59,215,0,39,0,210,443,80,252,642,1386,0,0,8
昭島,3017,3,2,0,7,0,1,0,65,103,12,1081,3,2,9,25,19,2,0,0,1,13,1,35,2,25,19,71,2,0,4,4,19,183,0,30,0,119,239,20,119,247,523,0,0,7
調布,6803,8,2,1,3,0,0,0,94,117,5,2846,6,2,7,23,41,0,0,0,12,14,0,74,5,48,22,197,9,0,4,11,78,86,15,35,3,176,489,29,137,777,1420,0,0,7
小金井,3255,0,0,0,2,0,1,0,46,72,1,1169,2,0,8,15,17,0,0,0,7,7,0,50,3,22,12,169,32,0,0,2,33,16,0,5,0,39,163,10,52,313,979,0,0,8
小平,5117,0,0,0,7,0,0,1,93,152,4,1972,5,3,8,36,52,2,0,1,17,14,0,68,4,42,33,246,9,0,2,5,30,89,0,33,0,161,384,16,127,456,1040,0,0,5
東村山,3726,0,1,0,6,0,2,0,67,97,20,1247,14,4,11,24,27,1,0,1,7,11,1,72,1,32,24,91,4,0,0,9,42,140,0,21,0,111,262,46,110,424,794,0,0,2
国分寺,3523,0,0,0,0,0,0,0,60,82,5,1280,2,2,2,21,19,1,0,0,8,6,0,40,3,32,10,63,3,0,1,1,30,19,0,16,0,76,232,48,84,425,943,0,0,9
狛江,2610,0,0,0,1,0,0,0,22,34,5,1093,4,0,3,9,17,0,0,0,2,6,0,21,0,14,4,41,0,0,2,0,24,36,0,15,0,39,103,26,35,218,828,0,0,8
北多摩西部,4065,0,1,1,8,0,4,1,108,195,22,998,1,1,16,40,34,0,0,1,10,14,0,51,9,43,22,97,7,0,4,4,29,355,0,27,0,248,322,20,157,341,865,0,0,9
清瀬,2316,0,0,0,3,0,0,0,48,52,0,771,5,2,23,12,14,1,0,0,10,5,0,35,5,16,20,64,4,0,0,0,33,43,0,12,0,86,172,30,48,237,560,0,0,5
東久留米,2985,0,1,0,3,0,1,0,41,115,7,986,0,0,6,18,22,0,0,0,11,9,0,29,5,24,21,91,2,0,2,0,45,125,0,24,0,145,245,23,100,258,622,0,0,4
西東京,4345,1,1,0,6,0,0,0,58,111,8,1834,2,0,7,27,37,0,0,0,5,17,0,52,2,34,30,123,1,0,3,2,40,56,0,69,0,74,179,21,87,597,857,0,0,4
八王子,13802,9,1,5,21,1,3,18,334,479,103,5347,24,26,56,86,127,2,0,7,68,84,2,132,10,142,56,657,8,0,7,12,201,700,0,139,0,377,717,116,488,1420,1803,0,0,14
青梅,4160,1,0,0,7,0,1,0,119,167,49,991,7,3,25,42,42,0,0,2,6,24,0,82,8,56,13,86,14,0,0,16,80,403,1,32,0,262,477,125,152,301,528,0,0,38
町田,9544,9,2,1,8,0,6,0,236,381,30,3594,5,18,27,65,98,0,2,1,32,56,0,129,11,88,63,379,10,0,11,6,132,214,3,62,0,202,615,54,261,1052,1660,0,0,21
日野,5048,0,1,0,4,0,1,0,59,102,3,1936,2,5,12,29,30,0,0,7,33,11,0,49,2,46,20,122,9,0,0,11,67,189,0,39,0,82,351,32,151,410,1225,0,0,8
福生,5253,1,3,0,13,0,5,3,190,230,16,1464,7,31,1,11,30,0,0,0,10,15,1,53,4,34,23,88,8,0,0,5,42,679,0,32,0,321,384,57,226,470,782,0,0,14
多摩,3502,1,0,1,2,1,2,0,36,59,3,1797,4,0,14,11,16,0,0,2,3,7,0,27,2,16,12,110,4,0,2,1,27,32,0,39,0,47,183,12,94,322,611,0,0,2
秋川,3031,0,2,1,5,0,1,1,93,123,183,426,6,12,4,13,43,0,0,0,24,17,0,38,5,41,15,96,11,0,4,7,71,338,0,17,0,297,416,40,120,180,359,0,0,22
奥多摩,447,0,0,0,0,0,0,0,26,4,183,5,0,0,0,1,5,0,0,0,2,1,0,2,0,3,0,7,4,0,2,5,5,24,0,1,0,11,95,10,8,27,8,0,0,8
