,本部・消防署・出張所名,郵便番号,所在,電話番号,緯度,経度
61,第三消防方面本部,154-0024,東京都世田谷区三軒茶屋二丁目33番21号,334180119,35.6408676,139.6663241
62,目黒消防署,153-0064,東京都目黒区下目黒六丁目1番22号,337100119,35.6298932,139.7003679
63,目黒消防署中目黒出張所,153-0051,東京都目黒区上目黒二丁目9番14号,337930119,35.6418841,139.7000912
64,目黒消防署碑文谷出張所,152-0003,東京都目黒区碑文谷二丁目11番14号,337120119,35.6233175,139.6858645
65,目黒消防署八雲出張所,152-0023,東京都目黒区八雲三丁目29番14号,337230119,35.6154139,139.6639481
66,目黒消防署大岡山出張所,152-0033,東京都目黒区大岡山一丁目37番15号,337240119,35.6114799,139.6798674
67,世田谷消防署,154-0024,東京都世田谷区三軒茶屋二丁目33番21号,334120119,35.6409333,139.6664183
68,世田谷消防署北沢出張所,155-0031,東京都世田谷区北沢二丁目3番11号,334190119,35.6601308,139.6687305
69,世田谷消防署宮の坂出張所,156-0051,東京都世田谷区宮坂二丁目15番3号,334270119,35.6507397,139.6406499
70,世田谷消防署松原出張所,156-0043,東京都世田谷区松原六丁目26番21号,333250119,35.6589607,139.6518399
71,世田谷消防署三宿出張所,154-0005,東京都世田谷区三宿一丁目14番5号,334140119,35.6464053,139.6758856
72,世田谷消防署上北沢出張所,156-0057,東京都世田谷区上北沢一丁目14番2号,333040119,35.6627508,139.6280949
73,玉川消防署,158-0091,東京都世田谷区中町三丁目1番19号,337050119,35.614812,139.648615
74,玉川消防署奥沢出張所,158-0083,東京都世田谷区奥沢三丁目29番3号,337200119,35.6015867,139.672612
75,玉川消防署用賀出張所,158-0096,東京都世田谷区玉川台一丁目13番10号,337000119,35.6246766,139.6329031
76,玉川消防署新町出張所,154-0014,東京都世田谷区新町一丁目22番11号,334250119,35.6286321,139.6493099
77,成城消防署,157-0066,東京都世田谷区成城一丁目21番14号,334160119,35.6355979,139.6011468
78,成城消防署千歳出張所,157-0071,東京都世田谷区千歳台四丁目29番9号,334840119,35.6589869,139.6126585
79,成城消防署烏山出張所,157-0062,東京都世田谷区南烏山六丁目14番12号,333070119,35.6682001,139.5963993
80,渋谷消防署,150-0041,東京都渋谷区神南一丁目8番3号,334640119,35.6641531,139.7011601
81,渋谷消防署恵比寿出張所,150-0013,東京都渋谷区恵比寿四丁目19番24号,334400119,35.6438714,139.713167
82,渋谷消防署松涛出張所,150-0046,東京都渋谷区松涛一丁目25番14号,334690119,35.6594273,139.6919879
83,渋谷消防署代々木出張所,151-0071,東京都渋谷区本町一丁目6番6号,333780119,35.6804462,139.6846404
84,渋谷消防署富ヶ谷出張所,151-0063,東京都渋谷区富ケ谷一丁目29番17号,334650119,35.6647994,139.6881608
85,渋谷消防署原宿出張所,151-0053,東京都渋谷区代々木一丁目2番15号,333750119,35.6800197,139.7023458
86,第四消防方面本部,169-0072,東京都新宿区大久保三丁目14番26号,332090119,35.7082778,139.7086234
87,四谷消防署,160-0004,東京都新宿区四谷三丁目10番地,333570119,35.6882286,139.7200184
88,四谷消防署新宿御苑出張所,160-0022,東京都新宿区新宿一丁目8番3号,333500119,35.6886493,139.7113855
89,牛込消防署,162-0815,東京都新宿区筑土八幡町5番16号,332670119,35.703593,139.739457
90,牛込消防署早稲田出張所,162-0041,東京都新宿区早稲田鶴巻町504番6号,332040119,35.7061111,139.7246493
91,新宿消防署,169-0073,東京都新宿区百人町三丁目29番4号,333710119,35.706902,139.694753
92,新宿消防署落合出張所,161-0032,東京都新宿区中落合三丁目7番1号,339500119,35.720606,139.690319
93,新宿消防署戸塚出張所,169-0072,東京都新宿区大久保三丁目14番26号,332050119,35.7083074,139.7086129
94,新宿消防署大久保出張所,160-0022,東京都新宿区新宿六丁目27番43号,332070119,35.697587,139.708571
95,新宿消防署西新宿出張所,160-0023,東京都新宿区西新宿三丁目7番38号,333420119,35.6861203,139.6898378
96,中野消防署,164-0011,東京都中野区中央三丁目25番3号,333660119,35.6978494,139.6734975
97,中野消防署南中野出張所,164-0014,東京都中野区南台二丁目47番8号,332290119,35.6861512,139.6711498
98,中野消防署宮園出張所,164-0011,東京都中野区中央二丁目18番24号,333610119,35.6999138,139.6826262
99,中野消防署東中野出張所,164-0002,東京都中野区上高田一丁目1番7号,333680119,35.7098394,139.6815543
100,野方消防署,165-0021,東京都中野区丸山二丁目21番1号,333300119,35.7233659,139.6520284
101,野方消防署大和出張所,165-0034,東京都中野区大和町二丁目2番15号,333380119,35.7151684,139.6535275
102,野方消防署鷺宮出張所,165-0032,東京都中野区鷺宮五丁目24番25号,339700119,35.7270932,139.6318569
103,野方消防署江古田出張所,165-0022,東京都中野区江古田二丁目2番7号,333890119,35.7253256,139.6686871
104,杉並消防署,166-0004,東京都杉並区阿佐ヶ谷南三丁目4番3号,333930119,35.7004291,139.6336938
105,杉並消防署永福出張所,168-0073,東京都杉並区下高井戸二丁目21番37号,333280119,35.6690739,139.641519
106,杉並消防署堀ノ内出張所,166-0013,東京都杉並区堀ノ内二丁目12番17号,333130119,35.6879571,139.6551513
107,杉並消防署馬橋出張所,166-0003,東京都杉並区高円寺南三丁目8番1号,333140119,35.6979095,139.6441848
108,杉並消防署阿佐ヶ谷出張所,166-0001,東京都杉並区阿佐ヶ谷北四丁目29番10号,333370119,35.7129624,139.638009
109,杉並消防署高円寺出張所,166-0003,東京都杉並区高円寺南五丁目33番8号,333160119,35.7052546,139.6551407
110,杉並消防署高井戸出張所,168-0072,東京都杉並区高井戸東三丁目32番2号,333350119,35.6864834,139.6192426
111,荻窪消防署,167-0034,東京都杉並区桃井三丁目4番1号,333950119,35.7115452,139.6061824
112,荻窪消防署西荻出張所,167-0053,東京都杉並区西荻南二丁目2番4号,333310119,35.6974632,139.5994818
113,荻窪消防署久我山出張所,168-0082,東京都杉並区久我山二丁目11番7号,333320119,35.6843066,139.5985582
114,荻窪消防署天沼出張所,167-0032,東京都杉並区天沼一丁目46番4号,333910119,35.7116558,139.6282941
115,荻窪消防署下井草出張所,167-0022,東京都杉並区下井草三丁３０番１０号,333960119,35.7224832,139.6241508
116,第五消防方面本部,171-0021,東京都豊島区西池袋二丁目37番8号,335900119,35.7278943,139.7069529
117,小石川消防署,112-0001,東京都文京区白山三丁目3番1号,338120119,35.719072,139.742792
118,小石川消防署老松出張所,112-0015,東京都文京区目白台一丁目20番14号,339430119,35.7152079,139.7233658
119,小石川消防署大?出張所,112-0012,東京都文京区大塚四丁目45番14号,339450119,35.7219462,139.7318267
120,本郷消防署,113-0033,東京都文京区本郷七丁目1番11号,338150119,35.7078737,139.762981
121,本郷消防署駒込出張所,113-0021,東京都文京区本駒込三丁目1番7号,338230119,35.7256442,139.7537406
122,本郷消防署根津出張所,113-0032,東京都文京区弥生一丁目2番19号,338240119,35.7205367,139.759917
123,豊島消防署,170-0013,東京都豊島区東池袋三丁目19番20号,339850119,35.729751,139.721951
124,豊島消防署巣鴨出張所,170-0002,東京都豊島区巣鴨四丁目30番8号,339490119,35.7388391,139.7327283
125,豊島消防署目白出張所,171-0031,東京都豊島区目白二丁目10番3号,339890119,35.7201086,139.7110869
126,池袋消防署,171-0021,東京都豊島区西池袋二丁目37番8号,339880119,35.7280505,139.7069989
127,池袋消防署長崎出張所,171-0051,東京都豊島区長崎三丁目7番5号,339550119,35.72861049,139.6885909
128,池袋消防署高松出張所,171-0042,東京都豊島区高松一丁目2番4号,339590119,35.7349788,139.6994674
129,王子消防署,114-0002,東京都北区王子四丁目28番1号,339270119,35.7631456,139.7368348
130,王子消防署十条出張所,114-0032,東京都北区中十条一丁目7番10号,339050119,35.7582135,139.7294981
131,王子消防署東十条出張所,114-0001,東京都北区東十条三丁目6番6号,339190119,35.7663849,139.7304024
132,赤羽消防署,115-0044,東京都北区北区赤羽南一丁目10番4号,339020119,35.77771329,139.7231051
133,赤羽消防署志茂出張所,115-0042,東京都北区志茂二丁目34番15号,339010119,35.7805981,139.7298593
134,赤羽消防署浮間出張所,115-0051,東京都北区浮間三丁目13番15号,339660119,35.7870338,139.7001517
135,赤羽消防署西が丘出張所,115-0056,東京都北区西が丘一丁目48番6号,339090119,35.7680532,139.7113327
136,赤羽消防署赤羽台出張所,115-0053,東京都北区赤羽台二丁目4番41号,339070119,35.7776371,139.7134593
137,滝野川消防署,114-0024,東京都北区西ケ原二丁目1番1号,339160119,35.74468299,139.7448717
138,滝野川消防署三軒家出張所,114-0023,東京都北区滝野川五丁目39番3号,339400119,35.7476908,139.7237787
139,滝野川消防署田幡出張所,114-0012,東京都北区田端新町一丁目20番12号,338940119,35.7385371,139.7683611
140,第十消防方面本部,179-0081,東京都練馬区北町三丁目10番14号,339360119,35.7684109,139.6536714
141,板橋消防署,173-0004,東京都板橋区板橋二丁目60番15号,339640119,35.7501229,139.711152
142,板橋消防署常盤台出張所,174-0072,東京都板橋区南常盤台二丁目5番12号,339580119,35.7585312,139.6865568
143,板橋消防署小茂根出張所,173-0037,東京都板橋区小茂根二丁目14番10号,339740119,35.7490933,139.6819301
144,志村消防署,174-0044,東京都板橋区相生町17番1号,353980119,35.7771078,139.6787266
145,志村消防署蓮根出張所,174-0043,東京都板橋区坂下二丁目32番28号,339600119,35.7843089,139.6815982
146,志村消防署成増出張所,175-0094,東京都板橋区成増一丁目30番12号,339380119,35.7770465,139.6301269
147,志村消防署赤塚出張所,175-0092,東京都板橋区赤塚三丁目1番10号,339300119,35.7769497,139.6402278
148,志村消防署志村坂上出張所,174-0056,東京都板橋区志村一丁目10番15号,339650119,35.7737256,139.6974684
149,志村消防署高島平出張所,175-0082,東京都板橋区高島平三丁目12番10号,339750119,35.7861232,139.6578681
150,練馬消防署,176-0012,東京都練馬区豊玉北五丁目1番8号,339940119,35.737312,139.655874
151,練馬消防署平和台出張所,179-0083,東京都練馬区平和台四丁目9番3号,339370119,35.75639779,139.6574407
152,練馬消防署貫井出張所,176-0021,東京都練馬区貫井五丁目17番4号,339900119,35.7427784,139.6330737
153,光が丘消防署,179-0072,東京都練馬区光が丘二丁目9番1号,359970119,35.759014,139.631192
154,光が丘消防署北町出張所,179-0081,東京都練馬区北町三丁目10番14号,339310119,35.7684181,139.6536756
155,石神井消防署,177-0042,東京都練馬区下石神井五丁目16番8号,339950119,35.729589,139.599876
156,石神井消防署関町出張所,177-0051,東京都練馬区関町北一丁目5番14号,339200119,35.7235671,139.578272
157,石神井消防署大泉出張所,178-0063,東京都練馬区東大泉六丁目34番44号,339250119,35.7483046,139.5858983
158,石神井消防署大泉学園出張所,178-0061,東京都練馬区大泉学園町一丁目7番11号,339780119,35.7591771,139.5889441
159,石神井消防署石神井公園出張所,177-0041,東京都練馬区石神井町二丁目16番1号,339040119,35.7454679,139.607729
160,第六消防方面本部,111-0051,東京都台東区蔵前二丁目10番9号,338510119,35.7036792,139.7935477
161,第六消防方面本部消防救助機動部隊訓練場,123-0865,東京都足立区新田三丁目37番1号,353900119,35.7690002,139.752231
162,上野消防署,110-0015,東京都台東区東上野五丁目２番９号,338410119,35.712102,139.781029
163,上野消防署下谷出張所,110-0004,東京都台東区下谷二丁目１３番１号,338740119,35.7217331,139.783781
164,上野消防署谷中出張所,110-0001,東京都台東区谷中一丁目１番２５号,338270119,35.7199475,139.7686294
165,浅草消防署,111-0043,東京都台東区駒形一丁目5番8号,338470119,35.707441,139.794014
166,浅草消防署浅草橋出張所,111-0053,東京都台東区浅草橋三丁目10番5号,338630119,35.7013969,139.7840763
167,日本堤消防署,111-0031,東京都台東区千束四丁目1番1号,338750119,35.7233899,139.798021
168,日本堤消防署二天門出張所,111-0032,東京都台東区浅草二丁目35番9号,338730119,35.7142473,139.7977666
169,日本堤消防署今戸出張所,111-0024,東京都台東区今戸二丁目33番3号,338450119,35.7222576,139.8046688
170,荒川消防署,116-0002,東京都荒川区荒川二丁目1番13号,338060119,35.735233,139.784236
171,荒川消防署音無川出張所,116-0013,東京都荒川区西日暮里二丁目19番9号,338910119,35.7280221,139.7716975
172,荒川消防署汐入出張所,116-0003,東京都荒川区南千住八丁目2番4号,338070119,35.7356948,139.8070259
173,荒川消防署南千住出張所,116-0003,東京都荒川区南千住六丁目59番17号,338050119,35.7365335,139.7960576
174,荒川消防署日暮里出張所,116-0014,東京都荒川区東日暮里三丁目9番26号,338010119,35.7290363,139.783081
175,尾久消防署,116-0012,東京都荒川区東尾久八丁目44番4号,338000119,35.750053,139.766225
176,尾久消防署尾竹橋出張所,116-0001,東京都荒川区町屋六丁目32番5号,338090119,35.7519585,139.7860761
177,尾久消防署下尾久出張所,116-0012,東京都荒川区東尾久三丁目5番4号,338950119,35.7446293,139.7737524
178,千住消防署,120-0035,東京都足立区千住中居町9-14,338820119,35.748921,139.798623
179,千住消防署旭町出張所,120-0025,東京都足立区千住東二丁目21番7号,338700119,35.7465478,139.809353
180,千住消防署宮城出張所,120-0047,東京都足立区宮城一丁目6番5号,339120119,35.7578429,139.7531982
181,足立消防署,121-0816,東京都足立区足立区梅島二丁目1番1号,338520119,35.7747723,139.8030876
182,足立消防署綾瀬出張所,120-0014,東京都足立区西綾瀬三丁目17番20号,338800119,35.7636211,139.8179101
183,足立消防署淵江出張所,121-0813,東京都足立区竹の塚七丁目1番18号,338500119,35.7990909,139.7974547
184,足立消防署大谷田出張所,120-0003,東京都足立区東和四丁目23番7号,336200119,35.7754821,139.8423517
185,足立消防署神明出張所,121-0057,東京都足立区神明南一丁目13番9号,336280119,35.7901405,139.8306887
186,西新井消防署,121-0823,東京都足立区伊興二丁目5番11号,338530119,35.790987,139.779511
187,西新井消防署大師前出張所,123-0842,東京都足立区栗原三丁目10番28号,338860119,35.7788249,139.7827673
188,西新井消防署上沼田出張所,123-0872,東京都足立区江北三丁目40番24号,338550119,35.7759106,139.7609577
189,西新井消防署本木出張所,123-0855,東京都足立区本木南町24番14号,338890119,35.7637972,139.7827844
190,西新井消防署舎人出張所,121-0831,東京都足立区舎人二丁目18番12号,338560119,35.8116036,139.7704313
191,第七消防方面本部,135-0004,東京都江東区森下五丁目1番4号,336330119,35.6849342,139.8066028
192,本所消防署,130-0003,東京都墨田区横川四丁目6番6号,336220119,35.7037133,139.8149197
193,本所消防署緑出張所,130-0021,東京都墨田区緑四丁目1番8号,336320119,35.6928838,139.8068134
194,本所消防署小梅出張所,131-0033,東京都墨田区向島三丁目36番12号,336260119,35.7130297,139.8107404
195,本所消防署東駒形出張所,130-0005,東京都墨田区東駒形三丁目5番8号,336230119,35.7063597,139.8043159
196,向島消防署,131-0032,東京都墨田区東向島六丁目22番3号,336190119,35.7235567,139.8199422
197,向島消防署墨田出張所,131-0031,東京都墨田区墨田五丁目16番2号,336100119,35.7371496,139.8181215
198,向島消防署立花出張所,131-0043,東京都墨田区立花五丁目9番3号,336130119,35.7150076,139.828847
199,深川消防署,135-0042,東京都江東区木場三丁目18番10号,336420119,35.6731214,139.8060741
200,深川消防署有明分署,135-0063,東京都江東区有明一丁目２番４３号,335290119,35.6404882,139.7921279
201,深川消防署永代出張所,135-0034,東京都江東区永代二丁目12番3号,336300119,35.6736142,139.7915301
202,深川消防署枝川出張所,135-0051,東京都江東区枝川三丁目2番1号,336470119,35.6595071,139.8079723
203,深川消防署豊洲出張所,135-0061,東京都江東区豊洲二丁目2番23号,335310119,35.6535532,139.7945698
204,深川消防署森下出張所,135-0004,東京都江東区森下五丁目1番4号,336310119,35.6848696,139.8066728
205,城東消防署,136-0071,東京都江東区亀戸六丁目42番9号,336370119,35.6966408,139.8319353
206,城東消防署東砂出張所,136-0074,東京都江東区東砂七丁目11番15号,336400119,35.6721951,139.8400984
207,城東消防署大島出張所,136-0072,東京都江東区大島五丁目46番5号,336360119,35.6897336,139.8370121
208,城東消防署砂町出張所,136-0075,東京都江東区新砂三丁目1番1号,336480119,35.6693874,139.8286299
209,本田消防署,124-0013,東京都葛飾区東立石三丁目12番7号,336940119,35.7361809,139.844228
210,本田消防署上平井出張所,124-0023,東京都葛飾区東新小岩七丁目1番9号,336960119,35.7234296,139.8530191
211,本田消防署南綾瀬出張所,124-0004,東京都葛飾区東堀切二丁目28番25号,336040119,35.7505954,139.8373205
212,本田消防署青戸出張所,125-0062,東京都葛飾区青戸五丁目5番8号,336010119,35.7501113,139.8528107
213,本田消防署奥戸出張所,124-0022,東京都葛飾区奥戸八丁目10番9号,336970119,35.7358282,139.8670919
214,金町消防署,125-0042,東京都葛飾区金町四丁目15番20号,336070119,35.763978,139.86515
215,金町消防署亀有出張所,125-0061,東京都葛飾区亀有一丁目26番5号,336020119,35.7620167,139.8462944
216,金町消防署柴又出張所,125-0052,東京都葛飾区柴又五丁目8番6号,336570119,35.7518382,139.8786576
217,金町消防署水元出張所,125-0032,東京都葛飾区水元三丁目11番1号,336000119,35.7808087,139.8636488
218,江戸川消防署,132-0021,東京都江戸川区中央二丁目9番13号,336560119,35.706027,139.872482
219,江戸川消防署小松川出張所,132-0035,東京都江戸川区平井一丁目8番8号,336380119,35.7024615,139.8481485
220,江戸川消防署瑞江出張所,132-0015,東京都江戸川区西瑞江三丁目26番地,336790119,35.6852765,139.8901516
221,葛西消防署,134-0083,東京都江戸川区中葛西一丁目29番1号,336890119,35.6694058,139.8692359
222,葛西消防署船堀出張所,134-0091,東京都江戸川区船堀六丁目11番17号,336880119,35.6783424,139.8675509
223,葛西消防署南葛西出張所,134-0085,東京都江戸川区南葛西四丁目4番12号,336800119,35.6488391,139.8737954
224,小岩消防署,133-0073,東京都江戸川区鹿骨二丁目42番11号,336770119,35.708661,139.894899
225,小岩消防署篠崎出張所,133-0065,東京都江戸川区南篠崎町五丁目13番1号,336780119,35.6937908,139.9090417
226,小岩消防署南小岩出張所,133-0056,東京都江戸川区南小岩五丁目13番13号,336730119,35.7238283,139.8819992
227,小岩消防署北小岩出張所,133-0051,東京都江戸川区北小岩三丁目1番20号,336720119,35.7375292,139.8898862
228,第八消防方面本部,190-0015,東京都立川市泉町1156番の1,425220119,35.7151894,139.4064413
229,第八消防方面本部消防救助機動部隊訓練場,190-0015,東京都立川市泉町1156番の1,425240119,35.7164656,139.4063404
230,立川消防署,190-0015,東京都立川市泉町1156番地1号,425260119,35.715292,139.4064265
231,立川消防署錦町出張所,190-0022,東京都立川市錦町三丁目6番18号,425270119,35.6927989,139.4172839
232,立川消防署国立出張所,186-0003,東京都国立市富士見台三丁目1番2号,425730119,35.6873239,139.4409806
233,立川消防署砂川出張所,190-0031,東京都立川市砂川町三丁目43番4号,425350119,35.7292349,139.3997323
234,立川消防署谷保出張所,186-0003,東京都国立市富士見台一丁目44番5号,425770119,35.6833515,139.4512546
235,武蔵野消防署,180-0001,東京都武蔵野市吉祥寺北町四丁目6番1号,422510119,35.7115703,139.5672302
236,武蔵野消防署武蔵境出張所,180-0023,東京都武蔵野市境南町一丁目26番38号,422300119,35.695881,139.5469037
237,武蔵野消防署吉祥寺出張所,180-0002,東京都武蔵野市吉祥寺東町一丁目１番２１号,422220119,35.7071193,139.5800303
238,三鷹消防署,181-0013,東京都三鷹市下連雀九丁目２番１７号,422470119,35.6834564,139.5632978
239,三鷹消防署下連雀出張所,181-0013,東京都三鷹市下連雀四丁目15番28号,422490119,35.6951527,139.5613668
240,三鷹消防署大沢出張所,181-0015,東京都三鷹市大沢三丁目9番17号,422320119,35.6836944,139.5385882
241,三鷹消防署牟礼出張所,181-0002,東京都三鷹市三鷹市牟礼二丁目6番17号,422460119,35.6884616,139.583649
242,府中消防署,183-0056,東京都府中市寿町一丁目5番地,423660119,35.6738393,139.4781848
243,府中消防署分梅出張所,183-0033,東京都府中市分梅町五丁目９番地の７,423680119,35.6623864,139.4624501
244,府中消防署朝日出張所,183-0003,東京都府中市朝日町三丁目13番地,423630119,35.67190739,139.5228414
245,府中消防署是政出張所,183-0014,東京都府中市是政二丁目12番地5号,423650119,35.6607136,139.4936256
246,府中消防署栄町出張所,183-0051,東京都府中市栄町三丁目1番地の４,423640119,35.6862735,139.4753254
247,昭島消防署,196-0003,東京都昭島市松原町一丁目14番1号,425450119,35.7141695,139.3542897
248,昭島消防署昭和出張所,196-0035,東京都昭島市もくせいの杜5番50号,425430119,35.7040486,139.39086
249,昭島消防署大神出張所,196-0012,東京都昭島市つつじヶ丘三丁目2番2号,425460119,35.7132751,139.3709212
250,調布消防署,182-0034,東京都調布市下石原一丁目１６番地１,424860119,35.6561464,139.5391952
251,調布消防署つつじヶ丘出張所,182-0006,東京都調布市西つつじヶ丘三丁目8番地3,424820119,35.6573728,139.5697716
252,調布消防署国領出張所,182-0022,東京都調布市国領町七丁目50番地1 ,424830119,35.6456127,139.561969
253,調布消防署深大寺出張所,182-0012,東京都調布市深大寺東町五丁目25番地11,424840119,35.6738383,139.5548726
254,小金井消防署,184-0004,東京都小金井市本町六丁目6番1号,423840119,35.699309,139.503455
255,小金井消防署緑町出張所,184-0003,東京都小金井市緑町二丁目2番42号,423850119,35.705791,139.521559
256,小平消防署,187-0042,東京都小平市仲町21番地,423410119,35.7307003,139.4802432
257,小平消防署小川出張所,187-0032,東京都小平市小川町一丁目208番１号,424620119,35.7318711,139.4444913
258,小平消防署花小金井出張所,187-0002,東京都小平市花小金井六丁目12番1号,423450119,35.7304555,139.5078478
259,東村山消防署,189-0023,東京都東村山市美住町二丁目28番地16,423910119,35.752908,139.450599
260,東村山消防署秋津出張所,189-0001,東京都東村山市秋津町二丁目31番地41,423930119,35.7704292,139.491582
261,東村山消防署本町出張所,189-0014,東京都東村山市本町一丁目1番地2,423920119,35.7551517,139.4686481
