消防署,クラブ数,クラブ員数,指導者数,消防少年団員数・指導者数計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
品川,50,"3,940",0,47,38,2,4,9,5,7,11,7,2,2,3,2,2,0,0,26,22,3,1,21,16,4,1,4,4,0,1,470
大井,55,"4,556",0,29,11,0,0,0,1,1,9,14,2,2,10,4,1,1,2,18,5,10,3,11,6,4,1,9,1,0,1,69
荏原,9,"1,066",0,70,55,0,11,14,14,8,8,8,5,3,0,7,3,4,0,44,37,3,4,26,18,5,3,11,2,0,1,112
大森,57,"6,013",0,50,37,0,0,13,4,11,9,3,1,0,2,10,6,2,2,22,17,1,4,28,20,2,6,11,13,0,1,326
田園調布,34,"4,817",0,52,24,0,0,1,13,5,5,14,5,2,7,14,11,3,0,19,6,7,6,33,18,7,8,6,45,0,1,274
蒲田,17,"2,041",0,31,17,0,6,2,3,3,3,11,4,1,6,3,2,0,1,10,4,5,1,21,13,6,2,12,14,0,1,418
矢口,18,"2,149",0,47,22,0,0,5,3,9,5,17,6,6,5,8,5,2,1,25,12,9,4,22,10,8,4,12,0,0,1,178
目黒,31,"3,820",0,47,22,0,0,3,2,11,6,15,4,10,1,10,3,3,4,19,7,7,5,28,15,8,5,9,6,0,1,450
世田谷,22,"2,524",0,31,17,0,1,2,4,4,6,9,4,1,4,5,2,1,2,18,11,5,2,13,6,4,3,9,12,0,1,79
玉川,13,"1,468",0,55,28,0,0,0,10,14,4,20,5,7,8,7,2,2,3,25,12,11,2,30,16,9,5,12,14,0,1,110
成城,45,5789,0,68,33,0,0,0,11,10,12,26,8,10,8,9,6,2,1,22,12,8,2,46,21,18,7,6,9,0,1,77
渋谷,3,180,0,51,39,1,3,13,11,6,5,6,2,1,3,6,2,2,2,25,20,3,2,26,19,3,4,8,0,0,1,185
四谷,4,336,0,46,26,0,4,0,5,11,6,16,5,4,7,4,1,1,2,22,10,10,2,24,16,6,2,7,4,0,1,69
牛込,34,"3,437",0,48,37,5,9,7,8,6,2,2,2,0,0,9,4,3,2,31,23,2,6,17,14,0,3,6,0,0,1,137
新宿,20,1667,0,58,41,0,5,9,11,12,4,12,7,2,3,5,3,2,0,29,21,6,2,29,20,6,3,9,10,0,1,188
中野,7,970,0,42,28,0,4,5,6,7,6,8,3,2,3,6,0,2,4,19,13,2,4,23,15,6,2,7,71,0,1,246
野方,8,1101,0,48,35,0,2,15,6,7,5,9,1,4,4,4,1,1,2,25,16,7,2,23,19,2,2,8,6,0,1,180
杉並,4,341,0,35,20,1,1,2,5,7,4,13,5,3,5,2,2,0,0,24,15,8,1,11,5,5,1,3,3,0,1,418
荻窪,11,"1,637",0,35,18,0,5,3,3,1,6,10,8,0,2,7,0,1,6,19,8,7,4,16,10,3,3,6,0,0,1,140
小石川,12,1399,0,41,20,0,0,8,6,3,3,10,5,1,4,11,6,4,1,21,8,8,5,20,12,2,6,8,8,0,1,135
本郷,10,693,0,46,35,0,0,15,9,6,5,7,5,0,2,4,0,1,3,21,14,4,3,25,21,3,1,10,2,0,1,334
豊島,11,"1,421",0,65,43,0,0,7,19,8,9,15,2,3,10,7,1,2,4,27,17,6,4,38,26,9,3,11,8,0,1,166
池袋,30,"2,750",0,63,34,0,0,12,9,8,5,19,13,4,2,10,4,4,2,25,14,8,3,38,20,11,7,10,6,0,1,114
王子,8,"1,193",0,64,37,0,0,10,16,4,7,12,3,4,5,15,5,6,4,28,14,6,8,36,23,6,7,10,13,0,1,304
赤羽,45,"5,840",0,39,22,0,0,0,14,4,4,11,1,4,6,6,2,2,2,21,14,4,3,18,8,7,3,8,0,0,1,218
滝野川,42,4149,0,72,48,0,0,18,12,12,6,13,6,3,4,11,5,2,4,25,16,5,4,47,32,8,7,24,0,0,1,124
板橋,6,623,0,37,24,0,0,2,2,5,15,13,6,4,3,0,0,0,0,16,9,7,0,21,15,6,0,17,3,0,1,288
志村,19,"3,689",0,89,57,0,0,22,17,4,14,18,7,5,6,14,3,8,3,38,22,7,9,51,35,11,5,6,13,0,1,183
練馬,14,"1,738",0,76,51,0,0,10,14,18,9,17,5,8,4,8,2,2,4,39,27,7,5,37,24,10,3,12,10,0,1,270
光が丘,35,"6,436",0,94,63,0,0,22,19,11,11,19,8,4,7,12,5,2,5,43,27,9,7,51,36,10,5,23,6,0,1,153
石神井,0,0,0,40,16,0,0,2,5,8,1,16,7,7,2,8,2,5,1,24,10,8,6,16,6,8,2,12,24,0,1,68
上野,15,1711,0,61,41,0,2,10,16,3,10,15,8,5,2,5,3,1,1,20,13,4,3,41,28,11,2,27,0,0,1,234
浅草,7,750,0,66,51,3,15,15,5,3,10,13,5,1,7,2,1,0,1,35,28,5,2,31,23,8,0,17,1,0,1,54
日本堤,17,1371,0,37,18,0,0,3,4,5,6,7,1,3,3,12,5,3,4,22,9,4,9,15,9,3,3,14,1,0,1,427
荒川,6,551,0,52,37,0,7,3,13,7,7,12,4,3,5,3,2,0,1,23,14,8,1,29,23,4,2,17,4,0,1,140
尾久,4,739,0,44,26,1,3,1,9,8,4,9,2,3,4,9,2,7,0,25,11,7,7,19,15,2,2,18,3,0,1,59
千住,50,"3,585",0,34,22,8,1,1,4,3,5,9,4,1,4,3,3,0,0,21,14,4,3,13,8,5,0,10,3,0,1,174
足立,15,"1,515",0,42,22,0,0,4,5,7,6,9,3,3,3,11,2,3,6,14,6,2,6,28,16,7,5,11,11,0,1,222
西新井,12,"2,452",0,41,13,1,2,1,2,3,4,16,3,12,1,12,8,4,0,29,10,13,6,12,3,3,6,17,0,0,1,330
本所,45,3595,0,50,34,2,5,2,7,8,10,10,1,4,5,6,4,2,0,25,16,6,3,25,18,4,3,13,0,0,1,105
向島,6,639,0,37,18,1,1,3,1,7,5,8,2,2,4,11,3,6,2,23,12,5,6,14,6,3,5,12,7,0,1,211
深川,1,547,0,69,44,6,4,8,8,10,8,16,10,5,1,9,4,5,0,33,22,5,6,36,22,11,3,18,3,0,1,699
城東,11,"1,999",0,59,36,0,6,11,8,7,4,10,1,3,6,13,3,7,3,34,22,5,7,25,14,5,6,5,3,0,1,278
本田,38,5553,0,40,17,1,4,1,4,4,3,12,8,2,2,11,4,3,4,24,11,6,7,16,6,6,4,17,12,0,1,227
金町,3,328,0,74,40,3,2,4,7,11,13,24,6,6,12,10,5,3,2,37,18,16,3,37,22,8,7,16,11,0,1,268
江戸川,14,"1,861",0,54,28,0,0,8,7,5,8,15,5,5,5,11,5,5,1,31,12,11,8,23,16,4,3,16,10,0,1,100
葛西,12,"2,044",0,44,24,1,0,5,7,6,5,13,7,2,4,7,1,3,3,27,18,4,5,17,6,9,2,21,44,0,1,126
小岩,56,"5,896",0,50,14,0,0,4,2,0,8,23,8,4,11,13,4,2,7,24,9,10,5,26,5,13,8,21,0,0,1,157
受託地区,480,"66,213",0,1041,598,12,41,134,167,130,114,284,102,103,79,159,67,49,43,529,291,156,82,512,307,128,77,341,153,0,24,2817
立川,12,1816,0,74,40,3,3,3,11,10,10,21,12,5,4,13,7,5,1,44,22,16,6,30,18,5,7,9,11,0,2,203
武蔵野,4,922,0,45,25,0,0,5,9,4,7,11,7,1,3,9,4,4,1,20,13,4,3,25,12,7,6,9,0,0,1,26
三鷹,50,"6,351",0,51,31,0,0,5,6,11,9,18,1,12,5,2,2,0,0,27,18,7,2,24,13,11,0,7,0,0,1,67
府中,40,"7,532",0,43,18,0,3,6,1,4,4,16,5,9,2,9,4,2,3,24,13,6,5,19,5,10,4,9,0,0,1,262
昭島,24,"3,528",0,43,24,2,1,6,3,6,6,15,1,9,5,4,2,1,1,27,14,9,4,16,10,6,0,29,2,0,1,75
調布,0,0,0,60,34,0,0,9,14,5,6,18,6,8,4,8,4,1,3,29,14,13,2,31,20,5,6,11,7,0,1,139
小金井,10,"1,448",0,22,9,0,2,1,2,2,2,10,6,2,2,3,1,1,1,5,1,4,0,17,8,6,3,7,8,0,1,75
小平,7,"1,427",0,42,19,0,0,6,6,4,3,12,2,6,4,11,2,3,6,17,6,6,5,25,13,6,6,9,6,0,1,56
東村山,25,"4,517",0,33,17,0,0,4,6,4,3,12,2,7,3,4,1,2,1,16,8,7,1,17,9,5,3,23,23,0,1,62
国分寺,15,"2,077",0,44,28,0,4,8,2,8,6,11,6,4,1,5,2,2,1,16,12,3,1,28,16,8,4,11,9,0,1,47
狛江,16,"2,218",0,67,40,0,0,10,20,6,4,19,6,4,9,8,3,5,0,23,10,8,5,44,30,11,3,13,5,0,1,86
北多摩西部,12,"1,760",0,32,20,0,0,5,1,4,10,9,2,4,3,3,0,2,1,19,13,5,1,13,7,4,2,22,0,0,1,37
清瀬,20,"2,662",0,47,32,0,0,7,10,9,6,11,4,3,4,4,4,0,0,18,7,8,3,29,25,3,1,12,3,0,1,83
東久留米,9,"1,512",0,67,53,1,3,13,23,8,5,9,4,1,4,5,2,0,3,37,27,7,3,30,26,2,2,12,14,0,1,27
西東京,15,"3,601",0,60,31,0,0,8,12,4,7,13,6,6,1,16,6,4,6,41,21,10,10,19,10,3,6,28,0,0,1,48
八王子,42,"5,055",0,58,31,0,0,14,11,4,2,16,8,2,6,11,3,4,4,28,14,7,7,30,17,9,4,19,39,0,1,456
青梅,18,"1,767",0,14,6,1,0,0,1,2,2,7,4,2,1,1,1,0,0,9,5,4,0,5,1,3,1,12,8,0,1,326
町田,23,"2,429",0,44,22,4,6,3,3,2,4,13,4,4,5,9,3,4,2,30,12,10,8,14,10,3,1,14,13,0,1,264
日野,51,"5,533",0,50,35,0,15,4,6,5,5,8,3,4,1,7,3,1,3,22,17,2,3,28,18,6,4,7,3,0,1,169
福生,22,"2,147",0,42,27,0,2,5,7,8,5,6,2,3,1,9,5,3,1,17,13,2,2,25,14,4,7,27,0,0,1,84
多摩,31,"5,295",0,59,32,0,1,8,9,10,4,19,7,3,9,8,2,3,3,34,17,11,6,25,15,8,2,14,2,0,1,71
秋川,34,2616,0,29,13,0,0,2,3,5,3,7,3,3,1,9,5,2,2,19,8,6,5,10,5,1,4,33,0,0,1,123
奥多摩,0,0,0,15,11,1,1,2,1,5,1,3,1,1,1,1,1,0,0,7,6,1,0,8,5,2,1,4,0,0,1,31
