消防署,"合計・実施回数","合計・延べ台数",合計・延べ人員・計,合計・延べ人員・当番,合計・延べ人員・非番,合計・延べ人員・日勤,合計・延べ人員・毎日,"合計・警戒時間",祭礼・催物・実施回数,祭礼・催物・延べ台数,祭礼・催物・延べ人員・計,祭礼・催物・延べ人員・当番,祭礼・催物・延べ人員・非番,祭礼・催物・延べ人員・日勤,祭礼・催物・延べ人員・毎日,祭礼・催物・警戒時間,集団行動・実施回数,集団行動・延べ台数,集団行動・延べ人員・計,集団行動・延べ人員・当番,集団行動・延べ人員・非番,集団行動・延べ人員・日勤,集団行動・延べ人員・毎日,集団行動・警戒時間,"その他・実施回数","その他・延べ台数",その他・延べ人員・計,その他・延べ人員・当番,その他・延べ人員・非番,その他・延べ人員・日勤,その他・延べ人員・毎日,"その他・警戒時間"
麻布,2,476,"1,085","1,085",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,476,"1,085","1,085",0,0,0,816
赤坂,5,767,"4,483","2,632",1,64,1786,"120,040",1,10,38,30,1,5,2,450,0,0,0,0,0,0,0,0,4,757,"4,445","2,602",0,59,1784,"119,590"
高輪,5,757,"3,192","2,166",0,0,"1,026",831,2,57,223,173,0,0,50,12,0,0,0,0,0,0,0,0,3,700,"2,969","1,993",0,0,976,819
２本部,4,717,765,756,3,0,6,825,2,3,24,15,3,0,6,9,0,0,0,0,0,0,0,0,2,714,741,741,0,0,0,816
品川,3,535,"3,081","1,981",0,0,1100,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,535,"3,081","1,981",0,0,1100,818
大井,7,622,"2,299","1,683",0,0,616,50,5,63,233,231,0,0,2,29,0,0,0,0,0,0,0,0,2,559,"2,066","1,452",0,0,614,21
荏原,13,75,334,334,0,0,0,314,3,15,82,82,0,0,0,20,0,0,0,0,0,0,0,0,10,60,252,252,0,0,0,294
大森,10,740,"3,115",2362,1,111,641,889,9,59,191,179,1,7,4,145,0,0,0,0,0,0,0,0,1,681,"2,924",2183,0,104,637,744
田園調布,4,396,"2,298","1,556",0,83,659,819,2,22,89,87,0,0,2,3,0,0,0,0,0,0,0,0,2,374,"2,209","1,469",0,83,657,816
蒲田,4,"1,252","3,833","2,442",4,4,"1,383",822,1,32,66,63,0,0,3,3,0,0,0,0,0,0,0,0,3,"1,220","3,767","2,379",4,4,"1,380",819
矢口,2,476,"1,802","1,802",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,476,"1,802","1,802",0,0,0,12
３本部,6,408,680,680,0,0,0,816,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,408,680,680,0,0,0,816
目黒,3,1008,"5,864","3,990",0,53,1821,1560,1,396,2239,1540,0,0,699,744,0,0,0,0,0,0,0,0,2,612,"3,625","2,450",0,53,1122,816
世田谷,3,798,"3,192","3,192",0,0,0,856,2,84,336,336,0,0,0,40,0,0,0,0,0,0,0,0,1,714,"2,856","2,856",0,0,0,816
玉川,3,561,"2,125","2,098",23,0,4,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,561,"2,125","2,098",23,0,4,819
成城,5,1172,"5,700","4,310",0,134,1256,0,1,22,47,47,0,0,0,0,0,0,0,0,0,0,0,0,4,1150,"5,653","4,263",0,134,1256,0
渋谷,11,232,3354,3319,0,0,35,881,5,112,420,385,0,0,35,44,4,82,316,316,0,0,0,21,2,38,2618,2618,0,0,0,816
４本部,6,80,188,182,0,6,0,847,4,12,18,12,0,6,0,31,0,0,0,0,0,0,0,0,2,68,170,170,0,0,0,816
四谷,10,329,"1,569","1,535",0,0,34,870,1,12,37,33,0,0,4,16,0,0,0,0,0,0,0,0,9,317,"1,532","1,502",0,0,30,854
牛込,4,248,"1,231","1,227",0,2,2,838,2,10,75,71,0,2,2,22,0,0,0,0,0,0,0,0,2,238,"1,156","1,156",0,0,0,816
新宿,4,614,"2,587","2,579",0,0,8,819,2,2,20,12,0,0,8,3,0,0,0,0,0,0,0,0,2,612,"2,567","2,567",0,0,0,816
中野,2,0,"2,538","1,802",0,0,736,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"2,538","1,802",0,0,736,816
野方,3,447,"1,890","1,890",0,0,0,827,1,5,20,20,0,0,0,11,0,0,0,0,0,0,0,0,2,442,"1,870","1,870",0,0,0,816
杉並,3,16,34,32,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,34,32,0,0,2,6
荻窪,3,510,"1,639","1,635",0,0,4,823,1,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,2,510,"1,636","1,632",0,0,4,816
５本部,2,34,383,162,0,0,221,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,383,162,0,0,221,816
小石川,138,956,"2,529","1,839",0,0,690,1037,136,140,547,547,0,0,0,221,0,0,0,0,0,0,0,0,2,816,"1,982","1,292",0,0,690,816
本郷,5,403,"1,995","1,375",0,0,620,846,3,43,20,20,0,0,0,30,0,0,0,0,0,0,0,0,2,360,"1,975","1,355",0,0,620,816
豊島,4,344,"1,554","1,550",0,0,4,832,2,4,24,20,0,0,4,16,0,0,0,0,0,0,0,0,2,340,"1,530","1,530",0,0,0,816
池袋,3,362,2277,1553,0,0,724,1136,1,2,87,87,0,0,0,320,0,0,0,0,0,0,0,0,2,360,2190,1466,0,0,724,816
王子,5,373,"2,177","1,397",34,0,746,839,2,16,68,68,0,0,0,14,0,0,0,0,0,0,0,0,3,357,"2,109","1,329",34,0,746,825
赤羽,3,510,"2,934","2,092",0,60,782,818,1,2,8,8,0,0,0,2,0,0,0,0,0,0,0,0,2,508,"2,926","2,084",0,60,782,816
滝野川,2,374,"1,573","1,573",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,374,"1,573","1,573",0,0,0,816
10本部,2,108,330,170,0,0,160,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,330,170,0,0,160,816
板橋,2,924,"2,425","1,612",0,0,813,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,924,"2,425","1,612",0,0,813,816
志村,4,914,"3,995","3,094",0,0,901,832,2,84,338,329,0,0,9,16,0,0,0,0,0,0,0,0,2,830,"3,657","2,765",0,0,892,816
練馬,5,2642,"7,181","5,180",0,24,1977,2378,1,52,146,104,0,0,42,20,0,0,0,0,0,0,0,0,4,2590,"7,035","5,076",0,24,1935,2358
光が丘,3,273,"1,654","1,194",0,0,460,818,1,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,2,272,"1,650","1,190",0,0,460,816
石神井,2,544,"2,278","2,278",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,544,"2,278","2,278",0,0,0,816
６本部,2,34,170,170,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,170,170,0,0,0,816
上野,9,345,977,943,0,0,34,874,1,1,11,9,0,0,2,1,0,0,0,0,0,0,0,0,8,344,966,934,0,0,32,873
浅草,10,328,"2,048","1,420",0,0,628,840,8,56,416,326,0,0,90,24,0,0,0,0,0,0,0,0,2,272,"1,632","1,094",0,0,538,816
日本堤,6,357,"1,648","1,635",0,0,13,908,4,85,379,366,0,0,13,92,0,0,0,0,0,0,0,0,2,272,"1,269","1,269",0,0,0,816
荒川,2,510,"2,832","2,152",0,0,680,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,510,"2,832","2,152",0,0,680,816
尾久,2,374,"2,025","1,467",0,0,558,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,374,"2,025","1,467",0,0,558,816
千住,3,375,1565,1556,0,9,0,821,1,1,9,0,0,9,0,5,0,0,0,0,0,0,0,0,2,374,1556,1556,0,0,0,816
足立,3,1338,"2,444","2,438",0,0,6,828,1,12,30,24,0,0,6,12,0,0,0,0,0,0,0,0,2,1326,"2,414","2,414",0,0,0,816
西新井,5,747,"3,018","3,015",0,0,3,878,3,169,638,635,0,0,3,62,0,0,0,0,0,0,0,0,2,578,"2,380","2,380",0,0,0,816
７本部,2,141,430,245,0,3,182,821,1,5,12,7,0,3,2,5,0,0,0,0,0,0,0,0,1,136,418,238,0,0,180,816
本所,14,"1,379","7,770","5,484",10,15,2261,962,13,937,"5,232","3,717",10,15,1490,146,0,0,0,0,0,0,0,0,1,442,"2,538","1,767",0,0,771,816
向島,2,876,"1,598","1,598",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,876,"1,598","1,598",0,0,0,816
深川,6,865,29,27,0,0,2,766,4,113,9,9,0,0,0,21,0,0,0,0,0,0,0,0,2,752,20,18,0,0,2,745
城東,2,680,"3,178","2,380",0,0,798,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,680,"3,178","2,380",0,0,798,816
本田,2,612,"2,482","2,482",0,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,612,"2,482","2,482",0,0,0,1496
金町,3,516,"1,869","1,869",0,0,0,782,2,20,81,81,0,0,0,38,0,0,0,0,0,0,0,0,1,496,"1,788","1,788",0,0,0,744
江戸川,2,884,"1,695","1,695",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,884,"1,695","1,695",0,0,0,816
葛西,4,1006,2903,1707,0,0,1196,2435,2,54,98,98,0,0,0,10,0,0,0,0,0,0,0,0,2,952,2805,1609,0,0,1196,2425
小岩,6,603,"2,211","2,204",0,0,7,823,4,59,239,232,0,0,7,7,0,0,0,0,0,0,0,0,2,544,"1,972","1,972",0,0,0,816
８本部,2,1360,734,734,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1360,734,734,0,0,0,816
立川,12,788,"2,266","2,230",15,3,18,"1,074",10,36,100,64,15,3,18,258,0,0,0,0,0,0,0,0,2,752,"2,166","2,166",0,0,0,816
武蔵野,3,410,"1,643","1,641",0,0,2,817,1,2,11,9,0,0,2,1,0,0,0,0,0,0,0,0,2,408,"1,632","1,632",0,0,0,816
三鷹,2,719,3570,2402,0,0,1168,771,1,192,994,666,0,0,328,27,0,0,0,0,0,0,0,0,1,527,2576,1736,0,0,840,744
府中,3,632,"2,491","2,491",0,0,0,769,1,16,33,33,0,0,0,24,0,0,0,0,0,0,0,0,2,616,"2,458","2,458",0,0,0,745
昭島,3,462,"2,157","1,519",0,97,541,841,2,75,182,172,0,0,10,25,0,0,0,0,0,0,0,0,1,387,"1,975","1,347",0,97,531,816
調布,18,379,"1,788","1,752",0,0,36,832,16,51,137,101,0,0,36,67,0,0,0,0,0,0,0,0,2,328,"1,651","1,651",0,0,0,765
小金井,2,272,"1,068","1,068",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,272,"1,068","1,068",0,0,0,816
小平,2,408,"1,550","1,550",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,408,"1,550","1,550",0,0,0,816
東村山,2,345,2006,1500,0,0,506,820,1,5,17,15,0,0,2,4,0,0,0,0,0,0,0,0,1,340,1989,1485,0,0,504,816
国分寺,2,682,"1,462","1,462",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,682,"1,462","1,462",0,0,0,816
狛江,2,544,"1,190","1,190",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,544,"1,190","1,190",0,0,0,816
北多摩西部,2,680,1462,1462,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,680,1462,1462,0,0,0,816
清瀬,2,272,1156,1156,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,272,1156,1156,0,0,0,816
東久留米,2,272,"1,967","1,407",0,0,560,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,272,"1,967","1,407",0,0,560,816
西東京,2,408,"1,762","1,762",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,408,"1,762","1,762",0,0,0,816
９本部,4,686,932,932,0,0,0,831,2,6,14,14,0,0,0,15,0,0,0,0,0,0,0,0,2,680,918,918,0,0,0,816
八王子,13,1055,"4,262","4,194",2,47,19,901,7,38,123,74,0,44,5,77,0,0,0,0,0,0,0,0,6,1017,"4,139","4,120",2,3,14,824
青梅,7,374,"2,409","2,399",0,6,4,849,5,68,302,292,0,6,4,33,0,0,0,0,0,0,0,0,2,306,"2,107","2,107",0,0,0,816
町田,27,745,3006,3001,0,0,5,870,25,31,116,111,0,0,5,54,0,0,0,0,0,0,0,0,2,714,2890,2890,0,0,0,816
日野,6,880,"1,834","1,827",0,0,7,864,4,132,290,283,0,0,7,48,0,0,0,0,0,0,0,0,2,748,"1,544","1,544",0,0,0,816
福生,3,450,"2,695","1,724",0,0,971,825,1,14,57,52,0,0,5,9,0,0,0,0,0,0,0,0,2,436,"2,638","1,672",0,0,966,816
多摩,2,306,"1,190","1,190",0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,306,"1,190","1,190",0,0,0,816
秋川,9,432,"1,852","1,850",0,2,0,912,7,432,1852,1850,0,2,0,912,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
奥多摩,2,10,25,24,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,25,24,0,0,1,13
