分類項目,,墨田区面積[平方メートル],墨田区構成比[％],南部(両国～業平）面積[平方メートル],南部(両国～業平）構成比[％],北部(向島～東墨田)面積[平方メートル],北部(向島～東墨田)構成比[％],両国面積[平方メートル],両国構成比[％],千歳面積[平方メートル],千歳構成比[％],緑面積[平方メートル],緑構成比[％],立川面積[平方メートル],立川構成比[％],菊川面積[平方メートル],菊川構成比[％],江東橋面積[平方メートル],江東橋構成比[％],横網面積[平方メートル],横網構成比[％],亀沢面積[平方メートル],亀沢構成比[％],石原面積[平方メートル],石原構成比[％],本所面積[平方メートル],本所構成比[％],東駒形面積[平方メートル],東駒形構成比[％],吾妻橋面積[平方メートル],吾妻橋構成比[％],錦糸面積[平方メートル],錦糸構成比[％],太平面積[平方メートル],太平構成比[％],横川面積[平方メートル],横川構成比[％],業平面積[平方メートル],業平構成比[％],向島面積[平方メートル],向島構成比[％],東向島面積[平方メートル],東向島構成比[％],堤通面積[平方メートル],堤通構成比[％],墨田面積[平方メートル],墨田構成比[％],押上面積[平方メートル],押上構成比[％],京島面積[平方メートル],京島構成比[％],文花面積[平方メートル],文花構成比[％],八広面積[平方メートル],八広構成比[％],立花面積[平方メートル],立花構成比[％],東墨田面積[平方メートル],東墨田構成比[％]
商業系,小計,1759167,12.8,1018750,19.1,740417,8.8,87749,25.7,26104,13.7,82257,20.5,44951,17,48498,19.6,111584,22.8,48599,14.3,52915,16.1,74803,20.3,78786,19.1,57852,17.5,42732,16.1,76096,22.5,84449,25.6,39817,11.3,61558,17.8,100576,11.9,146063,13.7,30576,4.5,94565,7.3,78326,14,67400,14.2,40616,8.5,86581,7.3,72552,7.2,23162,2.8
住居系,専用独立住宅,1746118,12.7,386937,7.186059132,1359181,16.2,18414,5.38856305,13385,7,28075,7,24409,9.2,23387,9.4,15262,3.1,6186,1.8,21128,6.4,38228,10.4,40262,10.7,44628,13.5,18309,6.870566038,5633,1.7,20162,6.1,28209,8,41260,12,111843,13.2,272365,25.5,12664,1.840320233,248777,19.3,115131,20.6,108168,22.7,48135,10.1,247722,21,159884,15.9,34492,4.2
住居系,集合住宅,1738007,12.6,713629,13.4,1024378,12.2,36704,10.8,27935,14.7,60965,15.2,28061,10.6,43885,17.7,63433,13,8490,2.5,48954,14.9,54921,14.9,43257,11.4,34551,10.5,31685,12,30740,9.1,62663,19,71677,20.4,65708,19,87389,10.3,132191,12.4,86517,12.6,128776,10,65544,11.7,90771,19.1,124618,26.1,124790,10.6,165217,16.4,18565,2.3
住居系,小計,3484125,25.3,1100566,20.6,2383559,28.4,55118,16.2,41320,21.7,89040,22.1,52470,19.8,67272,27.1,78695,16.1,14676,4.3,70082,21.3,93149,25.2,83519,22.1,79179,24,49994,18.9,36373,10.8,82825,25.1,99886,28.5,106968,31,199232,23.6,389464,36.39850467,99181,14.4,377553,29.3,180675,32.3,198939,41.8,172753,36.1,372512,31.6,325101,32.3,53057,6.5
工業系,専用工場・作業場,432865,3.1,118402,2.2,314463,3.7,1364,0.39941349,3545,1.9,13943,3.5,5603,2.1,3495,1.4,8531,1.713087935,1955,0.602941176,7532,2.3,7131,1.9,7950,1.9,4488,1.418787879,981,0.4,8365,2.5,754,0.2,38657,11,4108,1.2,6037,0.7,20309,1.94317757,16908,2.490247453,24150,1.929370629,10471,1.9,4835,1,61307,12.8,27917,2.4,39940,4,102589,12.5
工業系,住居併用工場・作業場,681398,5,252485,4.7,428913,5.1,4200,1.2,7374,3.9,23661,5.9,31582,11.9,19133,7.7,6859,1.4,1712,0.503235294,21568,6.6,25541,6.9,35302,8.6,22149,6.7,5513,2.1,4650,1.4,15358,4.7,15980,4.6,11903,3.5,29134,3.4,53672,5,3442,0.5,46645,3.6,24951,4.5,22062,4.6,13514,2.8,105653,9,70131,7,59709,7.3
工業系,倉庫・運輸関係施設,308609,2.2,135315,2.5,173294,2.1,4608,1.4,7960,4.2,8766,2.239800995,9492,3.6,9544,3.8,18225,3.7,2975,0.9,9655,2.9,7481,2,8666,2.1,4345,1.327272727,2727,1,2826,0.8,5088,1.5,24929,7.1,8028,2.3,19609,2.3,14811,1.4,23741,3.472343523,24966,1.9,5146,0.9,7349,1.5,6650,1.4,16793,1.4,19892,2,34337,4.2
工業系,小計,1422872,10.3,506202,9.5,916670,10.9,10172,3,18879,9.858421053,46370,11.5,46677,17.6,32172,13,33615,6.887730061,6642,2,38755,11.8,40153,10.9,51918,12.6,30982,9.4,9221,3.5,15841,4.7,21200,6.4,79566,22.702849,24039,7,54780,6.5,88792,8.3,44091,6.4,95761,7.4,40568,7.3,34246,7.2,81471,17,150363,12.8,129963,12.9,196635,24
空地系,屋外利用地・仮設建物,506895,3.7,177023,3.3,329872,3.9,12507,3.7,7006,3.7,17475,4.3,9232,3.5,13720,5.5,15274,3.1,5907,1.7,16112,4.9,13584,3.7,10719,2.6,10995,3.3,7030,2.7,6467,1.9,13341,4.006666667,8221,2.3,9433,2.7,21140,2.5,52569,4.9,5795,0.802037846,38533,3,22159,4,18330,3.9,18095,3.8,51371,4.4,67105,6.7,34775,4.223873325
空地系,公園・運動場,923802,6.7,202223,3.8,721579,8.6,5410,1.586803519,2718,1.431052632,7999,1.989552239,5423,2.046792453,2862,1.154032258,19479,4,28343,8.335882353,13965,4.244680851,6470,1.753387534,11799,2.9,5530,1.681515152,2557,0.96490566,54139,16,9013,2.731818182,17702,5.043304843,8814,2.551594203,51696,6.106272189,33350,3.058037383,114929,16.72852984,199840,15.52758353,7219,1.291413238,6907,1.5,16529,3.458368201,97050,8.2,37549,3.73641791,156510,19.1
空地系,未建築宅地・未利用地,218722,1.6,48264,0.9,170458,2,1937,0.6,976,0.5,4993,1.2,4191,1.6,1165,0.464112903,4290,0.9,2328,0.7,4116,1.3,3239,0.9,1737,0.4,2294,0.746969697,5548,2.1,855,0.3,2411,0.7,7033,2,1151,0.3,5000,0.6,10256,1,13038,1.9,15757,1.2,38944,7,17163,3.6,8862,1.9,23905,2,20219,2,17314,2.1
空地系,原野,56908,0.4,0,0,56908,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13432,1.043589744,0,0,0,0,0,0,14485,1.229626486,0,0,28991,3.531181486
空地系,小計,1706327,12.4,427510,8,1278817,15.2,19854,5.8,10700,5.6,30467,7.6,18846,7.1,17747,7.2,39043,8,36578,10.8,34193,10.4,23293,6.3,24255,5.9,18819,5.7,15135,5.7,61461,18.2,24765,7.5,32956,9.4,19398,5.6,77836,9.2,96175,9,133762,19.5,267562,20.8,68322,12.2,42400,8.9,43486,9.1,186811,15.9,124873,12.4,237590,28.9
街区面積（ネット）,,9278622,67.5,3402139,63.65613772,5876483,69.9,189094,55.4516129,104272,54.87789474,259375,64.46218905,175864,66.36377358,173238,69.9,306809,62.7,187999,55.29294118,215068,65.4,249006,67.48211382,254299,61.7,208382,63.1,138371,52.20264151,206815,61.17100592,231519,70.15909091,271777,77.40940171,230251,66.7,487594,57.70508876,829632,77.53233645,353247,51.41746725,886510,68.88041958,386016,69.1,368568,77.4,386218,80.8,885435,75.18921902,745847,74.2,547416,66.67649208
交通系,道路,3193105,23.2,1577379,29.52367141,1615726,19.20201047,113628,33.32346041,59630,31.38631579,136286,33.9,78545,29.64226415,70988,28.6,170001,34.75337423,71213,20.9,93769,28.50425532,119991,32.51788618,132368,32.0684466,101202,30.7,93917,35.4,67214,19.90147929,92678,28.08212121,73345,20.91538462,102601,29.72521739,245212,29.01727811,220984,20.66186916,203087,29.56215429,185656,14.42455322,102055,18.3,99492,20.9,75638,15.8,201149,17.1,177058,17.6,105395,12.83995128
交通系,鉄道・港湾等,286030,2.1,110816,2.07369012,175214,2.081572686,0,0,0,0,0,0,0,0,0,0,328,0.067075665,33602,9.883235294,20163,6.128571429,0,0,0,0,0,0,0,0,56722,16.78224852,0,0,0,0,0,0,8524,1.008402367,19384,1.805794393,0,0,36173,2.811188811,62369,11.16654741,7940,1.7,8213,1.726987448,20998,1.782937182,11613,1.155522388,0,0
水系,河川・水面・水路,992243,7.2,253666,4.746500749,738577,8.789317154,38278,11.22492669,26098,13.73578947,6339,1.576865672,10590,3.993962264,3774,1.521774194,11862,2.427402863,47186,13.9,0,0,0,0,25333,6.1,20416,6.184545455,32712,12.34226415,7251,2.145266272,5803,1.758787879,5878,1.675213675,12148,3.51884058,103670,12.26923077,0,0,130333,19.02037846,178661,13.88383838,8560,1.531842576,0,0,7931,1.659414226,70418,5.978777589,70482,7.035323383,168189,20.48355664
総面積(グロス),,13750000,100,5344000,100,8406000,100,341000,100,190000,100,402000,100,265000,100,248000,100,489000,100,340000,100,329000,100,369000,100,412000,100,330000,100,265000,100,338000,100,330000,100,351000,100,345000,100,845000,100,1070000,100,687000,100,1287000,100,559000,100,476000,100,478000,100,1178000,100,1005000,100,821000,100
