"年度[西暦]","会社名","路線名","駅名","定期[千人]","普通[千人]","合計[千人]"
"2019","私鉄","東京モノレール","モノレール浜松町","8937","12562","21499"
"2019","私鉄","ゆりかもめ","新橋","2752","8745","11497"
"2019","私鉄","ゆりかもめ","汐留","302","1214","1515"
"2019","私鉄","ゆりかもめ","竹芝","151","648","799"
"2019","私鉄","ゆりかもめ","日の出","83","341","424"
"2019","私鉄","ゆりかもめ","芝浦ふ頭","408","494","903"
"2019","私鉄","ゆりかもめ","お台場海浜公園","952","2199","3151"
"2019","私鉄","ゆりかもめ","台場","503","3405","3908"
"2020","ＪＲ線",,"新橋","45675","18335","64009"
"2020","ＪＲ線",,"浜松町","27393","10079","37472"
"2020","ＪＲ線",,"田町","27747","9740","37487"
"2020","ＪＲ線",,"高輪ゲートウェイ","1466","1010","2477"
"2020","ＪＲ線",,"品川","53088","27551","80639"
"2020","ＪＲ線",,"（参考）東京","65418","33536","98954"
"2020","ＪＲ線",,"渋谷","46510","34574","81085"
"2020","ＪＲ線",,"新宿","106568","67564","174132"
"2020","東京地下鉄（株）","銀座線","表参道","2606","3961","6567"
"2020","東京地下鉄（株）","銀座線","外苑前","4441","3877","8318"
"2020","東京地下鉄（株）","銀座線","青山一丁目","2949","2760","5709"
"2020","東京地下鉄（株）","銀座線","赤坂見附","3435","2323","5758"
"2020","東京地下鉄（株）","銀座線","溜池山王","4187","2800","6987"
"2020","東京地下鉄（株）","銀座線","虎ノ門","9012","4239","13251"
"2020","東京地下鉄（株）","銀座線","新橋","16141","10864","27005"
"2020","東京地下鉄（株）","丸ノ内線","赤坂見附","3936","2645","6581"
"2020","東京地下鉄（株）","日比谷線","神谷町","7401","3804","11205"
"2020","東京地下鉄（株）","日比谷線","六本木","6097","6743","12840"
"2020","東京地下鉄（株）","日比谷線","広尾","3984","3618","7602"
"2020","東京地下鉄（株）","千代田線","赤坂","6177","4495","10672"
"2020","東京地下鉄（株）","千代田線","乃木坂","2220","2347","4567"
"2020","東京地下鉄（株）","千代田線","表参道","3221","3644","6865"
"2020","東京地下鉄（株）","半蔵門線","表参道","2560","4002","6562"
"2020","東京地下鉄（株）","半蔵門線","青山一丁目","3690","3008","6698"
"2020","東京地下鉄（株）","南北線","白金台","1146","961","2107"
"2020","東京地下鉄（株）","南北線","白金高輪","2871","2211","5082"
"2020","東京地下鉄（株）","南北線","麻布十番","2832","3112","5944"
"2020","東京地下鉄（株）","南北線","六本木一丁目","5775","3379","9154"
"2020","東京地下鉄（株）","南北線","溜池山王","3031","1753","4784"
"2020","都営地下鉄","浅草線","高輪台","1162","708","1870"
"2020","都営地下鉄","浅草線","泉岳寺","15910","8976","24886"
"2020","都営地下鉄","浅草線","三田","8313","4843","13156"
"2020","都営地下鉄","浅草線","大門","7824","5082","12906"
"2020","都営地下鉄","浅草線","新橋","6915","3958","10873"
"2020","都営地下鉄","三田線","白金台","706","478","1184"
"2020","都営地下鉄","三田線","白金高輪","1939","1266","3205"
"2020","都営地下鉄","三田線","三田","8036","4302","12337"
"2020","都営地下鉄","三田線","芝公園","2632","1257","3889"
"2020","都営地下鉄","三田線","御成門","4483","1832","6316"
"2020","都営地下鉄","三田線","内幸町","3603","1746","5349"
"2020","都営地下鉄","大江戸線","汐留","2780","1838","4618"
"2020","都営地下鉄","大江戸線","大門","9470","5776","15245"
"2020","都営地下鉄","大江戸線","赤羽橋","2833","1749","4582"
"2020","都営地下鉄","大江戸線","麻布十番","2331","2112","4443"
"2020","都営地下鉄","大江戸線","六本木","5073","4597","9670"
"2020","都営地下鉄","大江戸線","青山一丁目","4943","3589","8531"
"2020","私鉄","京浜急行","泉岳寺","13219","8596","21815"
"2020","私鉄","京浜急行","品川","18933","11368","30301"
"2020","私鉄","東京モノレール","モノレール浜松町","5883","4098","9981"
"2020","私鉄","ゆりかもめ","新橋","1703","2745","4449"
"2020","私鉄","ゆりかもめ","汐留","173","410","582"
"2020","私鉄","ゆりかもめ","竹芝","62","338","400"
"2020","私鉄","ゆりかもめ","日の出","68","161","229"
"2020","私鉄","ゆりかもめ","芝浦ふ頭","260","346","607"
"2020","私鉄","ゆりかもめ","お台場海浜公園","535","872","1408"
"2020","私鉄","ゆりかもめ","台場","257","799","1056"
"2021","ＪＲ線",,"新橋","38690","22413","61103"
"2021","ＪＲ線",,"浜松町","22900","12480","35381"
"2021","ＪＲ線",,"田町","24232","11616","35848"
"2021","ＪＲ線",,"高輪ゲートウェイ","1844","1027","2871"
"2021","ＪＲ線",,"品川","44011","33552","77563"
"2021","ＪＲ線",,"（参考）東京","57579","45584","103163"
"2021","ＪＲ線",,"渋谷","47097","43607","90704"
"2021","ＪＲ線",,"新宿","106103","84492","190595"
"2021","東京地下鉄（株）","銀座線","表参道","2835","5111","7946"
"2021","東京地下鉄（株）","銀座線","外苑前","4349","4987","9336"
"2021","東京地下鉄（株）","銀座線","青山一丁目","2626","3261","5887"
"2021","東京地下鉄（株）","銀座線","赤坂見附","3053","2711","5764"
"2021","東京地下鉄（株）","銀座線","溜池山王","3120","2987","6107"
"2021","東京地下鉄（株）","銀座線","虎ノ門","7759","4896","12655"
"2021","東京地下鉄（株）","銀座線","新橋","14052","13084","27136"
"2021","東京地下鉄（株）","丸ノ内線","赤坂見附","3451","3015","6466"
"2021","東京地下鉄（株）","日比谷線","虎ノ門ヒルズ","2180","2653","4833"
"2021","東京地下鉄（株）","日比谷線","神谷町","6219","4642","10861"
"2021","東京地下鉄（株）","日比谷線","六本木","5810","8370","14180"
"2021","東京地下鉄（株）","日比谷線","広尾","4534","4176","8710"
"2021","東京地下鉄（株）","千代田線","赤坂","5488","5289","10777"
"2021","東京地下鉄（株）","千代田線","乃木坂","2210","3213","5423"
"2021","東京地下鉄（株）","千代田線","表参道","3470","4312","7782"
"2021","東京地下鉄（株）","半蔵門線","表参道","2744","4892","7636"
"2021","東京地下鉄（株）","半蔵門線","青山一丁目","3210","3588","6798"
"2021","東京地下鉄（株）","南北線","白金台","1256","1154","2410"
"2021","東京地下鉄（株）","南北線","白金高輪","2867","2630","5497"
"2021","東京地下鉄（株）","南北線","麻布十番","2767","3624","6391"
"2021","東京地下鉄（株）","南北線","六本木一丁目","5220","4045","9265"
"2021","東京地下鉄（株）","南北線","溜池山王","2269","2051","4320"
"2021","都営地下鉄","浅草線","高輪台","1198","803","2003"
"2021","都営地下鉄","浅草線","泉岳寺","14944","11418","26361"
"2021","都営地下鉄","浅草線","三田","7779","5889","13668"
"2021","都営地下鉄","浅草線","大門","7025","6112","13137"
"2021","都営地下鉄","浅草線","新橋","6095","4829","10924"
"2021","都営地下鉄","三田線","白金台","735","583","1317"
"2021","都営地下鉄","三田線","白金高輪","1875","1501","3375"
"2021","都営地下鉄","三田線","三田","7644","5297","12941"
"2021","都営地下鉄","三田線","芝公園","2324","1433","3757"
"2021","都営地下鉄","三田線","御成門","4164","2116","6281"
"2021","都営地下鉄","三田線","内幸町","2878","1968","4846"
"2021","都営地下鉄","大江戸線","汐留","1983","2029","4012"
"2021","都営地下鉄","大江戸線","大門","8399","6874","15273"
"2021","都営地下鉄","大江戸線","赤羽橋","2576","2020","4597"
"2021","都営地下鉄","大江戸線","麻布十番","2262","2399","4661"
"2021","都営地下鉄","大江戸線","六本木","5095","5743","10837"
"2021","都営地下鉄","大江戸線","青山一丁目","4592","4334","8927"
"2021","私鉄","京浜急行","泉岳寺","12538","11015","23553"
"2021","私鉄","京浜急行","品川","17987","14487","32474"
"2021","私鉄","東京モノレール","モノレール浜松町","5250","5315","10565"
"2021","私鉄","ゆりかもめ","新橋","1778","3916","5694"
"2021","私鉄","ゆりかもめ","汐留","176","543","719"
"2021","私鉄","ゆりかもめ","竹芝","68","466","534"
"2021","私鉄","ゆりかもめ","日の出","89","204","292"
"2021","私鉄","ゆりかもめ","芝浦ふ頭","275","390","664"
"2021","私鉄","ゆりかもめ","お台場海浜公園","471","1091","1562"
"2021","私鉄","ゆりかもめ","台場","283","1169","1452"

"令和5年度港区行政資料集　駅別乗車人員","Ver202303",,,,,
