年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成18年3月,2006,3,99.8,99.8,99.8,100.1,99.9,102.3,98.2,98.9,100.1,99.8,100.1,98.5,100.5
平成18年4月,2006,4,100.1,100,100,100.2,99.9,101.8,98.5,102.3,99.1,99,100.8,99.4,100.4
平成18年5月,2006,5,100.4,100.4,100.5,100.3,100.3,101.8,98.1,102.7,98.8,99.5,100.8,100,100.6
平成18年6月,2006,6,100.3,100.4,100.7,100.1,100.1,101.8,97.7,102.4,99,99.3,100.8,100.1,100.5
平成18年7月,2006,7,100,99.9,99.9,100.1,100.1,102.2,97.9,97.5,98.9,99.9,100.8,100,101.2
平成18年8月,2006,8,100.6,100.7,101.5,100,100,102.2,98.1,97.1,98.9,101,100.8,101.2,101.1
平成18年9月,2006,9,100.6,100.7,101.2,100.1,100,102.3,98.4,103.2,98.7,99.9,100.8,99.7,101.2
平成18年10月,2006,10,100.5,100.6,100.8,100,99.8,102.5,98.2,104.9,99.8,99.7,100.8,99.5,101.3
平成18年11月,2006,11,100,100,99.3,99.9,99.7,102.4,98.6,104.7,99.7,99.2,100.8,98.6,101.5
平成18年12月,2006,12,100.1,100.1,99.7,100,99.9,102.4,97.8,104.8,99.6,99.3,100.8,98.7,101.2
平成19年1月,2007,1,99.9,99.8,100.9,100.2,100,103.4,97.5,97,99.3,99.2,100.8,97,101.3
平成19年2月,2007,2,99.5,99.3,100.1,100.2,99.9,103.4,97.2,94.8,99.1,98.5,100.9,97.1,101.1
平成19年3月,2007,3,99.9,99.8,100.5,100.1,99.9,103.4,96.5,97.6,99.5,98.5,101.5,97.8,101.1
平成19年4月,2007,4,100.2,100.2,100.8,100.1,99.7,103.2,97.1,101.9,99.6,98.6,102,98.3,101.3
平成19年5月,2007,5,100.4,100.4,100.8,100.2,99.9,103.2,96.6,102.6,99.7,99,102,98.7,101.6
平成19年6月,2007,6,100.1,100.1,100.3,100.1,99.8,103.2,96.3,101.7,99.5,99.1,102,98.3,101.3
平成19年7月,2007,7,99.9,99.8,100.2,100.1,99.7,102.9,95.8,97.3,99.4,99.7,102,98.3,101.1
平成19年8月,2007,8,100.3,100.4,101.1,100,99.6,102.9,95.7,95.7,99.5,100.6,102,100.3,101.4
平成19年9月,2007,9,100.5,100.5,101.4,100.2,99.7,102.9,95.5,101.9,99.3,99.4,102,98.7,101.4
平成19年10月,2007,10,100.6,100.6,101.3,100.2,99.7,103.7,95.9,103.1,99.2,99.6,102,98.6,101.7
前月比(％)／平成18年10月,2006,10,-0.1,-0.1,-0.4,-0.1,-0.2,0.2,-0.2,1.6,1.1,-0.2,0,-0.2,0.1
前月比(％)／平成18年11月,2006,11,-0.5,-0.6,-1.5,-0.1,-0.1,-0.1,0.4,-0.2,-0.1,-0.5,0,-0.9,0.2
前月比(％)／平成18年12月,2006,12,0.1,0.1,0.4,0.1,0.2,0,-0.8,0.1,-0.1,0.1,0,0.1,-0.3
前月比(％)／平成19年1月,2007,1,-0.2,-0.3,1.2,0.2,0.1,1,-0.3,-7.4,-0.3,-0.1,0,-1.7,0.1
前月比(％)／平成19年2月,2007,2,-0.4,-0.5,-0.8,0,-0.1,0,-0.3,-2.3,-0.2,-0.7,0.1,0.1,-0.2
前月比(％)／平成19年3月,2007,3,0.4,0.5,0.4,-0.1,0,0,-0.7,3,0.4,0,0.6,0.7,0
前月比(％)／平成19年4月,2007,4,0.3,0.4,0.3,0,-0.2,-0.2,0.6,4.4,0.1,0.1,0.5,0.5,0.2
前月比(％)／平成19年5月,2007,5,0.2,0.2,0,0.1,0.2,0,-0.5,0.7,0.1,0.4,0,0.4,0.3
前月比(％)／平成19年6月,2007,6,-0.3,-0.3,-0.5,-0.1,-0.1,0,-0.3,-0.9,-0.2,0.1,0,-0.4,-0.3
前月比(％)／平成19年7月,2007,7,-0.2,-0.3,-0.1,0,-0.1,-0.3,-0.5,-4.3,-0.1,0.6,0,0,-0.2
前月比(％)／平成19年8月,2007,8,0.4,0.6,0.9,-0.1,-0.1,0,-0.1,-1.6,0.1,0.9,0,2,0.3
前月比(％)／平成19年9月,2007,9,0.2,0.1,0.3,0.2,0.1,0,-0.2,6.5,-0.2,-1.2,0,-1.6,0
前月比(％)／平成19年10月,2007,10,0.1,0.1,-0.1,0,0,0.8,0.4,1.2,-0.1,0.2,0,-0.1,0.3
前年同月比(％)／平成18年10月,2006,10,0.4,0.5,1.3,-0.1,-0.1,1.8,-1.1,2,0.1,-0.7,0.7,-0.7,1.3
前年同月比(％)／平成18年11月,2006,11,0.2,0.3,0.3,0,-0.2,1.7,-0.5,0.8,-0.2,0.2,0.7,-0.6,1.2
前年同月比(％)／平成18年12月,2006,12,0.3,0.3,0.7,0.1,0.1,1.6,-1,1.1,0.2,-0.2,0.7,-0.7,0.9
前年同月比(％)／平成19年1月,2007,1,0.1,-0.1,-0.5,0.4,0.2,1,-0.6,1.8,-0.7,0,0.7,-0.7,1
前年同月比(％)／平成19年2月,2007,2,0,-0.1,-0.2,0.2,0,0.9,-0.7,-0.2,-0.9,-0.4,0.8,-0.2,0.5
前年同月比(％)／平成19年3月,2007,3,0.1,0,0.7,0,0,1.1,-1.7,-1.3,-0.6,-1.3,1.4,-0.7,0.6
前年同月比(％)／平成19年4月,2007,4,0.1,0.2,0.8,-0.1,-0.2,1.4,-1.4,-0.4,0.5,-0.4,1.2,-1.1,0.9
前年同月比(％)／平成19年5月,2007,5,0,0,0.3,-0.1,-0.4,1.4,-1.5,-0.1,0.9,-0.5,1.2,-1.3,1
前年同月比(％)／平成19年6月,2007,6,-0.2,-0.3,-0.4,0,-0.3,1.4,-1.4,-0.7,0.5,-0.2,1.2,-1.8,0.8
前年同月比(％)／平成19年7月,2007,7,-0.1,-0.1,0.3,0,-0.4,0.7,-2.1,-0.2,0.5,-0.2,1.2,-1.7,-0.1
前年同月比(％)／平成19年8月,2007,8,-0.3,-0.3,-0.4,0,-0.4,0.7,-2.4,-1.4,0.6,-0.4,1.2,-0.9,0.3
前年同月比(％)／平成19年9月,2007,9,-0.1,-0.2,0.2,0.1,-0.3,0.6,-2.9,-1.3,0.6,-0.5,1.2,-1,0.2
前年同月比(％)／平成19年10月,2007,10,0.1,0,0.5,0.2,-0.1,1.2,-2.3,-1.7,-0.6,-0.1,1.2,-0.9,0.4
,,,,,,,,,,,,,,,
東京の物価／平成１９年１０月,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
