区分,学校数（校）,学校数／高等課程（校）,学校数／専門課程（校）,学校数／一般課程（校）,学校数／国立（校）,学校数／国立／高等課程（校）,学校数／国立／専門課程（校）,学校数／国立／一般課程（校）,学校数／公立（校）,学校数／公立／高等課程（校）,学校数／公立／専門課程（校）,学校数／公立／一般課程（校）,学校数／私立（校）,学校数／私立／高等課程（校）,学校数／私立／専門課程（校）,学校数／私立／一般課程（校）
衛生関係のうち理容,7,1,6,－,－,－,－,－,－,－,－,－,7,1,6,－
衛生関係のうち美容,36,6,29,1,－,－,－,－,－,－,－,－,36,6,29,1
衛生関係のうち製菓・製パン,19,3,16,－,－,－,－,－,－,－,－,－,19,3,16,－
衛生関係のうちその他,10,－,10,－,－,－,－,－,－,－,－,－,10,－,10,－
教育・社会福祉関係,55,－,55,－,－,－,－,－,－,－,－,－,55,－,55,－
教育・社会福祉関係のうち保育士養成,17,－,17,－,－,－,－,－,－,－,－,－,17,－,17,－
教育・社会福祉関係のうち教員養成,9,－,9,－,－,－,－,－,－,－,－,－,9,－,9,－
教育・社会福祉関係のうち介護福祉,21,－,21,－,－,－,－,－,－,－,－,－,21,－,21,－
教育・社会福祉関係のうち社会福祉,5,－,5,－,－,－,－,－,－,－,－,－,5,－,5,－
教育・社会福祉関係のうちその他,3,－,3,－,－,－,－,－,－,－,－,－,3,－,3,－
商業実務関係,96,2,93,1,－,－,－,－,－,－,－,－,96,2,93,1
商業実務関係のうち商業,12,－,12,－,－,－,－,－,－,－,－,－,12,－,12,－
商業実務関係のうち経理・簿記,15,1,13,1,－,－,－,－,－,－,－,－,15,1,13,1
商業実務関係のうちタイピスト,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
商業実務関係のうち秘書,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
商業実務関係のうち経営,10,1,9,－,－,－,－,－,－,－,－,－,10,1,9,－
商業実務関係のうち旅行,17,－,17,－,－,－,－,－,－,－,－,－,17,－,17,－
商業実務関係のうち情報,20,－,20,－,－,－,－,－,－,－,－,－,20,－,20,－
商業実務関係のうちビジネス,13,－,13,－,－,－,－,－,－,－,－,－,13,－,13,－
商業実務関係のうちその他,8,－,8,－,－,－,－,－,－,－,－,－,8,－,8,－
服飾・家政関係,44,5,35,4,－,－,－,－,－,－,－,－,44,5,35,4
服飾・家政関係のうち家政,3,2,1,－,－,－,－,－,－,－,－,－,3,2,1,－
服飾・家政関係のうち家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
服飾・家政関係のうち和洋裁,29,3,23,3,－,－,－,－,－,－,－,－,29,3,23,3
服飾・家政関係のうち料理,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
服飾・家政関係のうち編物・手芸,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
服飾・家政関係のうちファッションビジネス,8,－,8,－,－,－,－,－,－,－,－,－,8,－,8,－
服飾・家政関係のうちその他,3,－,2,1,－,－,－,－,－,－,－,－,3,－,2,1
文化・教養関係,175,7,149,19,－,－,－,－,－,－,－,－,175,7,149,19
文化・教養関係のうち音楽,15,1,14,－,－,－,－,－,－,－,－,－,15,1,14,－
文化・教養関係のうち美術,14,1,11,2,－,－,－,－,－,－,－,－,14,1,11,2
文化・教養関係のうちデザイン,22,1,21,－,－,－,－,－,－,－,－,－,22,1,21,－
文化・教養関係のうち茶華道,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
文化・教養関係のうち外国語,19,－,19,－,－,－,－,－,－,－,－,－,19,－,19,－
文化・教養関係のうち演劇・映画,16,1,15,－,－,－,－,－,－,－,－,－,16,1,15,－
文化・教養関係のうち写真,2,－,2,－,－,－,－,－,－,－,－,－,2,－,2,－
文化・教養関係のうち通訳・ガイド,5,－,5,－,－,－,－,－,－,－,－,－,5,－,5,－
文化・教養関係のうち受験・補習,16,－,－,16,－,－,－,－,－,－,－,－,16,－,－,16
文化・教養関係のうち動物,11,－,11,－,－,－,－,－,－,－,－,－,11,－,11,－
文化・教養関係のうち法律行政,10,－,10,－,－,－,－,－,－,－,－,－,10,－,10,－
文化・教養関係のうちスポーツ,12,－,12,－,－,－,－,－,－,－,－,－,12,－,12,－
文化・教養関係のうちその他,33,3,29,1,－,－,－,－,－,－,－,－,33,3,29,1
,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,
１１－２　専修学校　設置者、課程、学科別延べ学校数,,,,,,,,,,,,,,,,
注１）学校数は、延数である。,,,,,,,,,,,,,,,,
注２）学科区分の詳細については、巻末の学校基本調査 専修学校の学科及び各種学校の課程のコード表を参照,,,,,,,,,,,,,,,,
