,,,,,,,,,(単位：トン）,,,,,
39,電気機械,"3,965,131","701,671","3,263,460","3,955,949","743,798","3,212,151","9,182",100.2%,,,,,
40,測量・光学・医療用機械,"589,116","234,552","354,564","583,518","229,158","354,360","5,598",101.0%,,,,,
41,事務用機器,"195,528","29,151","166,377","181,958","34,661","147,297","13,570",107.5%,,,,,
42,その他機械,"36,219","11,647","24,572","37,783","11,332","26,451","-1,564",95.9%,,,,,
化学工業品,,"5,876,910","2,381,459","3,495,451","6,084,718","2,414,432","3,670,286","-207,808",96.6%,,,,,
43,陶磁器,"152,514","10,392","142,122","148,993","11,304","137,689","3,521",102.4%,,,,,
44,セメント,"17,303",710,"16,593","16,676","3,356","13,320",627,103.8%,,,,,
45,ガラス類,"267,417","85,642","181,775","291,358","89,267","202,091","-23,941",91.8%,,,,,
46,窯業品,"322,886","120,768","202,118","371,416","146,997","224,419","-48,530",86.9%,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,
48,揮発油,354,-,354,243,-,243,111,145.7%,,,,,
49,その他の石油,"48,989","30,357","18,632","42,507","22,130","20,377","6,482",115.2%,,,,,
50,LNG/液化天然ガス,120,-,120,194,-,194,-74,61.9%,,,,,
51,LPG/液化石油ガス,"1,680",-,"1,680",930,-,930,750,180.6%,,,,,
52,その他石油製品,"20,858","6,423","14,435","36,557","16,979","19,578","-15,699",57.1%,,,,,
53,コークス,"21,913",-,"21,913","45,301",-,"45,301","-23,388",48.4%,,,,,
54,石炭製品,"7,186","6,129","1,057","5,429","4,810",619,"1,757",132.4%,,,,,
55,化学薬品,"888,155","293,597","594,558","932,885","294,194","638,691","-44,730",95.2%,,,,,
56,化学肥料,"54,966","3,033","51,933","54,842","2,249","52,593",124,100.2%,,,,,
57,その他化学工業品,"4,072,569","1,824,408","2,248,161","4,137,387","1,823,146","2,314,241","-64,818",98.4%,,,,,
軽工業品,,"5,392,100","624,288","4,767,812","5,474,818","646,465","4,828,353","-82,718",98.5%,,,,,
58,紙・パルプ,"980,948","219,308","761,640","982,329","263,357","718,972","-1,381",99.9%,,,,,
59,糸及び紡績半製品,"55,303","6,175","49,128","56,960","3,492","53,468","-1,657",97.1%,,,,,
60,その他繊維工業品,"352,337","55,864","296,473","379,041","59,435","319,606","-26,704",93.0%,,,,,
61,砂糖,"45,725",855,"44,870","53,613",370,"53,243","-7,888",85.3%,,,,,
62,製造食品,"2,821,976","277,757","2,544,219","2,820,254","262,856","2,557,398","1,722",100.1%,,,,,
63,飲料,"701,938","55,248","646,690","754,896","50,720","704,176","-52,958",93.0%,,,,,
64,水,"201,421","8,135","193,286","178,136","5,320","172,816","23,285",113.1%,,,,,
65,たばこ,"96,953",233,"96,720","77,778",218,"77,560","19,175",124.7%,,,,,
66,その他食料工業品,"135,499",713,"134,786","171,811",697,"171,114","-36,312",78.9%,,,,,
雑工業品,,"11,654,539","1,229,819","10,424,720","11,630,964","1,174,803","10,456,161","23,575",100.2%,,,,,
67,がん具,"646,964","30,998","615,966","699,165","22,212","676,953","-52,201",92.5%,,,,,
68,衣服・身廻品・はきもの,"4,914,960","167,910","4,747,050","4,862,198","158,055","4,704,143","52,762",101.1%,,,,,
69,文房具・運動娯楽用品・楽器,"795,965","126,502","669,463","818,396","126,835","691,561","-22,431",97.3%,,,,,
70,家具装備品,"2,133,503","93,195","2,040,308","2,158,505","108,807","2,049,698","-25,002",98.8%,,,,,
71,その他日用品,"541,606","120,788","420,818","545,552","127,908","417,644","-3,946",99.3%,,,,,
72,ゴム製品,"815,870","387,696","428,174","803,331","354,845","448,486","12,539",101.6%,,,,,
73,木製品,"1,229,870","11,869","1,218,001","1,179,501","9,639","1,169,862","50,369",104.3%,,,,,
74,その他製造工業品,"575,801","290,861","284,940","564,316","266,502","297,814","11,485",102.0%,,,,,
特殊品,,"5,098,370","2,926,087","2,172,283","5,452,941","3,178,705","2,274,236","-354,571",93.5%,,,,,
75,金属くず,"698,942","638,591","60,351","607,923","535,710","72,213","91,019",115.0%,,,,,
76,再利用資材,"1,925,132","1,883,199","41,933","2,220,569","2,173,069","47,500","-295,437",86.7%,,,,,
77,動植物性製造飼肥料,"1,004,264","18,864","985,400","1,052,195","23,875","1,028,320","-47,931",95.4%,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,,,,,
80,輸送用容器,"1,192,755","212,237","980,518","1,259,390","209,996","1,049,394","-66,635",94.7%,,,,,
81,取合せ品,"277,277","173,196","104,081","312,864","236,055","76,809","-35,587",88.6%,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,
