,,,,,,,,,(単位：トン）,,
70,家具装備品,"29,399","21,497","7,902","33,867","22,288","11,579","-4,468",86.8%,,
71,その他日用品,"261,341","231,432","29,909","237,538","207,895","29,643","23,803",110.0%,,
72,ゴム製品,"26,849","13,571","13,278","30,082","20,451","9,631","-3,233",89.3%,,
73,木製品,"26,120","24,976","1,144","25,179","24,504",675,941,103.7%,,
74,その他製造工業品,"109,111","65,796","43,315","83,761","58,893","24,868","25,350",130.3%,,
特殊品,,"7,266,571","4,742,129","2,524,442","7,715,548","5,127,309","2,588,239","-448,977",94.2%,,
75,金属くず,"33,894","18,368","15,526","44,352","24,301","20,051","-10,458",76.4%,,
76,再利用資材,"267,646","243,405","24,241","320,999","301,278","19,721","-53,353",83.4%,,
77,動植物性製造飼肥料,"70,518","64,923","5,595","71,037","66,547","4,490",-519,99.3%,,
78,廃棄物,"12,697","3,575","9,122","14,400","4,160","10,240","-1,703",88.2%,,
79,廃土砂,"1,286,413","1,274,566","11,847","1,634,652","1,634,249",403,"-348,239",78.7%,,
80,輸送用容器,"299,135","80,740","218,395","306,560","106,211","200,349","-7,425",97.6%,,
81,取合せ品,"5,296,268","3,056,552","2,239,716","5,323,548","2,990,563","2,332,985","-27,280",99.5%,,
分類不能のもの,,-,-,-,-,-,-,-,-,,
