,,,,,,,,,(単位：トン）,,,,,,,
53,コークス,"71,383","15,513","55,870","73,729","7,969","65,760","-2,346",96.8%,,,,,,,
54,石炭製品,"7,206","6,129","1,077","5,464","4,825",639,"1,742",131.9%,,,,,,,
55,化学薬品,"989,694","336,669","653,025","1,048,708","341,669","707,039","-59,014",94.4%,,,,,,,
56,化学肥料,"61,806","6,388","55,418","63,009","6,131","56,878","-1,203",98.1%,,,,,,,
57,その他化学工業品,"4,229,771","1,907,472","2,322,299","4,298,469","1,928,404","2,370,065","-68,698",98.4%,,,,,,,
軽工業品,,"7,866,870","1,406,020","6,460,850","8,281,656","1,494,774","6,786,882","-414,786",95.0%,,,,,,,
58,紙・パルプ,"2,396,830","413,210","1,983,620","2,660,077","494,594","2,165,483","-263,247",90.1%,,,,,,,
59,糸及び紡績半製品,"55,557","6,369","49,188","59,419","3,872","55,547","-3,862",93.5%,,,,,,,
60,その他他繊維工業品,"354,646","57,864","296,782","381,022","60,995","320,027","-26,376",93.1%,,,,,,,
61,砂糖,"127,917","13,976","113,941","143,372","21,843","121,529","-15,455",89.2%,,,,,,,
62,製造食品,"3,120,978","466,487","2,654,491","3,127,556","462,192","2,665,364","-6,578",99.8%,,,,,,,
63,飲料,"1,093,213","324,166","769,047","1,205,883","341,105","864,778","-112,670",90.7%,,,,,,,
64,水,"272,113","59,442","212,671","259,726","66,723","193,003","12,387",104.8%,,,,,,,
65,たばこ,"112,103","8,648","103,455","94,378","9,003","85,375","17,725",118.8%,,,,,,,
66,その他食料工業品,"333,513","55,858","277,655","350,223","34,447","315,776","-16,710",95.2%,,,,,,,
雑工業品,,"12,128,276","1,603,953","10,524,323","12,074,588","1,533,408","10,541,180","53,688",100.4%,,,,,,,
67,がん具,"647,265","31,148","616,117","699,343","22,390","676,953","-52,078",92.6%,,,,,,,
68,衣服・身廻品・はきもの,"4,929,924","180,214","4,749,710","4,880,364","171,493","4,708,871","49,560",101.0%,,,,,,,
69,文房具・運動娯楽用品・楽器,"801,617","130,910","670,707","833,249","137,793","695,456","-31,632",96.2%,,,,,,,
70,家具装備品,"2,162,902","114,692","2,048,210","2,192,372","131,095","2,061,277","-29,470",98.7%,,,,,,,
71,その他日用品,"802,947","352,220","450,727","783,090","335,803","447,287","19,857",102.5%,,,,,,,
72,ゴム製品,"842,719","401,267","441,452","833,413","375,296","458,117","9,306",101.1%,,,,,,,
73,木製品,"1,255,990","36,845","1,219,145","1,204,680","34,143","1,170,537","51,310",104.3%,,,,,,,
74,その他製造工業品,"684,912","356,657","328,255","648,077","325,395","322,682","36,835",105.7%,,,,,,,
特殊品,,"12,364,941","7,668,216","4,696,725","13,168,489","8,306,014","4,862,475","-803,548",93.9%,,,,,,,
75,金属くず,"732,836","656,959","75,877","652,275","560,011","92,264","80,561",112.4%,,,,,,,
76,再利用資材,"2,192,778","2,126,604","66,174","2,541,568","2,474,347","67,221","-348,790",86.3%,,,,,,,
77,動植物性製造飼肥料,"1,074,782","83,787","990,995","1,123,232","90,422","1,032,810","-48,450",95.7%,,,,,,,
78,廃棄物,"12,697","3,575","9,122","14,400","4,160","10,240","-1,703",88.2%,,,,,,,
79,廃土砂,"1,286,413","1,274,566","11,847","1,634,652","1,634,249",403,"-348,239",78.7%,,,,,,,
80,輸送用容器,"1,491,890","292,977","1,198,913","1,565,950","316,207","1,249,743","-74,060",95.3%,,,,,,,
81,取合せ品,"5,573,545","3,229,748","2,343,797","5,636,412","3,226,618","2,409,794","-62,867",98.9%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
