"所管","町丁目","A～S全産業 事業所数","A～S全産業 従業者数[人]","A農業，林業 事業所数","A農業，林業 従業者数[人]","B漁業 事業所数","B漁業 従業者数[人]","C鉱業，採石業，砂利採取業 事業所数","C鉱業，採石業，砂利採取業 従業者数[人]","D建設業 事業所数","D建設業 従業者数[人]","E製造業 事業所数","E製造業 従業者数[人]","F電気・ガス・熱供給・水道業　事業所数","F電気・ガス・熱供給・水道業　従業者数[人]","G情報通信業 事業所数","G情報通信業 従業者数[人]","H運輸業，郵便業 事業所数","H運輸業，郵便業 従業者数[人]","I卸売業，小売業 事業所数","I卸売業，小売業 従業者数[人]","J金融業，保険業 事業所数","J金融業，保険業 従業者数[人]","K不動産業，物品賃貸業 事業所数","K不動産業，物品賃貸業 従業者数[人]","L学術研究，専門・技術サービス業 事業所数","L学術研究，専門・技術サービス業従業者数[人]","M宿泊業，飲食サービス業　事業所数","M宿泊業，飲食サービス業　従業者数[人]","N生活関連サービス業，娯楽業 事業所数","N生活関連サービス業，娯楽業 従業者数[人]","O教育，学習支援業 事業所数","O教育，学習支援業 従業者数[人]","P医療，福祉 事業所数","P医療，福祉 従業者数[人]","Q複合サービス事業 事業所数","Q複合サービス事業 従業者数[人]","Rサービス業(他に分類されない) 事業所数","Rサービス業(他に分類されない) 従業者数[人]"
"芝地区総合支所","芝公園４丁目","82","3965","-","-","-","-","-","-","-","-","-","-","-","-","7","1884","2","20","24","134","-","-","5","134","3","27","19","1107","10","434","3","32","-","-","-","-","9","193"
"芝地区総合支所","虎ノ門１丁目","838","22702","1","2","-","-","-","-","16","986","18","349","3","104","43","5407","18","152","125","4851","47","1469","66","1328","220","4054","107","996","18","137","10","125","39","417","1","17","106","2308"
"芝地区総合支所","虎ノ門２丁目","409","15697","1","2","-","-","1","13","5","245","10","1278","8","132","33","1531","15","1321","73","3539","17","781","22","658","82","657","41","1486","11","45","1","4","16","2275","-","-","73","1730"
"芝地区総合支所","虎ノ門３丁目","483","10248","-","-","-","-","-","-","13","486","9","137","-","-","39","850","12","282","78","1846","12","447","37","837","136","1684","33","332","14","157","12","85","14","64","1","7","73","3034"
"芝地区総合支所","虎ノ門４丁目","381","15991","-","-","-","-","-","-","3","24","6","131","3","40","50","2974","4","202","70","2601","43","2278","27","499","86","3041","22","422","4","59","3","17","16","128","1","11","43","3564"
"芝地区総合支所","虎ノ門５丁目","332","4152","-","-","-","-","1","7","1","9","16","484","-","-","26","718","4","33","48","628","16","233","21","153","109","1066","38","361","11","48","3","8","9","61","-","-","29","343"
"芝地区総合支所","愛宕１丁目","61","653","-","-","-","-","-","-","1","12","1","6","-","-","4","44","1","10","10","164","-","-","4","25","24","99","2","110","-","-","2","35","4","41","-","-","8","107"
"芝地区総合支所","愛宕２丁目","75","4577","-","-","-","-","-","-","-","-","-","-","-","-","12","1273","3","22","8","568","12","793","-","-","12","212","8","126","1","66","4","71","6","1376","-","-","9","70"
"麻布地区総合支所","麻布狸穴町","4","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","7","-","-","1","13","-","-","-","-","-","-","1","-"
"麻布地区総合支所","麻布永坂町","18","140","-","-","-","-","-","-","-","-","-","-","-","-","3","46","-","-","1","9","1","5","3","21","4","32","3","11","1","8","2","8","-","-","-","-","-","-"
"麻布地区総合支所","南麻布１丁目","123","1490","1","2","-","-","-","-","5","107","10","93","-","-","10","112","4","16","27","507","3","5","15","28","8","140","8","27","12","135","1","158","7","82","-","-","12","78"
"麻布地区総合支所","南麻布２丁目","137","2547","-","-","-","-","-","-","3","27","4","156","1","222","7","233","2","25","35","572","2","159","13","41","9","190","18","112","7","78","3","281","15","288","1","7","17","156"
"麻布地区総合支所","南麻布３丁目","69","1727","1","6","-","-","-","-","1","1","1","93","-","-","10","1068","-","-","9","45","2","24","10","53","9","221","5","33","5","80","1","33","3","29","-","-","12","41"
"麻布地区総合支所","南麻布４丁目","189","1850","-","-","-","-","-","-","7","22","4","11","-","-","12","313","-","-","42","399","1","39","20","142","21","73","23","144","18","159","7","51","22","367","-","-","12","130"
"麻布地区総合支所","南麻布５丁目","216","2649","-","-","-","-","-","-","1","2","4","19","-","-","12","341","1","5","45","406","4","77","26","129","17","177","29","305","26","181","10","285","30","448","1","10","10","264"
"麻布地区総合支所","元麻布１丁目","45","332","-","-","-","-","-","-","1","126","2","7","-","-","2","17","-","-","4","16","-","-","7","32","1","4","2","8","3","9","3","23","3","26","-","-","17","64"
"麻布地区総合支所","元麻布２丁目","42","452","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","35","-","-","5","8","7","26","6","37","2","4","8","324","2","6","-","-","4","12"
"麻布地区総合支所","元麻布３丁目","116","1039","-","-","-","-","-","-","-","-","3","9","-","-","13","250","1","8","18","203","1","9","10","39","15","82","14","188","11","77","3","13","12","90","-","-","15","71"
"麻布地区総合支所","西麻布１丁目","263","3571","1","6","-","-","-","-","2","24","2","21","-","-","31","1067","2","8","46","345","1","2","28","551","40","218","73","894","12","189","1","2","9","57","1","7","14","180"
"麻布地区総合支所","西麻布２丁目","200","2911","-","-","-","-","-","-","6","24","6","21","-","-","20","195","4","192","44","1465","1","12","12","40","17","85","59","422","9","41","2","17","9","51","-","-","11","346"
"麻布地区総合支所","西麻布３丁目","259","3562","-","-","-","-","-","-","3","26","3","19","-","-","24","374","-","-","46","402","1","2","25","201","43","235","46","850","26","204","4","21","18","966","-","-","20","262"
"麻布地区総合支所","西麻布４丁目","229","2389","-","-","-","-","-","-","3","12","4","36","-","-","18","656","3","17","43","482","2","32","28","87","13","45","75","471","12","63","2","34","12","131","-","-","14","323"
"麻布地区総合支所","六本木１丁目","251","11563","-","-","-","-","-","-","2","182","3","384","1","4","23","2170","2","27","49","2159","27","2105","16","346","45","2497","27","469","8","207","1","11","10","91","1","14","36","897"
"麻布地区総合支所","六本木２丁目","84","1397","-","-","-","-","-","-","1","3","2","19","-","-","21","360","-","-","11","50","3","633","12","74","11","66","9","54","5","19","-","-","3","30","-","-","6","89"
"麻布地区総合支所","六本木３丁目","491","8642","2","17","-","-","-","-","2","34","4","20","-","-","41","1358","5","125","63","2831","5","39","53","259","41","306","182","2322","29","232","7","184","20","133","-","-","37","782"
"麻布地区総合支所","六本木４丁目","285","3096","1","2","-","-","-","-","2","23","4","22","-","-","29","609","1","25","35","312","3","42","33","129","22","66","102","1008","24","154","2","10","12","63","-","-","15","631"
"麻布地区総合支所","六本木５丁目","265","5256","-","-","-","-","-","-","-","-","1","11","-","-","13","387","2","218","36","432","3","4","37","460","23","254","81","2482","19","237","12","299","15","212","-","-","23","260"
"麻布地区総合支所","六本木６丁目","554","21338","-","-","-","-","-","-","4","110","8","1185","2","99","51","5094","2","55","155","3949","25","1105","23","2501","42","882","120","3612","39","996","9","122","24","317","2","24","48","1287"
"麻布地区総合支所","六本木７丁目","511","5136","-","-","-","-","-","-","13","219","6","31","-","-","30","398","1","1","69","816","5","131","46","173","70","303","133","1092","46","373","17","584","31","393","1","6","43","616"
"麻布地区総合支所","麻布台１丁目","141","2870","-","-","-","-","-","-","4","33","2","20","-","-","15","106","1","6","25","508","4","164","17","261","24","177","11","64","3","7","3","55","3","12","4","1101","25","356"
"麻布地区総合支所","麻布台２丁目","71","1579","-","-","-","-","-","-","2","36","2","18","-","-","14","406","-","-","15","467","2","10","9","47","9","91","4","9","3","18","1","4","-","-","-","-","10","473"
"麻布地区総合支所","麻布台３丁目","64","516","1","11","-","-","-","-","1","2","2","13","-","-","11","195","1","14","7","67","3","8","10","38","9","48","12","56","2","13","1","21","2","8","-","-","2","22"
"麻布地区総合支所","麻布十番１丁目","279","2667","-","-","-","-","-","-","1","3","3","11","-","-","19","574","1","4","60","487","5","99","32","203","21","145","66","684","20","104","10","115","27","188","-","-","14","50"
"麻布地区総合支所","麻布十番２丁目","298","2477","-","-","-","-","-","-","2","9","8","44","-","-","8","60","2","13","84","838","5","23","28","111","10","62","75","740","31","159","9","122","28","185","1","9","7","102"
"麻布地区総合支所","麻布十番３丁目","84","741","-","-","-","-","-","-","2","28","-","-","-","-","6","67","-","-","24","249","1","16","1","8","5","32","24","193","6","57","3","27","9","56","-","-","3","8"
"麻布地区総合支所","麻布十番４丁目","21","202","-","-","-","-","-","-","2","3","2","11","-","-","2","89","-","-","4","38","1","24","2","10","-","-","2","5","2","13","1","2","2","6","-","-","1","1"
"麻布地区総合支所","東麻布１丁目","209","2161","1","5","-","-","-","-","9","82","14","74","-","-","26","477","6","34","43","398","-","-","13","51","23","275","26","223","14","200","3","15","10","143","-","-","21","184"
"麻布地区総合支所","東麻布２丁目","150","2119","-","-","-","-","-","-","12","321","9","42","-","-","11","254","2","16","41","551","1","8","15","150","13","77","15","108","11","34","2","7","10","121","-","-","8","430"
"麻布地区総合支所","東麻布３丁目","118","1255","-","-","-","-","-","-","5","39","2","10","-","-","13","149","3","17","18","328","1","3","8","28","25","127","13","227","9","41","4","18","8","160","-","-","9","108"
"赤坂地区総合支所","元赤坂１丁目","322","13045","-","-","-","-","-","-","13","3512","7","610","-","-","29","1556","10","146","54","1479","10","190","39","496","67","830","12","150","11","187","6","60","9","161","-","-","55","3668"
"赤坂地区総合支所","元赤坂２丁目","8","575","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","3","-","-","-","-","-","-","1","19","3","504","-","-","-","-","-","-","3","49"
"赤坂地区総合支所","赤坂１丁目","515","23675","-","-","-","-","-","-","8","244","6","131","2","30","45","5671","10","399","89","2029","23","251","26","529","93","8090","52","1313","17","903","10","97","14","129","2","13","118","3846"
"赤坂地区総合支所","赤坂２丁目","881","19797","2","6","-","-","-","-","28","3129","14","1713","1","2","100","3297","6","192","108","2396","41","2069","65","778","152","1343","180","2118","30","171","18","155","44","664","3","21","89","1743"
"赤坂地区総合支所","赤坂３丁目","771","11468","-","-","-","-","-","-","7","138","14","186","-","-","43","1829","9","73","99","1575","27","695","64","398","74","451","298","2869","43","335","11","49","44","568","1","8","37","2294"
"赤坂地区総合支所","赤坂４丁目","421","10183","1","10","-","-","-","-","13","404","7","488","-","-","51","2230","4","169","68","1491","9","445","34","342","72","1797","72","717","18","199","8","187","16","162","-","-","48","1542"
"赤坂地区総合支所","赤坂５丁目","307","15772","-","-","-","-","32","858","6","146","5","773","1","4","46","4472","3","19","39","720","10","234","31","1649","29","5616","56","753","13","138","-","-","17","177","-","-","19","213"
"赤坂地区総合支所","赤坂６丁目","372","7348","-","-","-","-","-","-","7","1770","4","152","1","2","49","1839","4","27","46","1131","7","28","44","179","57","639","60","619","20","71","3","19","19","218","1","3","50","651"
"赤坂地区総合支所","赤坂７丁目","387","5517","-","-","-","-","-","-","12","118","9","554","-","-","71","1752","3","72","63","1032","6","121","43","150","61","429","24","179","27","251","10","240","12","73","1","6","45","540"
"赤坂地区総合支所","赤坂８丁目","197","8380","1","4","-","-","-","-","1","6","2","2","-","-","27","1331","3","353","32","2510","6","110","22","280","39","736","18","334","14","243","9","95","6","703","-","-","17","1673"
"赤坂地区総合支所","赤坂９丁目","332","15506","-","-","-","-","-","-","6","10","6","895","-","-","32","7713","2","8","92","2531","10","711","27","211","45","1717","36","546","23","146","10","107","12","78","1","8","30","825"
"赤坂地区総合支所","南青山１丁目","364","6500","-","-","-","-","-","-","3","13","8","76","3","32","32","505","6","52","71","1805","15","268","20","201","62","840","58","618","19","102","9","732","26","313","-","-","32","943"
"赤坂地区総合支所","南青山２丁目","832","11654","-","-","-","-","-","-","14","153","19","1517","-","-","89","1388","4","15","172","2056","10","132","102","1513","145","1560","72","1062","73","1179","20","101","57","516","1","13","54","449"
"赤坂地区総合支所","南青山３丁目","453","7917","-","-","-","-","-","-","5","63","4","25","-","-","23","1032","2","47","132","2239","10","216","33","136","49","314","47","478","87","919","12","213","32","200","-","-","17","2035"
"赤坂地区総合支所","南青山４丁目","221","1911","-","-","-","-","-","-","2","29","3","14","-","-","16","184","-","-","55","685","5","57","27","139","39","181","12","88","22","193","8","60","17","183","-","-","15","98"
"赤坂地区総合支所","南青山５丁目","860","11980","-","-","-","-","-","-","15","459","16","121","-","-","49","590","3","86","270","3409","9","2440","85","590","141","1022","83","1492","82","804","15","76","44","299","-","-","48","592"
"赤坂地区総合支所","南青山６丁目","311","3549","-","-","-","-","-","-","2","14","4","35","-","-","18","257","-","-","112","1049","-","-","33","314","56","294","22","396","32","387","5","570","6","17","-","-","21","216"
"赤坂地区総合支所","南青山７丁目","93","991","-","-","-","-","-","-","-","-","1","5","-","-","8","172","1","23","29","326","2","8","11","36","14","154","9","126","9","59","1","2","6","36","-","-","2","44"
"赤坂地区総合支所","北青山１丁目","161","3757","-","-","-","-","-","-","1","5","4","33","1","98","19","576","1","1","35","1106","5","188","16","200","40","422","11","99","3","6","4","453","9","118","-","-","12","452"
"赤坂地区総合支所","北青山２丁目","312","10001","-","-","-","-","1","39","6","239","2","24","1","4","25","2478","5","84","65","3587","20","334","28","471","34","496","41","641","32","645","4","123","16","111","-","-","32","725"
"赤坂地区総合支所","北青山３丁目","545","11562","-","-","-","-","-","-","6","21","10","99","-","-","24","1201","2","335","184","5610","12","395","38","286","49","418","69","1064","74","1268","19","189","38","304","-","-","20","372"
"高輪地区総合支所","三田４丁目","155","1514","-","-","-","-","-","-","5","186","7","52","-","-","18","438","1","1","25","249","1","1","20","58","8","54","7","24","7","18","7","100","5","31","1","13","43","289"
"高輪地区総合支所","三田５丁目","135","1003","-","-","-","-","-","-","4","26","19","126","-","-","5","70","5","52","27","257","4","35","10","17","6","15","21","135","10","22","4","27","10","71","-","-","10","150"
"高輪地区総合支所","高輪１丁目","245","2322","-","-","-","-","-","-","7","24","6","19","-","-","8","356","1","5","62","356","5","150","31","97","23","515","27","178","21","134","8","73","24","237","-","-","22","178"
"高輪地区総合支所","高輪２丁目","374","10328","-","-","-","-","-","-","20","285","12","471","-","-","34","1401","12","2649","106","2672","4","19","28","262","28","275","33","571","18","183","11","470","22","315","2","12","44","743"
"高輪地区総合支所","高輪３丁目","581","12830","1","11","-","-","-","-","15","480","15","182","-","-","23","1570","18","1127","192","2287","13","220","33","233","38","411","112","3195","28","247","15","108","34","1058","2","13","42","1688"
"高輪地区総合支所","高輪４丁目","364","11092","-","-","-","-","-","-","6","57","9","138","-","-","11","105","5","55","105","2017","5","15","33","95","42","517","40","2674","29","211","11","186","23","266","-","-","45","4756"
"高輪地区総合支所","白金１丁目","281","4963","-","-","-","-","-","-","10","107","36","170","-","-","13","1904","2","35","55","662","23","1328","34","93","18","110","34","178","19","81","5","36","19","209","-","-","13","50"
"高輪地区総合支所","白金２丁目","38","340","-","-","-","-","-","-","2","8","-","-","-","-","-","-","-","-","7","191","-","-","5","12","2","17","8","49","1","2","2","3","2","25","-","-","9","33"
"高輪地区総合支所","白金３丁目","147","851","-","-","-","-","-","-","9","53","21","77","-","-","4","13","2","2","30","323","-","-","14","33","7","33","22","103","11","45","2","20","17","104","1","8","7","37"
"高輪地区総合支所","白金４丁目","39","394","-","-","-","-","-","-","1","2","3","18","-","-","-","-","2","16","5","29","-","-","9","31","4","10","3","7","3","42","4","200","1","26","-","-","4","13"
"高輪地区総合支所","白金５丁目","85","1673","-","-","-","-","-","-","2","8","20","99","-","-","1","1","2","14","19","94","1","11","4","7","3","149","17","235","4","10","3","311","5","682","-","-","4","52"
"高輪地区総合支所","白金６丁目","95","500","-","-","-","-","-","-","2","13","8","19","-","-","4","16","-","-","22","106","-","-","14","28","9","27","16","157","11","44","2","2","6","83","-","-","1","5"
"高輪地区総合支所","白金台１丁目","59","2776","-","-","-","-","-","-","1","1","3","70","-","-","1","2","-","-","12","125","1","1","3","91","7","37","8","441","12","753","3","1166","3","29","-","-","5","60"
"高輪地区総合支所","白金台２丁目","115","1097","-","-","-","-","-","-","2","8","4","19","-","-","8","120","1","24","23","209","1","3","17","44","13","87","8","41","13","209","10","197","7","63","-","-","8","73"
"高輪地区総合支所","白金台３丁目","176","1966","-","-","-","-","-","-","2","16","6","102","-","-","9","301","1","12","39","845","3","104","18","40","25","155","8","34","24","108","9","93","16","79","1","8","15","69"
"高輪地区総合支所","白金台４丁目","99","1196","-","-","-","-","-","-","1","5","3","30","-","-","1","5","-","-","36","305","-","-","5","10","9","132","17","234","8","114","1","1","15","336","-","-","3","24"
"高輪地区総合支所","白金台５丁目","240","1934","-","-","-","-","-","-","2","74","7","25","-","-","6","30","1","99","64","627","2","2","31","88","36","241","31","209","25","94","17","238","11","165","-","-","7","42"
"芝浦港南地区総合支所","芝浦１丁目","297","22387","-","-","-","-","2","46","13","1015","14","1765","2","3","24","5320","9","360","91","8633","3","701","16","563","24","611","36","409","5","51","3","31","10","517","2","15","43","2347"
"芝浦港南地区総合支所","芝浦２丁目","183","4890","-","-","-","-","-","-","7","574","6","293","-","-","12","431","25","1445","57","1203","4","104","15","59","10","146","20","189","5","19","1","18","4","38","-","-","17","371"
"芝浦港南地区総合支所","芝浦３丁目","423","17094","-","-","-","-","-","-","16","3009","15","560","1","5","49","2007","28","554","86","3940","15","467","25","182","28","942","59","884","14","76","20","1404","25","206","1","10","41","2848"
"芝浦港南地区総合支所","芝浦４丁目","370","21057","-","-","-","-","-","-","23","2349","11","562","1","12","24","4898","19","1451","95","5499","8","154","22","909","29","841","21","244","9","381","7","59","29","461","1","7","71","3230"
"芝浦港南地区総合支所","海岸２丁目","61","2573","-","-","-","-","-","-","5","482","-","-","-","-","2","69","11","297","20","279","1","6","5","19","4","387","5","98","1","1","-","-","-","-","-","-","7","935"
"芝浦港南地区総合支所","海岸３丁目","303","13392","-","-","-","-","-","-","13","1022","13","294","2","414","15","2054","104","2439","60","4744","1","-","10","73","14","421","22","152","5","86","2","45","5","71","-","-","37","1577"
"芝浦港南地区総合支所","港南１丁目","240","29084","-","-","-","-","-","-","5","1582","15","1267","4","37","37","10488","4","65","64","8693","8","339","8","1386","12","1234","36","946","7","129","6","93","9","268","-","-","25","2557"
"芝浦港南地区総合支所","港南２丁目","933","62158","-","-","-","-","-","-","24","5996","37","6804","2","8","77","14453","29","2789","270","15389","34","2248","46","1455","55","2555","196","4056","26","483","15","493","40","2383","3","41","79","3005"
"芝浦港南地区総合支所","港南３丁目","77","1392","-","-","-","-","-","-","1","72","-","-","-","-","1","1","16","217","20","495","-","-","8","92","9","54","4","169","1","1","2","11","5","91","-","-","10","189"
"芝浦港南地区総合支所","港南４丁目","119","3435","-","-","-","-","-","-","1","34","-","-","1","6","11","990","2","138","26","917","4","20","5","32","14","234","15","143","7","17","8","511","17","259","-","-","8","134"
"芝浦港南地区総合支所","港南５丁目","89","2484","-","-","-","-","-","-","5","668","6","127","-","-","-","-","43","791","18","326","-","-","-","-","4","219","4","14","2","29","-","-","-","-","-","-","7","310"
"芝浦港南地区総合支所","台場１丁目","185","2719","-","-","-","-","-","-","-","-","1","1","-","-","2","4","1","8","68","555","-","-","7","103","2","14","75","1739","14","161","1","27","4","46","1","7","9","54"
"芝浦港南地区総合支所","台場２丁目","126","11719","-","-","-","-","-","-","4","822","4","911","-","-","17","4274","7","311","35","1822","2","349","5","121","5","514","16","817","7","229","1","6","3","27","-","-","20","1516"

"町丁目、産業大分類別事業所数及び従業者数","Ver201602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
