 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,881,268,"12,749","4,617",249,268,"2,087","4,617",632,-,"10,662",-
,74.2%,46.8%,92.4%,85.4%,109.7%,46.8%,102.5%,87.6%,65.8%,-,90.6%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"110,808","14,754","1,006,799","211,438","30,739","14,537","285,482","209,842","80,069",217,"721,317","1,596"
,89.4%,56.0%,94.8%,96.2%,88.8%,55.5%,98.5%,96.2%,89.7%,132.3%,93.4%,96.6%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,503","2,446","81,143","41,849","2,664","2,314","20,394","41,057","6,839",132,"60,749",792
,111.6%,61.3%,85.8%,97.8%,124.0%,58.6%,76.1%,97.3%,107.4%,314.3%,89.6%,133.8%
中国(香港含む),"78,231","53,078","621,558","430,573","10,969","53,004","99,846","429,959","67,262",74,"521,712",614
,104.8%,102.0%,94.9%,97.9%,75.1%,102.0%,88.7%,98.0%,112.1%,88.1%,96.2%,57.2%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,811","24,585","196,545","136,378","10,478","22,503","102,464","120,065","12,333","2,082","94,081","16,313"
,100.4%,131.4%,95.3%,86.6%,95.6%,129.1%,105.4%,85.3%,105.0%,163.3%,86.3%,98.1%
内航定期計,"19,557","3,439","163,204","24,967","8,798","1,796","78,262","11,007","10,759","1,643","84,942","13,960"
,108.1%,84.2%,97.3%,63.4%,105.8%,61.9%,101.0%,47.7%,110.1%,139.0%,94.1%,85.6%
北海道,"7,424",181,"60,878","2,100","3,386",156,"28,820","1,937","4,038",25,"32,058",163
,110.7%,36.0%,104.2%,71.6%,95.2%,31.0%,96.3%,70.2%,128.2%,-,112.6%,93.7%
東北,"5,013","1,227","36,237","7,707","2,002",945,"16,583","6,486","3,011",282,"19,654","1,221"
,140.6%,86.4%,122.9%,93.4%,148.8%,67.5%,120.9%,83.7%,135.6%,1410.0%,124.6%,244.2%
関東,61,50,336,206,-,50,275,206,61,-,61,-
,-,-,763.6%,147.1%,-,-,-,147.1%,-,-,138.6%,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,493",593,"11,498","1,752",318,582,"1,738","1,500","1,175",11,"9,760",252
,133.1%,95.6%,57.9%,19.7%,467.6%,93.9%,54.8%,17.2%,111.5%,-,58.5%,165.8%
近畿,699,54,"5,974",512,122,54,"1,744",486,577,-,"4,230",26
,73.2%,14.3%,62.8%,13.8%,100.8%,14.3%,224.7%,13.7%,69.2%,-,48.4%,17.2%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,326",197,"22,609","1,139","1,057",9,"9,639",360,"1,269",188,"12,970",779
,74.2%,252.6%,93.1%,225.5%,91.0%,-,100.6%,455.7%,64.4%,241.0%,88.2%,182.9%
沖縄,"2,541","1,137","25,672","11,551","1,913",-,"19,463",32,628,"1,137","6,209","11,519"
,97.4%,104.9%,99.1%,77.3%,92.8%,-,96.7%,82.1%,114.8%,104.9%,107.2%,77.3%
内航不定期,"3,254","21,146","33,341","111,411","1,680","20,707","24,202","109,058","1,574",439,"9,139","2,353"
,70.4%,144.6%,86.7%,94.4%,63.5%,142.5%,122.9%,92.6%,79.7%,472.0%,48.8%,733.0%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
