,2021年,,,,,,,,,2022年,,,
藤田医院,2,1,115,74,91,29,1,5,2,24,40,21,405
鈴木医院,,,112,100,128,19,3,1,2,6,17,11,399
赤塚内科伊賀医院,,,78,89,131,39,4,1,2,14,24,14,396
なかむらクリニック,,,121,84,101,24,7,1,2,23,21,11,395
下赤塚診療所,,,84,71,128,44,7,5,2,17,17,15,390
敬愛病院,,,101,83,117,19,4,9,2,17,28,10,390
西台内科,,,124,83,108,25,1,,2,16,18,13,390
ゆう徳丸内科皮膚科,3,,116,66,118,21,2,3,2,24,17,16,388
篠遠医院,,,102,68,104,36,3,8,9,25,21,8,384
加藤整形外科,,,70,64,145,46,2,3,2,21,18,9,380
常盤台らいおん整形外科,,,103,64,105,34,2,3,8,22,29,8,378
高島平地域センター,19,1,103,120,14,15,51,8,20,7,8,11,377
小川医院,,,107,78,116,24,8,,2,9,20,11,375
仲町地域センター,2,6,1,10,4,11,12,2,16,116,149,40,369
上板橋病院,,,115,65,83,34,6,3,1,24,23,14,368
安田病院,,,98,58,126,23,4,4,1,13,24,16,367
蓮根地域センター,16,10,123,109,3,14,51,5,13,4,5,14,367
萩原医院,1,,93,63,110,29,9,6,3,15,23,12,364
はす花こどもファミリークリニック,,,135,68,85,21,3,2,2,12,18,16,362
松月院通りクリニック,,,115,68,84,32,5,4,2,11,30,8,359
いわた医院,,,111,50,79,28,4,,3,31,37,14,357
そう内科クリニック,1,,73,79,101,22,3,10,,20,31,14,354
板橋宮本病院,,,105,64,98,39,11,1,1,11,17,5,352
まえだファミリークリニック,,,87,71,80,27,3,3,4,25,35,15,350
おおはし医院,,,85,71,111,34,1,4,3,16,17,7,349
たにもとクリニック,,,79,75,108,21,5,10,,20,22,8,348
よつば耳鼻咽喉科,,,97,45,102,47,4,2,2,10,22,17,348
志村坂クリニック,,,102,63,92,17,8,1,2,17,29,17,348
みなくちクリニック,,,98,67,112,35,3,2,2,10,15,3,347
幸南クリニック,,,90,65,83,26,8,5,2,15,39,11,344
長瀬クリニック,,,102,75,99,35,1,,2,5,15,10,344
旧蓮根高齢者在宅サービスセンター,,,,,,,,,,142,125,73,340
中央図書館跡地,,,,,,,,,,95,194,50,339
田崎病院,,,98,68,95,26,3,4,2,19,14,2,331
渡辺医院,,,55,71,117,34,3,2,1,15,20,8,326
右田医院,,,73,70,99,26,4,7,2,9,21,7,318
志村坂上地域センター,22,26,101,85,11,8,32,9,7,4,3,7,315
山下内科消化器科,,,99,79,78,25,3,1,1,8,12,8,314
大竹耳鼻咽喉科,,,92,61,96,16,3,4,1,13,20,8,314
小豆沢病院付属高島平診療所,,,79,87,84,17,4,2,2,13,16,9,313
おうちにかえろう。病院,,,,29,90,21,3,1,,74,76,18,312
和気医院,,,62,50,96,44,3,3,2,11,21,20,312
ねや内科クリニック,,,78,51,104,37,4,,2,9,16,8,309
荒瀬医院,,,63,54,91,37,4,1,2,16,25,14,307
高島平りゅう医院,,,77,63,81,35,2,1,2,15,24,6,306
板橋中央総合病院,,,,46,175,53,12,6,3,7,,,302
つづきクリニック,,,82,47,85,23,5,3,2,16,25,11,299
双葉町クリニック,,,90,71,63,23,1,2,4,11,26,7,298
イムス板橋リハビリテーション病院,,,99,59,77,11,6,2,1,10,26,6,297
板橋中央総合病院付属 アイ・タワークリニック,,,73,51,64,25,5,1,2,16,46,14,297
堀井医院,,,87,57,63,18,,2,8,21,23,14,293
常盤台外科病院,,,95,41,77,21,5,4,3,14,24,8,292
クリニック高島平,,,94,58,75,18,4,1,1,16,17,5,289
宮下こどもクリニック,,,86,44,79,16,3,4,2,11,26,18,289
高島平かわむらクリニック,,,77,58,80,23,4,1,2,16,19,8,288
板橋区役所前駅高架下自転車駐車場（有料）,28,22,23,31,31,30,30,21,19,11,26,14,286
柳澤クリニック,,,67,45,81,36,1,,2,17,24,13,286
吉永医院,,,75,70,82,18,4,1,,8,23,4,285
赤塚支所,19,10,67,49,11,6,61,12,25,12,4,5,281
大久保医院　,,,123,57,69,26,2,,1,,,,278
佐伯医院,,,77,69,70,11,7,8,2,18,8,6,276
蓮根PCR検査センター（令和4年2月８日（火）から開始）,,,,,,,,,,,264,12,276
山櫻診療所,,,100,67,57,14,,1,3,12,10,8,272
天谷医院板橋診療所,,,72,54,84,15,4,3,2,12,21,5,272
ときわ台はしもと小児科アレルギー科,,,69,45,60,16,1,7,4,28,22,17,269
ときわ台レディースクリニック,,,66,67,78,21,2,1,1,8,15,7,266
板橋中央総合病院　,,,194,72,,,,,,,,,266
徳丸整形外科,,,73,54,76,25,1,1,2,11,17,5,265
よりふじ医院,2,1,65,52,62,23,5,8,2,17,15,11,263
高橋医院,,,76,61,76,14,3,,2,11,16,4,263
東京都保健医療公社　豊島病院,,,,56,153,40,4,4,3,2,,,262
医新クリニック,,,74,59,84,17,1,,2,6,15,3,261
上板橋診療所,,,118,32,63,20,1,2,2,7,9,6,260
成増厚生病院,,,70,51,73,19,7,2,2,15,19,2,260
石川医院,,1,67,50,83,17,4,,2,15,11,8,258
佐藤クリニック,,2,87,52,63,17,3,2,1,13,12,5,257
金子病院,,1,57,48,83,16,8,,2,7,26,7,255
えがおこどもクリニック,,,77,47,38,23,6,8,3,22,21,9,254
常盤台地域センター,8,22,25,24,28,25,23,12,9,45,16,17,254
冲永眼科クリニック　,,,108,57,63,19,3,2,1,,,,253
伊藤内科小児科クリニック,,,68,42,70,14,5,,2,19,17,15,252
板橋区役所前駅周辺放置禁止区域図,12,19,19,13,22,24,14,56,12,21,24,14,250
中川医院耳鼻咽喉科,,,56,43,83,18,6,1,3,11,22,6,249
内田診療所,,,54,55,73,26,,2,2,22,11,3,248
大森メディカルクリニック,,,96,52,48,17,1,1,2,13,14,3,247
井上医院,,,83,55,61,10,2,,2,13,15,3,244
木村整形外科,,,85,35,80,15,3,1,2,13,7,3,244
大谷口地域センター,15,10,79,54,8,7,39,3,4,12,2,10,243
桜川ファミリークリニック,,,94,42,61,21,,3,2,3,10,6,242
徳丸ふれあい館,4,,8,2,4,4,1,16,4,58,106,34,241
和田クリニック,,,72,35,56,31,3,1,,16,22,5,241
渡辺産婦人科医院,,,59,38,65,22,2,5,2,22,18,6,239
服部医院,,,66,47,72,10,5,1,2,16,13,7,239
慈誠会前野病院,,,85,34,56,16,4,,2,14,21,6,238
石澤内科クリニック,,,69,49,69,15,4,2,2,6,12,6,234
西台駅高架下自転車駐車場（有料）,27,14,30,20,16,16,12,26,5,14,25,28,233
堀口内科小児科,,,67,41,63,16,,1,3,19,16,7,233
グリーンカレッジホール,,,,1,,5,2,,1,80,106,37,232
ねぎし整形外科クリニック,,,72,23,70,20,3,2,3,19,8,11,231
元内科・胃腸科クリニック,,,65,48,66,21,5,2,2,9,9,4,231
あかまつ透析クリニック　,,,61,50,63,20,3,2,1,11,11,8,230
誠志会病院,,,62,40,77,16,3,1,2,10,13,5,229
富士見地域センター,14,8,74,55,4,5,36,7,6,4,7,9,229
共助会医院,,,79,41,67,10,1,6,2,7,9,6,228
小茂根内科クリニック　,,,66,47,67,10,3,3,,15,12,5,228
平山医院(中台),,,85,33,46,24,3,1,4,10,15,6,227
北原クリニック,,,55,36,78,19,1,4,2,7,20,5,227
宮下医院,,,63,44,56,9,4,2,3,18,17,6,222
郡医院,,2,62,27,64,10,1,4,2,29,12,9,222
ごんだクリニック,,,46,58,51,24,1,2,2,11,19,7,221
ねづクリニック,,,71,40,44,18,2,2,3,12,18,10,220
後藤こどもクリニック,,,57,40,69,18,1,3,2,13,12,5,220
高島平東口クリニック,,,49,48,42,24,5,5,4,15,13,12,217
三上整形外科医院,,,84,37,56,13,1,,2,7,10,6,216
やの内科・小児科クリニック,,,54,39,68,11,3,1,4,9,16,8,213
疋田医院,,,60,45,57,10,5,3,2,10,17,3,212
幸田整形外科医院,,,83,34,66,7,4,,2,5,9,1,211
つくしんぼ診療所,,,57,45,56,13,2,2,2,11,13,9,210
田丸小児科内科医院,,,70,43,59,12,3,1,2,13,5,2,210
きたのホール,15,,62,58,6,2,37,7,3,13,3,3,209
高島平区民館,2,1,4,5,2,1,1,2,2,66,88,34,208
多比良医院,,,67,38,47,8,3,8,2,11,13,11,208
区立教育科学館（常盤台地域センターと併設）,7,,79,86,,,34,,,,1,,207
高田皮膚科クリニック,,,73,34,42,22,3,2,2,13,12,3,206
坂下診療所,,,49,34,69,12,5,,2,11,16,8,206
風見医院,,,62,31,61,17,3,1,2,8,15,6,206
慈誠会成増病院,,,62,32,66,14,,1,2,11,13,3,204
仲町ふれあいセンター,13,,84,65,,,42,,,,,,204
高島平2丁目整形外科,,,49,42,67,18,2,,1,13,6,4,202
志村健康福祉センター,27,39,29,24,9,16,13,6,9,12,7,11,202
水野医院,,,50,47,63,14,,,2,15,4,7,202
さいしょ小児科,,,56,33,67,6,4,5,2,12,10,6,201
西尾医院,,,77,33,42,10,1,6,2,11,14,4,200
板橋中央総合病院ワクチンセンター,,,,,,,,,,62,115,18,195
いしかわ耳鼻咽喉科クリニック,,,66,41,49,13,2,1,3,8,4,4,191
金谷整形外科せぼね・骨粗しょう症クリニック,,,59,37,50,13,3,,4,6,16,3,191
光が丘クリニック,,,57,32,52,11,3,,2,5,21,8,191
楠医院,,,57,21,56,22,5,2,2,7,12,7,191
戸島医院,,,57,38,53,12,2,,2,7,17,2,190
下赤塚地域センター（赤塚支所）,,,,,,,,,,52,89,47,188
高島平眼科クリニック,,,57,44,39,15,3,1,1,10,12,5,187
赤塚健康福祉センター,14,22,25,15,9,14,10,16,6,24,17,15,187
西台粗大ごみセンター,13,15,15,15,12,15,10,24,18,17,17,14,185
宮田医院,,,60,40,40,18,1,1,1,12,7,4,184
北角診療所,,,37,46,43,7,3,2,6,21,14,1,180
林クリニック,,,39,38,62,6,2,5,3,6,15,4,180
はなだ内科クリニック,,,79,30,52,6,1,1,2,3,3,2,179
志村コミュニティホール,8,1,17,94,17,8,4,2,4,17,4,3,179
上板橋駅周辺放置禁止区域図,10,15,19,20,7,13,13,38,4,23,3,14,179
西台駅東自転車駐車場（有料）,20,8,10,16,15,19,9,22,8,10,11,28,176
徳山内科外科,2,,5,16,74,24,2,5,1,17,25,5,176
やごうクリニック,,,60,25,45,12,2,1,3,12,13,2,175
落合医院,,,50,37,53,11,3,,1,3,13,4,175
林内科医院,,,54,27,31,22,1,,2,6,15,14,172
サンシティ耳鼻咽喉科,,,43,21,51,12,,1,15,13,10,4,170
エコポリスセンター,13,1,50,34,7,9,23,8,8,8,6,2,169
斎藤医院,,,56,27,37,21,1,2,5,10,6,4,169
平山医院(上板橋),,,79,27,37,6,,,2,6,5,3,165
よこた内科・消化器科,,,38,32,55,7,1,1,2,13,6,7,162
山倉医院,,,41,39,45,15,,2,2,5,9,4,162
舟渡病院,,,29,28,52,13,2,1,2,13,14,8,162
三浦内科医院,,,52,30,37,11,3,3,2,9,12,1,160
須賀医院,,,54,21,46,13,2,,2,4,12,5,159
青山クリニック,,,44,22,39,11,,,6,14,13,8,157
工藤クリニック,,,48,35,38,16,,,1,6,11,,155
成増アクトホール,7,,54,71,,,23,,,,,,155
山手医院,,,,18,72,27,5,2,1,8,16,5,154
中台医院,,,53,29,27,9,,,2,10,19,5,154
徳山内科外科　,,,106,44,,,,,,,,,150
有賀小児クリニック,,,50,27,42,5,6,,2,6,8,3,149
桜川地域センター,8,23,7,19,25,11,7,5,10,21,3,9,148
飯沼病院,,,51,25,40,8,4,1,1,10,4,4,148
南ときわ台耳鼻咽喉科,,,41,26,48,7,2,,2,4,12,2,144
おだ整形外科クリニック,,,,30,57,12,3,,3,14,21,2,142
板橋駅自転車駐車場（有料）,12,7,12,13,13,10,24,18,11,9,8,4,141
板橋区役所前駅南自転車駐車場（有料）,10,17,15,9,13,12,22,8,10,11,8,6,141
今本クリニック,,,39,23,38,13,2,2,2,13,4,3,139
弓倉医院,,,38,35,42,5,,3,2,4,6,3,138
高山整形外科,,,42,23,33,9,1,,2,18,7,3,138
板橋本町駅第４自転車駐車場（有料）,17,16,19,7,8,14,15,11,5,5,8,10,135
板橋地域センター,7,5,28,3,22,21,5,14,14,2,8,4,133
舟渡ホール,11,,33,34,6,10,15,14,4,2,1,1,131
うつみ医院,,,32,21,41,13,2,3,2,4,9,3,130
まつもとクリニック,,,36,20,35,6,2,,2,7,15,4,127
花島医院,,,30,23,40,8,,,2,6,13,4,126
新河岸クリニック,,,37,26,34,14,1,1,1,3,6,1,124
高木内科クリニック,,,34,18,35,15,,,2,4,13,1,122
高島平中央総合病院,,,,,,,,,4,43,49,21,117
熊野地域センター,5,,7,4,9,6,9,5,20,38,5,6,114
板橋健康福祉センター,,10,8,5,5,17,12,7,14,13,10,13,114
すがやこどもクリニック,,,42,26,33,2,,,2,2,6,,113
板橋西清掃事務所,10,16,8,7,4,8,7,9,15,10,12,7,113
上板橋健康福祉センター,6,12,9,9,8,16,13,2,8,8,7,14,112
常盤台PCR検査センター（令和４年２月21日（月）から開始）,,,,,,,,,,,89,18,107
新河岸水再生センター前臨時駐車場,8,8,4,9,5,24,14,12,11,7,1,4,107
新板橋駅前高架下自転車駐車場（有料）,11,8,11,6,10,7,23,12,6,1,8,4,107
下赤塚駅周辺放置禁止区域図,3,14,23,15,6,10,6,6,4,5,4,8,104
大久保医院,3,1,4,4,4,7,,4,3,25,31,18,104
大山駅前自転車駐車場（有料）,4,1,12,13,8,12,15,19,5,2,3,9,103
仲宿地域センター,,3,5,7,5,8,9,20,14,12,12,7,102
Waltzクリニック,,,,,,,,,1,22,49,25,97
No.33遺跡,5,20,9,5,5,8,4,11,4,14,9,2,96
YUMEパーク・大和町自転車駐車場（有料コイン式）,17,14,10,3,8,9,8,7,4,5,8,3,96
美術館,10,5,5,3,5,5,13,8,6,6,19,11,96
おだ整形外科クリニック　,,,75,19,,,,,,,,,94
熱帯環境植物館,19,5,9,6,4,4,8,2,4,26,2,3,92
山手医院　,,,65,26,,,,,,,,,91
鈴木耳鼻咽喉科,,,15,10,26,14,,,2,12,12,,91
ふくはら内科クリニック,,,,,,,,,1,32,42,15,90
戸田橋下臨時駐車場入口,13,4,5,2,18,11,3,7,15,3,8,1,90
小竹向原駅南自転車駐車場（有料）,3,3,11,2,8,7,4,10,14,3,3,18,86
No.28遺跡,3,2,11,14,11,1,9,4,8,1,12,8,84
ときわ台駅周辺放置禁止区域図,1,2,18,10,11,8,2,14,6,6,2,4,84
徳丸地域センター,3,5,5,9,7,4,10,10,7,8,2,14,84
No.134遺跡,5,6,10,3,11,4,3,2,4,4,3,26,81
上板橋第二中学校,3,,1,13,2,,15,,,1,,45,80
大和町自転車駐車場（有料）,6,12,10,12,3,13,6,4,,4,6,4,80
帝京大学医学部附属病院,,,,,,,,,1,27,31,21,80
戸田橋下臨時駐車場,8,3,8,4,9,8,12,4,6,4,8,5,79
情報処理センター,5,1,5,3,2,6,10,10,4,17,7,9,79
成増地域センター（アクトホール）,4,6,3,7,8,8,4,4,16,9,4,6,79
赤塚児童館,4,1,2,7,1,7,5,8,13,16,10,5,79
蓮根駅・西台駅周辺放置禁止区域図,9,2,3,6,2,3,4,31,5,8,2,4,79
No.99遺跡,8,9,13,5,14,2,1,2,2,8,9,5,78
新河岸水再生センター前臨時駐車場入口,7,9,10,5,12,11,3,9,4,2,2,4,78
あずさわ児童館,4,3,6,6,1,10,5,4,4,29,1,4,77
下赤塚地域センター,4,7,6,3,12,2,2,2,8,20,6,5,77
常盤台区民事務所,6,5,4,8,8,8,3,7,3,10,8,7,77
ロータスホール,2,4,12,10,12,8,5,3,4,11,1,3,75
岩渕診療所,4,1,6,2,,2,,4,3,9,31,13,75
教育科学館,,8,6,14,4,9,4,3,10,11,2,3,74
宮下内科医院,3,,6,4,4,4,,4,1,19,19,9,73
高島平駅第１自転車駐車場（有料）,7,2,11,10,1,9,12,7,1,3,8,1,72
下赤塚区民事務所,1,1,15,3,7,1,3,8,13,7,8,4,71
板橋東清掃事務所,5,9,4,6,7,4,8,2,11,2,5,7,70
高島平健康福祉センター,14,6,,8,7,6,5,6,4,3,2,8,69
志村坂上駅自転車駐車場（有料コイン式）,9,7,6,6,8,7,8,3,3,1,4,7,69
成増駅南口第５自転車駐車場（有料）,6,12,,1,1,5,8,8,4,3,10,11,69
No.109遺跡,2,1,2,3,4,5,19,4,,19,7,2,68
浮間舟渡駅自転車駐車場（有料）,12,4,3,5,2,3,9,7,5,5,7,6,68
中板橋駅周辺放置禁止区域図,5,7,3,5,2,2,7,13,4,6,6,7,67
板橋本町駅周辺放置禁止区域図,10,11,4,8,2,5,7,5,,3,8,4,67
上板橋第二小学校通学区域,,,,28,38,,,,,,,,66
常盤台PCR検査センター（令和4年2月21日（月）から開始）,,,,,,,,,,,,66,66
成増駅周辺放置禁止区域図,10,4,3,8,6,6,5,13,4,1,1,4,65
成増駅南口第４自転車駐車場（有料）,6,5,1,1,2,4,4,8,1,4,11,18,65
田島クリニック,,,9,2,7,4,,3,4,10,17,9,65
板橋区役所前駅西自転車駐車場（有料）,6,6,2,4,9,5,7,6,5,,,15,65
下板橋駅第１自転車駐車場（有料）,7,1,3,7,11,6,7,8,10,1,2,,63
高島陸橋交差点A自転車駐車場（有料）,2,6,11,5,3,8,5,1,6,3,4,9,63
平山医院,2,,6,3,24,11,,4,,10,2,1,63
宮田クリニック,,,,,,,,,1,27,19,15,62
大山東児童館,3,3,10,7,1,11,4,7,2,5,7,2,62
志村坂上駅北自転車駐車場（有料コイン式）,10,3,12,11,5,2,5,4,1,1,2,5,61
小竹向原駅自転車駐車場（有料ゲート式）,5,2,2,5,3,6,6,5,11,2,4,10,61
板橋本町駅第１自転車駐車場（有料）,6,6,10,7,4,6,3,7,2,4,3,3,61
ときわ台駅南口自転車駐車場（有料）,4,3,3,8,1,6,13,10,3,,1,8,60
志村図書館,1,,6,32,6,7,,,,6,1,1,60
板橋郵便局前自転車保管所,2,5,8,4,10,5,3,6,3,2,2,10,60
本蓮沼駅自転車駐車場（有料）,11,7,4,5,8,5,6,3,3,2,2,4,60
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,3,,9,9,5,7,2,8,5,2,5,4,59
蓮根駅自転車駐車場（有料）,13,1,1,7,4,6,7,3,7,2,4,4,59
No.2遺跡,4,11,5,5,6,5,2,2,2,7,2,7,58
向原ホール,3,4,3,5,5,3,10,5,3,11,3,2,57
蓮根PCR検査センター（令和4年2月8日（火）から開始）,,,,,,,,,,,,57,57
No.118遺跡,2,11,27,1,2,4,,5,1,3,,,56
いたばし観光センター,2,,1,4,,7,3,14,12,7,4,2,56
上板橋第二中学校通学区域,,,,33,19,,,,,,,4,56
成増駅南口自転車駐車場（有料）,4,8,4,4,3,2,6,10,1,3,3,8,56
望月内科クリニック,,,,,,,,,1,29,21,5,56
かわだ皮フ科,,,10,20,13,1,,1,10,,,,55
クオール薬局中板橋店,3,8,3,4,9,4,4,3,3,5,5,4,55
ベルーガクリニック,,,,,,,,,3,18,29,5,55
志村坂上区民事務所,3,5,5,7,6,3,1,6,6,6,5,2,55
上板橋児童館,3,4,4,5,1,6,10,6,5,4,5,2,55
中台地域センター,4,,6,3,5,6,5,10,5,5,4,2,55
本蓮沼駅第３自転車駐車場（有料）,10,5,6,1,3,2,5,8,3,,4,8,55
清水地域センター,5,4,3,6,3,5,7,2,6,6,1,6,54
No.165遺跡,3,8,5,7,15,3,4,1,3,,4,,53
No.172遺跡,9,8,1,6,5,2,6,,3,,9,4,53
No.63遺跡,2,5,6,5,20,,4,,8,,3,,53
ペンギン薬局,4,5,3,3,4,6,7,3,4,6,5,3,53
赤塚メンタルクリニック,,,,,,,,,1,8,21,23,53
めぐみ薬局氷川町店,2,5,4,6,3,4,3,4,8,6,3,4,52
なります児童館,3,1,9,,3,6,7,4,7,4,4,3,51
区役所1階北館・3階南館,,,,2,2,19,7,,4,14,1,2,51
志村福祉事務所,,7,7,8,5,2,2,4,4,3,3,6,51
南板橋児童館,3,3,2,5,3,14,2,6,5,3,3,2,51
大山駅周辺放置禁止区域図,6,6,2,3,5,2,4,12,,7,3,,50
板橋フレンドセンター,11,4,4,3,4,1,2,4,4,6,6,1,50
板橋交通公園,5,6,2,5,2,5,3,5,7,8,1,1,50
さかうえ児童館,2,3,7,7,2,6,3,3,3,8,2,3,49
小豆沢体育館,4,1,,,17,3,14,1,3,3,2,1,49
No.133遺跡,9,7,3,1,7,2,1,2,,,12,4,48
赤塚植物園,8,3,1,2,,2,4,4,3,15,3,3,48
前野ホール,1,1,1,1,3,3,3,7,12,6,2,8,48
冲永眼科クリニック,,,,,,,,,1,14,25,8,48
赤星医院,,1,8,2,2,2,2,10,,10,5,5,47
No.101遺跡,,9,1,6,3,1,11,7,,,6,2,46
No.113遺跡,,6,,3,8,11,1,5,8,4,,,46
高島平駅・新高島平駅周辺放置禁止区域図,9,,3,2,2,8,2,10,,3,7,,46
桜川中学校通学区域,,,,19,27,,,,,,,,46
板橋駅西口自転車駐車場（有料コイン式）,5,4,5,3,1,3,1,5,6,4,3,6,46
No.12遺跡,3,2,5,7,7,10,,2,1,3,2,3,45
No.170遺跡,12,3,2,6,7,3,1,,9,2,,,45
No.68遺跡,3,1,1,1,3,5,4,22,,,2,3,45
高島第六小学校,1,,1,3,1,,5,23,,10,,1,45
西徳児童館,,2,3,4,1,4,1,4,5,12,4,5,45
前野地域センター,1,2,4,4,1,10,4,3,1,8,1,6,45
No.105遺跡,7,8,1,12,4,,,5,2,1,4,,44
No.59遺跡,3,3,3,9,2,2,4,11,3,,3,1,44
岡村整形外科クリニック,,,,,,,,,1,11,24,8,44
清水児童館,3,,4,11,,8,4,3,2,2,2,5,44
富士見台児童館,1,1,1,5,5,10,,4,3,6,3,5,44
No.115遺跡,4,1,4,,12,,3,5,7,3,1,3,43
No.178遺跡,,,,,,,,,,,,43,43
志村坂上駅周辺放置禁止区域図,3,7,4,2,5,1,5,3,,10,3,,43
東武練馬駅自転車駐車場（有料）,6,1,2,3,5,6,4,,,5,,11,43
本蓮沼駅周辺放置禁止区域図,1,6,3,3,4,3,6,5,3,6,1,2,43
蓮根区民事務所,6,2,1,5,2,4,5,1,6,5,2,4,43
高島平駅第２自転車駐車場（有料）,7,,2,5,2,2,6,5,1,2,4,6,42
浮間舟渡病院,,,1,,,,,,1,9,22,9,42
No.79遺跡,1,1,4,1,1,8,4,1,,9,9,2,41
志村三丁目駅第３自転車駐車場（有料）,1,2,6,3,3,7,2,6,4,3,2,2,41
歯科衛生センター,2,2,,5,5,2,1,4,7,8,1,4,41
東新児童館,2,7,,6,3,8,3,,2,4,3,3,41
No.104遺跡,1,4,8,2,,2,,6,5,2,3,7,40
No.94遺跡,3,3,4,6,2,2,1,4,4,1,9,1,40
あずさわスポーツフィールド,3,3,1,4,,4,2,3,11,6,1,2,40
まなぽーと成増（成増生涯学習センター）,6,4,3,4,,1,3,2,5,3,4,5,40
高島平調剤薬局,3,3,2,2,5,4,3,3,4,4,3,4,40
小竹向原駅北自転車駐車場（有料）,9,3,4,1,2,1,1,4,,4,1,10,40
上板橋駅南口自転車駐車場（有料）,5,6,,1,2,1,1,2,12,3,6,1,40
南前野児童館,1,1,8,2,1,4,3,7,5,5,,3,40
Baby＆Beans,3,,2,5,,8,2,2,2,12,3,,39
荒川戸田橋陸上競技場,6,2,5,1,9,5,3,2,3,1,,2,39
成増ケ丘薬局,8,2,1,4,5,2,,1,4,4,5,3,39
板橋いこいの家,2,2,2,3,7,1,2,3,3,10,2,2,39
蓮根駅北自転車駐車場（有料）,10,3,3,1,1,4,1,4,6,2,,4,39
おおやま耳鼻咽喉科・アレルギー科,,,,,,,,,3,11,19,5,38
高島平診療所堀口内科小児科,2,,4,,9,4,,8,,4,6,1,38
城北公園,3,5,2,2,2,1,3,4,4,7,1,4,38
板橋区歩行者道第1号線,,,,,,,,,24,,,14,38
板橋第六小学校,,5,1,2,,5,4,14,3,,3,1,38
