,2022年,,,,,,,,,2023年,,,
本蓮沼駅第３自転車駐車場（有料）,13,2,4,2,10,2,4,2,4,5,6,3,57
弥生児童館,2,2,7,4,6,3,4,5,,18,4,2,57
No.109遺跡,5,3,3,10,2,5,2,8,6,6,,6,56
高島平駅第２自転車駐車場（有料）,2,3,5,6,7,7,11,5,3,3,2,2,56
小豆沢体育館,,3,3,24,2,,3,3,10,2,2,4,56
成増ケ丘薬局,1,2,1,12,3,3,9,3,8,6,5,3,56
中板橋駅周辺放置禁止区域図,2,4,5,4,5,3,7,6,1,7,7,5,56
仲町ふれあい館,7,2,1,8,3,5,3,3,2,16,2,4,56
東京シティクリニック大山,10,5,4,5,3,2,7,15,5,,,,56
板橋フレンドセンター,4,2,23,7,6,5,3,1,2,,1,2,56
あずさわ児童館,7,3,2,5,7,2,7,1,4,14,1,2,55
下赤塚駅周辺放置禁止区域図,13,2,6,6,6,2,8,,4,2,3,3,55
下赤塚地域センター（赤塚支所）,20,14,6,8,3,2,2,,,,,,55
No.104遺跡,1,3,1,3,4,2,5,7,2,9,,17,54
おおやま耳鼻咽喉科・アレルギー科,18,6,4,5,1,,9,6,2,,3,,54
ときわ台駅北口第１自転車駐車場（有料）,2,2,2,4,3,6,2,6,1,7,9,10,54
ペンギン薬局,1,13,2,2,3,13,4,5,2,7,2,,54
戸田橋下臨時駐車場,5,15,2,5,3,5,2,4,4,3,3,3,54
上板橋児童館,9,6,4,2,4,3,4,5,3,7,6,1,54
大山駅周辺放置禁止区域図,9,5,3,1,4,3,2,6,6,8,3,4,54
中台地域センター,8,1,6,3,2,2,9,5,5,6,7,,54
No.165遺跡,1,7,8,1,6,6,6,3,6,2,1,6,53
勝又内科医院,,7,1,17,2,,11,5,3,5,,2,53
小川医院,5,6,7,8,3,1,12,9,1,,1,,53
浅倉内科クリニック,,2,,,3,3,8,5,9,6,13,4,53
ときわ台薬局,13,5,8,3,6,3,3,3,3,3,2,,52
常盤台らいおん整形外科,1,4,2,6,9,2,12,10,5,1,,,52
赤塚児童館,5,4,4,4,8,1,5,4,1,7,2,7,52
ときわ台駅北口第４自転車駐車場（有料ゲート式）,4,1,3,3,7,2,3,2,5,4,3,14,51
志村三丁目駅第３自転車駐車場（有料）,3,3,2,1,9,4,3,2,3,2,11,8,51
蓮根三丁目自転車駐車場（有料）,4,,4,4,8,3,6,10,6,3,1,2,51
No.133遺跡,2,4,4,1,8,2,,9,6,8,3,3,50
おおの内科クリニック,3,6,3,13,7,1,3,10,2,,2,,50
下赤塚区民事務所,1,2,6,2,8,3,4,4,4,3,6,7,50
田辺整形外科医院,14,3,2,3,1,,8,11,7,1,,,50
No.172遺跡,3,5,3,9,5,6,2,5,3,2,4,2,49
ふくはら内科クリニック,6,5,3,2,1,4,12,11,3,,2,,49
高島平駅第１自転車駐車場（有料）,2,2,5,7,6,2,4,9,2,6,2,2,49
歯科衛生センター,1,3,1,1,3,7,6,4,15,4,4,,49
双葉町クリニック,7,2,3,4,1,4,12,13,1,1,1,,49
仲町区民事務所,3,7,7,2,4,1,4,2,10,1,6,2,49
いたばし観光センター,,2,3,9,2,5,6,4,8,,7,2,48
愛誠病院,4,3,7,4,5,3,9,11,,,2,,48
No.118遺跡,12,11,3,2,,2,1,3,1,2,6,4,47
敬愛病院,20,7,2,1,1,1,6,7,1,,1,,47
高島平PCR検査センター（令和4年2月4日（金）から開始）,41,3,,1,2,,,,,,,,47
今村医院,5,6,3,3,4,4,3,4,1,2,7,5,47
前野地域センター,2,3,,6,2,2,2,4,7,7,11,1,47
高島陸橋交差点A自転車駐車場（有料）,7,8,4,5,3,2,3,5,2,2,2,3,46
仁木医院,,,,3,3,7,6,,,4,12,11,46
本蓮沼駅周辺放置禁止区域図,19,3,,3,3,5,4,,2,4,,3,46
No.115遺跡,5,4,1,,1,8,9,4,3,2,1,7,45
いわた医院,4,2,3,3,2,3,13,13,,2,,,45
なかむらクリニック,2,5,,7,9,2,8,12,,,,,45
高島平一丁目第三公園,,,,,,,6,,,8,31,,45
高島平調剤薬局,5,9,5,3,4,3,3,4,1,5,2,1,45
耳鼻咽喉科大山中丸クリニック,2,4,1,13,3,2,10,5,2,2,1,,45
上板橋第二中学校旧校舎,,,4,34,6,,,,,,,1,45
No.103遺跡,1,3,4,11,5,1,,4,12,2,,1,44
なります児童館,7,3,6,1,2,2,,6,1,6,1,9,44
はす花こどもファミリークリニック,6,7,9,2,5,1,6,7,1,,,,44
宮下こどもクリニック,7,6,1,3,,,12,12,3,,,,44
志村坂上駅自転車駐車場（有料コイン式）,3,5,1,4,10,2,1,8,1,6,1,2,44
志村坂上駅北自転車駐車場（有料コイン式）,1,4,2,6,9,1,1,3,2,6,7,2,44
成増駅周辺放置禁止区域図,2,4,4,2,7,2,3,6,1,3,6,4,44
東光寺,,,,,33,5,1,1,2,1,,1,44
板橋宮本病院,1,11,4,2,2,,8,6,6,2,2,,44
板橋第四小学校,,2,,29,,1,1,,,,,11,44
文殊院,,,4,1,3,3,1,2,7,21,1,1,44
グリーンカレッジホール,12,3,4,7,4,,4,,1,2,6,,43
ときわ台駅北口第２自転車駐車場（有料）,3,4,1,3,3,3,2,10,2,2,7,3,43
ときわ台駅北口第３自転車駐車場（有料）,2,2,2,1,6,3,4,2,2,6,4,9,43
とも薬局,14,4,1,3,4,4,1,4,1,6,,1,43
加藤整形外科,1,4,5,6,,,3,16,3,4,1,,43
志村坂クリニック,2,8,4,6,1,1,5,12,2,1,1,,43
志村図書館,2,2,3,2,2,8,3,1,8,4,7,1,43
上板橋駅南口自転車駐車場（有料）,2,1,3,3,6,,,3,6,3,8,8,43
常盤台外科病院,3,3,2,8,3,4,4,6,9,1,,,43
板橋交通公園,1,9,1,4,7,1,1,7,3,3,3,3,43
金沢小学校,4,4,1,11,6,7,1,1,,1,2,4,42
志村三丁目駅第２自転車駐車場（有料）,1,1,1,,8,2,1,,2,6,3,17,42
小林病院,13,4,2,6,,1,4,9,2,1,,,42
上板橋病院,11,4,4,5,6,,4,5,2,1,,,42
成増一丁目自転車駐車場（有料）,16,4,1,2,3,,1,,1,2,8,4,42
成増小学校,,,,41,1,,,,,,,,42
まなぽーと成増（成増生涯学習センター）,3,1,4,1,3,1,4,1,3,5,5,10,41
めぐみ薬局氷川町店,10,6,1,3,2,1,3,4,1,6,1,3,41
高島平かわむらクリニック,3,2,4,2,4,,6,10,4,2,3,1,41
誠志会病院,2,4,5,2,,,9,15,,1,3,,41
板橋区役所前駅西自転車駐車場（有料）,5,5,4,5,1,2,3,4,3,3,4,2,41
No.101遺跡,4,9,1,2,2,10,4,2,1,1,3,1,40
No.170遺跡,1,5,5,2,2,5,4,4,2,3,1,6,40
ごんだクリニック,7,,3,2,,4,3,16,5,,,,40
ねぎし整形外科クリニック,4,2,5,2,2,5,4,10,4,,2,,40
高島平駅東口自転車駐車場（有料コイン式）,1,1,1,2,22,,2,1,4,,3,3,40
徳丸タウンブリッジ自転車駐車場（有料）,9,2,1,3,2,2,4,3,2,5,4,3,40
冨山整形外科,6,8,8,3,5,3,3,1,2,1,,,40
野村循環器科内科クリニック,2,4,5,4,3,3,8,7,3,,1,,40
板橋郵便局前自転車保管所,2,4,7,1,4,4,3,4,3,2,2,3,39
No.34遺跡,8,4,4,4,,2,1,4,6,1,1,3,38
No.71遺跡,10,2,3,2,,2,,10,6,,3,,38
さいしょ小児科,3,1,2,5,1,1,15,6,4,,,,38
斎藤医院,2,9,1,7,1,1,3,6,2,3,,3,38
志村第一小　１,,,,,38,,,,,,,,38
小竹向原駅北自転車駐車場（有料）,11,2,2,6,7,3,2,2,,,2,1,38
板橋駅西口自転車駐車場（有料コイン式）,4,7,3,3,6,5,1,,4,1,2,2,38
No.105遺跡,3,5,3,,7,5,2,3,4,1,3,1,37
あおぞらクリニック,13,5,11,3,1,4,,,,,,,37
金子病院,3,2,1,4,2,1,10,10,4,,,,37
後藤こどもクリニック,5,2,2,2,1,12,9,3,,1,,,37
No.61遺跡,10,1,1,3,2,4,2,,2,6,2,3,36
No.79遺跡,,1,1,1,,13,7,1,2,6,,4,36
いたばし総合ボランティアセンター,10,1,1,2,1,3,2,1,1,12,1,1,36
よつば耳鼻咽喉科,2,6,2,2,,1,8,14,,,1,,36
高島平健康福祉センター,5,4,2,4,3,6,2,1,3,4,1,1,36
高島平児童館,1,6,2,4,1,1,,1,2,12,2,4,36
耳鼻咽喉科いとうクリニック,12,5,2,3,2,,6,4,,,2,,36
上板橋第四小学校,1,,,32,1,,,1,1,,,,36
成増公園前自転車駐車場（有料）,2,1,1,,2,7,2,,1,2,4,14,36
青山クリニック,3,3,3,6,,,13,7,,1,,,36
天谷医院板橋診療所,,6,5,4,4,3,6,6,2,,,,36
熱帯環境植物館,,4,,2,1,1,3,2,3,6,1,13,36
板橋区役所前駅東自転車駐車場（有料）,2,7,2,5,6,2,,6,1,,3,2,36
板橋公園,4,2,1,5,3,,,12,4,2,,3,36
No.145遺跡,2,4,2,1,5,4,1,2,4,9,,1,35
No.28遺跡,2,,3,1,2,2,2,4,4,4,6,5,35
イムス板橋リハビリテーション病院,2,6,,1,3,2,2,11,2,5,1,,35
下赤塚診療所,14,7,2,,,1,6,4,,1,,,35
敬愛病院附属クリニック,1,3,3,2,2,1,11,10,2,,,,35
向原ホール,1,2,2,16,1,2,4,3,2,1,1,,35
高島平区民事務所,1,2,2,2,4,3,1,2,2,9,2,5,35
小竹向原駅自転車駐車場（有料）,,,,7,5,7,2,,2,2,8,2,35
小竹向原駅周辺放置禁止区域図,3,2,11,1,4,3,3,3,2,2,1,,35
西台内科,7,3,,2,1,1,5,8,1,3,3,1,35
西徳児童館,6,5,1,,4,3,1,4,2,6,,3,35
赤塚メンタルクリニック,10,3,2,3,,4,7,4,2,,,,35
倉科内科クリニック,15,,2,3,,3,6,4,1,1,,,35
東武練馬駅東自転車駐車場（有料コイン式）,5,2,3,5,3,,1,1,1,10,,4,35
板橋第一小　１,,,,,3,,1,1,,8,13,9,35
No.130遺跡,3,2,2,1,1,3,1,5,3,7,3,3,34
ときわ台クリニック,8,4,1,1,2,2,4,8,2,1,,1,34
栄愛薬局,4,2,1,5,4,3,2,1,4,4,1,3,34
佐伯医院,1,4,2,4,2,,6,12,3,,,,34
植村記念加賀スポーツセンター（旧東板橋体育館）,1,2,1,1,5,1,6,1,,8,8,,34
大久保医院,4,5,1,2,6,,5,11,,,,,34
板橋区保健所,4,2,3,3,,1,3,7,6,,2,3,34
望月内科クリニック,3,7,3,5,,2,8,5,1,,,,34
蓮根駅北自転車駐車場（有料）,,3,1,2,13,1,9,1,,,4,,34
クリニック高島平,4,4,3,3,1,,7,6,3,1,1,,33
下赤塚小学校,1,,,27,,,,,1,,2,2,33
開運堂今井薬局,,1,3,2,1,3,8,2,2,5,3,3,33
幸南クリニック,2,3,3,5,2,,9,6,3,,,,33
志村坂上駅周辺放置禁止区域図,4,2,2,,1,3,3,6,,4,5,3,33
志村三丁目駅第１自転車駐車場（有料）,3,1,1,1,2,,1,2,,4,5,13,33
成増駅南口第２自転車駐車場（有料）,3,,1,1,3,4,2,,2,1,8,8,33
成増駅北口第１自転車駐車場（有料）,1,2,,,3,3,,,1,4,10,9,33
木村整形外科,2,2,2,2,,,2,8,7,4,,4,33
蓮根児童館,3,3,1,2,3,,1,6,4,7,2,1,33
和田クリニック,,1,2,5,6,,12,6,1,,,,33
冲永眼科クリニック,4,,4,,6,,2,7,6,1,3,,33
No.100遺跡,3,1,,,6,4,,1,11,1,,5,32
No.63遺跡,2,11,1,1,10,,2,,1,2,2,,32
さくら皮フ科クリニック,,,,,,1,9,15,4,2,1,,32
ニック向原薬局,8,2,5,2,4,2,1,3,2,,1,2,32
右田医院,11,4,4,,1,3,3,5,,1,,,32
加賀藩下屋敷跡,1,2,4,1,3,,3,7,,5,2,4,32
志村三丁目駅周辺放置禁止区域図,2,2,6,2,1,2,3,6,,2,4,2,32
松月院通りクリニック,3,,4,1,2,1,10,8,2,,1,,32
田幡医院,7,3,1,8,,1,5,2,5,,,,32
板橋第二中学校,3,2,2,13,7,,,,,,4,1,32
富士見台児童館,2,4,2,6,7,1,,,2,4,2,2,32
サンシティ耳鼻咽喉科,9,1,1,9,1,,6,4,,,,,31
山手医院,3,5,,2,1,4,3,6,1,3,1,2,31
小豆沢病院付属高島平診療所,2,1,2,2,,3,4,12,2,2,1,,31
上板橋小学校,2,,,25,3,,,,1,,,,31
植村冒険館,,1,,2,14,1,1,3,5,4,,,31
清水児童館,5,1,2,2,5,3,,3,1,7,2,,31
赤塚植物園,6,6,4,,1,1,3,2,3,3,,2,31
浮間舟渡駅周辺放置禁止区域図,1,1,5,4,1,1,3,,7,2,,6,31
柳澤クリニック,6,2,3,3,1,1,4,10,1,,,,31
No.42遺跡,5,,14,1,1,,,3,3,1,2,,30
No.77遺跡,4,,,4,3,4,,2,2,1,2,8,30
No.88遺跡,2,,4,7,,,2,1,,11,3,,30
No.97遺跡,4,6,4,,,,2,4,2,,2,6,30
みなくちクリニック,10,3,,1,,1,12,2,1,,,,30
荒瀬医院,6,2,2,,2,1,6,6,2,3,,,30
高島平東口クリニック,3,3,2,1,2,3,3,8,2,1,2,,30
子ども家庭総合支援センター,15,2,,1,7,2,1,,1,1,,,30
笑和生活薬局,1,2,7,2,1,7,3,2,,1,3,1,30
新高島平駅北自転車駐車場（有料）,2,,2,4,3,2,6,5,1,1,4,,30
赤塚内科伊賀医院,9,3,4,,1,2,8,2,,1,,,30
大竹耳鼻咽喉科,4,6,2,1,5,,3,6,3,,,,30
中板橋駅東自転車駐車場（有料）,,1,5,1,2,1,3,8,2,,3,4,30
板橋第一小学校,,,2,20,,,1,1,1,3,2,,30
氷川児童館,1,4,1,4,5,2,3,,1,7,2,,30
堀口内科小児科,1,2,2,1,1,6,7,9,,,1,,30
和気医院,1,6,1,3,,5,5,7,1,1,,,30
No.113遺跡,4,2,8,1,8,,1,1,,,4,,29
No.43遺跡,2,4,,,6,2,4,1,4,1,,5,29
No.49遺跡,6,1,,4,,2,,9,4,,,3,29
No.78遺跡,,,3,,1,9,1,1,7,2,3,2,29
イムス板橋健診クリニック,1,5,3,4,1,1,3,10,,1,,,29
クオール薬局中板橋店,5,2,1,3,2,,1,3,3,3,3,3,29
つばさ薬局,4,2,1,2,1,3,3,4,3,2,1,3,29
ねや内科クリニック,10,3,2,4,,,7,1,1,1,,,29
板橋第二小学校,1,,1,18,3,,,1,,,1,4,29
平山医院(中台),7,2,1,3,3,,4,4,1,4,,,29
No.107遺跡,1,5,,3,1,2,1,1,3,3,3,5,28
No.29遺跡,,2,3,2,7,,6,1,4,3,,,28
No.36遺跡,8,1,9,3,2,1,,,2,1,,1,28
No.50遺跡,6,1,1,5,,1,2,3,4,2,2,1,28
水野医院,6,1,,2,,,6,3,8,2,,,28
大原生涯学習センター,2,8,9,,3,2,1,,,1,1,1,28
本蓮沼駅第２自転車駐車場（有料ゲート式）,2,2,,,6,4,1,1,,3,1,8,28
No.111遺跡,3,3,4,,2,5,4,,,2,1,3,27
No.70遺跡,5,,2,4,2,2,,1,8,2,1,,27
No.74遺跡,8,2,,,,3,,3,9,,2,,27
あずさわスポーツフィールド,1,,1,1,2,,2,1,14,2,3,,27
おおはし医院,2,,3,1,2,2,3,12,1,1,,,27
ケイロン薬局ターミナル店,7,1,4,,,,,,2,5,3,5,27
舟渡四丁目南地区地区計画,,,,,,26,,,1,,,,27
舟渡地域センター,3,,1,3,2,3,1,3,3,5,3,,27
