,2019年,,,,,,,,,2020年,,,
西高島平駅前自転車駐車場（有料）,49,46,41,51,49,53,44,21,31,32,31,77,525
板橋本町駅第４自転車駐車場（有料）,42,59,47,32,42,47,45,46,39,42,32,49,522
大山らる小規模保育園,57,55,68,22,29,43,55,51,38,26,49,27,520
浮間舟渡駅自転車駐車場（有料）,45,60,41,38,60,39,39,64,27,32,38,36,519
板橋区医師会病院,35,79,38,11,55,28,18,21,56,48,123,2,514
志村坂上地域センター,47,37,43,47,34,42,54,50,28,36,45,46,509
板橋地域センター,32,39,49,41,57,42,56,43,27,48,45,29,508
志村福祉事務所,43,39,55,75,65,58,37,34,21,18,15,47,507
七軒家集会所,18,15,35,39,31,48,56,63,40,46,78,37,506
上板橋健康福祉センター内集会所,7,21,29,12,94,163,53,30,21,14,21,35,500
高島平健康福祉センター,34,36,45,55,43,47,38,31,29,29,28,81,496
小茂根一丁目集会所,34,30,52,40,31,61,63,45,31,37,35,22,481
本町集会所,29,26,27,11,25,37,30,38,81,103,56,12,475
見次公園内集会所,43,32,67,32,42,36,54,54,16,28,43,25,472
成増駅南口第５自転車駐車場（有料）,47,38,28,38,57,30,37,26,34,47,55,35,472
徳丸地域センター,27,40,29,31,38,37,50,33,35,61,37,47,465
赤塚六丁目集会所,19,42,54,36,17,39,45,44,76,25,32,32,461
中台二丁目集会所,26,26,28,48,29,45,54,46,43,36,65,8,454
板橋区役所前駅南自転車駐車場（有料）,46,57,48,35,40,43,41,24,23,38,31,28,454
徳丸小学校,5,15,35,29,26,67,190,18,15,11,15,27,453
ときわ台駅北口第１自転車駐車場（有料）,35,32,31,29,52,40,46,50,25,28,34,39,441
高島平二丁目集会所,22,27,47,28,15,48,46,53,43,40,39,33,441
前野地域センター,35,37,44,35,48,25,36,22,36,55,43,25,441
中台三丁目集会所,26,27,29,19,23,46,69,38,66,49,34,14,440
板橋第二中学校,15,22,37,27,32,46,99,29,22,20,30,55,434
赤塚福祉事務所,29,50,47,53,27,51,39,47,27,16,12,35,433
小豆沢集会所,22,33,25,31,32,24,43,86,42,26,50,18,432
蓮根地域センター,45,35,42,39,44,40,39,41,27,20,17,35,424
熊野地域センター,38,50,39,41,40,50,46,23,16,22,19,36,420
板橋区役所前駅周辺放置禁止区域図,27,35,34,44,37,49,59,35,31,18,34,13,416
坂下二丁目集会所,10,16,22,32,15,14,34,30,67,102,49,20,411
美術館,27,27,43,52,41,32,40,28,29,36,40,15,410
事業所内保育所帝京わかくさ保育園,34,52,63,36,39,53,30,35,20,12,17,15,406
常盤台集会所,25,28,28,25,47,27,31,31,29,44,59,32,406
中台地域センター,44,44,31,42,29,33,46,32,25,16,22,35,399
徳丸タウンブリッジ自転車駐車場（有料）,35,31,22,26,39,22,36,25,24,38,53,47,398
板橋第五小学校,10,45,22,37,24,34,33,31,26,23,20,86,391
板橋福祉事務所,24,32,25,29,29,22,25,42,25,16,15,106,390
赤塚新町光が丘集会所,16,23,34,34,20,30,54,27,30,47,34,39,388
徳丸石川集会所,36,19,19,17,23,31,45,44,49,34,40,25,382
成増駅北口第２自転車駐車場（有料）,29,23,35,13,35,45,39,23,44,26,36,27,375
上板橋駅北自転車駐車場（有料）,26,26,23,26,44,25,43,39,17,23,37,44,373
東武練馬駅自転車駐車場（有料）,41,46,25,25,34,24,48,25,34,17,22,31,372
栄町集会所,17,14,40,41,32,16,33,54,31,32,34,19,363
徳丸ヶ丘公園内集会所,44,58,42,29,20,28,29,26,19,36,17,13,361
赤塚高台集会所,16,18,19,32,37,52,39,34,43,29,21,14,354
富士見台集会所,16,13,17,67,20,38,50,25,30,25,37,13,351
新板橋駅前高架下自転車駐車場（有料）,26,34,26,19,31,42,31,36,35,21,15,29,345
清水町第二集会所,33,20,35,29,18,12,23,45,49,20,35,9,328
ときわ台駅南口自転車駐車場（有料）,58,45,30,16,37,26,20,32,13,16,19,13,325
大山西町保育園,17,26,34,23,30,45,69,33,24,5,9,10,325
清水地域センター,27,33,37,37,20,30,28,23,14,24,28,21,322
あずさわ児童館,45,32,33,69,17,16,24,18,17,9,13,27,320
新河岸一丁目集会所,15,14,9,9,8,8,21,33,36,92,48,21,314
なります児童館,24,20,31,21,35,33,37,25,13,14,23,37,313
東新集会所,14,8,41,38,19,30,37,27,43,25,15,14,311
大和町自転車駐車場（有料）,29,35,43,22,26,27,23,18,16,21,18,27,305
コスモメイトときわ台小規模保育園,47,21,16,21,28,33,41,40,7,6,28,12,300
仲宿集会所,11,17,37,27,23,29,18,45,28,16,23,23,297
板橋西清掃事務所,19,45,22,16,23,22,28,12,17,20,24,49,297
前野町六丁目集会所,22,26,27,19,20,30,23,38,40,17,26,6,294
ひいらぎ保育園,6,9,23,26,33,28,42,51,25,18,16,14,291
清水児童館,35,28,32,22,25,32,20,27,16,12,19,21,289
認定こども園板橋向原幼稚園,20,59,25,33,17,39,30,26,16,8,7,9,289
大山東集会所,14,19,14,24,35,33,18,27,30,31,27,16,288
赤塚新町保育園,14,29,33,32,28,19,32,22,12,14,30,22,287
金沢小学校,21,17,21,15,21,45,59,14,13,14,28,17,285
本蓮沼駅自転車駐車場（有料）,20,19,13,19,24,35,32,19,15,27,20,40,283
西徳第一公園内集会所,23,16,14,30,25,21,30,31,29,21,14,18,272
富士見台児童館,25,25,22,26,24,26,29,17,14,19,20,22,269
高島陸橋交差点A自転車駐車場（有料）,21,30,27,30,22,23,13,13,14,22,27,25,267
高島平児童館,18,30,31,26,39,19,13,22,14,13,14,16,255
本蓮沼公園内集会所,25,15,13,13,32,17,47,23,18,18,21,12,254
高島平四丁目集会所,14,14,16,28,8,26,30,32,18,24,14,28,252
板橋健康福祉センター,28,25,21,25,18,12,12,16,19,16,36,20,248
下板橋駅第１自転車駐車場（有料）,9,18,24,15,28,27,23,29,15,20,14,24,246
コスモメイト成増保育園本園,36,36,15,15,23,28,30,19,11,9,12,7,241
幸町集会所,9,9,18,15,28,23,24,48,22,12,18,14,240
東山公園内集会所,3,9,16,28,27,19,13,41,34,26,15,7,238
高島平一丁目集会所,8,17,16,14,9,49,36,24,21,18,11,14,237
事業所内ブルーポピー保育園,16,15,17,10,24,27,30,22,14,15,33,14,237
白鳩保育園分園,18,17,23,22,18,30,28,21,12,9,18,21,237
三園小学校,4,12,14,22,22,22,51,19,16,11,17,20,230
ウエルネス保育園成増小規模保育園,34,33,26,21,22,19,15,18,9,11,19,,227
小規模保育園ぶれあ保育園・赤塚,24,40,17,29,30,23,14,17,10,3,11,8,226
赤塚支所,19,22,16,33,18,18,16,13,12,18,17,23,225
赤塚小学校,5,9,8,21,18,31,44,12,18,14,19,24,223
南板橋児童館,16,26,33,10,35,12,19,13,19,16,8,14,221
事業所内びおら保育園,14,18,17,27,20,20,32,18,14,13,7,13,213
南前野児童館,25,31,24,20,17,25,12,14,9,9,13,13,212
東新保育園,19,29,25,14,16,16,26,9,8,6,20,22,210
南前野保育園,11,18,24,20,20,17,24,26,9,10,8,22,209
舟渡地域センター,13,15,9,19,26,16,23,13,16,16,15,26,207
高島平ベビールーム,17,64,21,21,13,17,16,11,4,5,9,8,206
小規模保育園ひまわり保育所,5,15,8,5,109,23,13,13,4,2,5,3,205
徳丸ヶ原公園内集会所,10,18,29,22,10,11,13,17,20,27,13,15,205
志村三丁目駅第３自転車駐車場（有料）,16,16,14,13,18,24,15,16,21,20,11,20,204
上板橋児童館,10,22,18,25,22,18,27,13,13,12,13,11,204
氷川児童館,20,22,18,21,25,15,20,15,14,10,10,14,204
志村三丁目駅第２自転車駐車場（有料）,11,13,12,12,17,25,19,14,18,15,15,32,203
ひまわりベビールーム小竹向原,12,27,19,16,10,32,26,18,12,10,9,10,201
板橋第三中学校,,5,12,19,22,31,51,8,8,11,18,15,200
はすのみ児童館,22,18,24,15,21,17,17,15,12,14,9,14,198
板橋第一小学校,4,55,22,17,16,17,23,4,11,9,6,9,193
前野町三丁目集会所,7,9,14,8,11,14,19,19,28,39,7,17,192
板橋郵便局前自転車保管所,26,17,18,21,15,6,8,17,16,22,16,10,192
情報処理センター,20,27,20,23,13,16,12,12,16,12,13,7,191
成美保育園,22,25,11,12,18,24,15,17,13,11,13,10,191
東武練馬駅東自転車駐車場（有料コイン式）,19,9,8,9,9,12,26,12,20,17,29,19,189
新河岸保育園,12,14,24,7,15,11,10,19,6,11,27,31,187
ときわ台駅北口第２自転車駐車場（有料）,23,23,22,17,14,21,5,16,8,15,9,11,184
ゆりの木児童館,11,14,17,27,24,14,18,11,13,8,9,16,182
板橋フレンドセンター,16,12,19,12,14,10,20,12,12,13,10,27,177
加賀中学校,19,11,21,15,15,16,30,11,2,10,7,19,176
大和集会所,12,14,10,6,14,10,14,25,25,16,18,12,176
はちすクリニック,9,20,10,,19,8,12,7,4,69,11,2,171
志村ふれあい館,16,21,16,16,23,23,15,9,6,7,12,6,170
しらさぎ児童館,12,18,19,13,21,15,12,11,13,9,13,13,169
高島平すみれ保育園,15,21,21,13,13,18,22,8,16,8,2,10,167
成増駅周辺放置禁止区域図,12,11,23,13,5,10,19,14,19,16,16,9,167
キッズタウンむかいはら保育園,18,10,12,16,9,18,27,17,8,16,7,8,166
小竹向原駅自転車駐車場（有料ゲート式）,26,14,14,17,16,18,11,20,6,8,11,5,166
緑ヶ丘第二公園内集会所,7,12,7,7,13,29,16,10,28,16,13,8,166
あさひが丘保育園,2,3,9,1,5,9,35,20,14,18,25,23,164
若葉ゆめの園事業所内保育所,15,17,18,16,13,13,21,18,6,12,7,8,164
清水町集会所,8,14,27,24,10,10,11,8,26,15,5,4,162
加賀小学校,6,17,15,17,11,17,19,10,17,14,8,9,160
ときわ台駅北口第４自転車駐車場（有料ゲート式）,22,18,14,16,19,15,9,7,7,8,14,10,159
志村城山公園内集会所,12,23,15,9,14,14,10,14,10,13,12,11,157
新河岸水再生センター前臨時駐車場,23,22,17,7,13,12,16,8,8,9,4,17,156
西徳第二公園内集会所,14,8,10,9,14,14,19,14,15,21,7,11,156
西徳児童館,5,17,13,13,14,17,16,14,11,18,3,14,155
藤田医院,6,22,8,7,6,4,10,6,15,61,7,3,155
板橋駅自転車駐車場（有料）,14,17,18,6,15,26,16,5,8,12,14,4,155
高島平九丁目集会所,21,17,16,15,14,12,8,8,11,7,13,12,154
志村橋児童館,13,14,21,14,24,8,17,4,11,8,11,7,152
きたのホール,14,11,30,25,10,9,8,14,10,12,4,4,151
小規模保育園マミー保育所,17,16,25,7,9,12,18,11,10,8,9,9,151
分園友和の森保育園,8,12,16,10,9,3,20,16,11,9,23,13,150
香川内科小児科医院,3,17,15,10,12,10,3,3,27,37,9,2,148
高島平駅第１自転車駐車場（有料）,12,25,22,8,21,12,10,10,10,7,4,6,147
高島平駅第２自転車駐車場（有料）,11,10,13,12,13,26,10,12,14,10,8,7,146
向原ベビールーム,20,19,11,22,13,19,11,7,4,3,8,7,144
志村健康福祉センター,12,8,26,27,11,9,7,8,14,10,5,7,144
板橋駅西口自転車駐車場（有料コイン式）,22,19,17,21,12,6,5,5,8,5,11,12,143
高島平区民事務所,22,14,4,16,11,7,11,11,8,7,9,20,140
高島平つぼみ保育園,17,16,23,5,14,11,19,9,5,1,5,14,139
徳丸五丁目集会所,8,13,7,11,5,5,17,22,5,13,27,6,139
アスク上板橋保育園,5,19,17,15,12,15,17,8,13,3,8,6,138
にじいろ保育園上板橋,19,21,12,16,15,17,7,10,10,4,5,2,138
西台二丁目集会所,10,18,13,2,8,13,14,13,15,14,13,5,138
西前野保育園,6,16,13,15,7,14,16,13,7,5,5,20,137
紅梅保育園,10,14,19,4,7,15,15,11,7,4,11,19,136
水車公園前自転車保管所,21,28,9,10,12,12,8,8,8,2,4,13,135
常盤台地域集会室,4,11,10,18,19,11,16,14,6,14,6,5,134
大山東児童館,12,10,9,18,11,9,24,2,17,9,3,10,134
水久保公園内集会所,8,15,17,7,15,11,15,12,13,7,4,9,133
成増駅南口第２自転車駐車場（有料）,16,18,4,8,8,11,12,6,12,8,23,7,133
なでしこ小規模保育園,,5,8,8,8,18,22,24,5,5,20,8,131
志村橋保育園,6,9,21,6,7,9,19,8,13,6,11,16,131
板橋区役所前駅西自転車駐車場（有料）,17,17,10,6,16,19,10,12,7,3,6,8,131
蓮根区民事務所,13,4,7,11,19,15,10,10,16,4,10,12,131
ほっぺるランド大谷口,7,11,3,9,8,10,29,31,6,3,7,6,130
宮下内科医院,10,16,7,8,7,7,1,6,20,42,4,2,130
高島平くるみ保育園,12,14,24,6,8,12,14,8,4,9,3,16,130
蓮根児童館,12,15,15,12,11,9,12,9,9,4,15,7,130
志村コミュニティホール,5,7,17,4,24,10,13,15,4,14,6,10,129
志村坂上駅自転車駐車場（有料コイン式）,19,20,9,4,3,13,6,11,6,18,11,9,129
西台保育園,3,3,6,5,17,10,10,16,15,10,18,15,128
志村児童館,13,17,13,18,10,8,10,6,14,5,6,7,127
若木小学校,19,15,13,7,7,4,32,7,4,4,9,6,127
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,14,5,17,8,9,12,25,3,6,8,9,11,127
東新児童館,6,15,18,10,19,13,6,13,3,6,7,11,127
三園一丁目集会所,7,11,10,6,8,8,17,18,18,12,5,6,126
YUMEパーク・大和町自転車駐車場（有料コイン式）,12,7,19,5,12,16,7,13,4,11,10,9,125
えがおこどもクリニック,8,33,6,8,6,6,8,5,11,29,5,,125
ときわ台はしもと小児科アレルギー科,2,26,4,10,7,14,7,5,13,25,10,2,125
高島平つくし保育園,9,10,14,13,7,9,15,10,10,7,11,10,125
アイル板橋小規模保育園,17,12,10,11,8,23,10,15,2,2,5,9,124
グリーンカレッジホール（シニア学習プラザ）,8,20,12,6,14,11,9,12,6,9,10,5,122
篠遠医院,5,29,6,5,5,8,5,6,19,26,6,2,122
新河岸公園内集会所,4,21,5,11,6,7,6,18,7,15,12,10,122
南ときわ台耳鼻咽喉科,1,17,5,7,5,4,5,6,18,45,7,2,122
上板橋駅周辺の放置禁止区域図,4,20,9,11,6,14,28,12,1,1,9,6,121
萩原医院,6,28,3,11,6,5,4,6,6,32,8,6,121
弥生児童館,5,12,12,11,16,12,8,7,9,12,9,6,119
こじか保育園分園,7,13,9,14,13,8,13,12,10,5,8,6,118
新高島平駅北自転車駐車場（有料）,5,10,13,12,10,8,11,9,8,8,9,15,118
赤星医院,27,4,4,9,17,8,2,2,12,20,8,5,118
板橋本町駅周辺放置禁止区域図,8,4,6,16,4,8,40,3,6,11,1,10,117
平山医院,9,20,5,2,5,7,7,6,14,32,6,3,116
仲宿保育園,6,11,8,6,10,16,10,10,8,7,7,15,114
うぃず成増保育園,25,14,15,4,7,4,12,13,8,5,4,2,113
赤塚児童館,11,18,14,13,9,8,4,12,4,6,7,7,113
リサイクルプラザ,7,6,11,14,16,7,8,8,5,7,12,11,112
清水医院,4,30,,9,8,6,11,6,10,9,15,4,112
蓮根メディカルクリニック,1,18,10,4,8,9,2,4,21,25,7,3,112
大山駅周辺放置禁止区域図,4,8,6,13,3,7,26,8,13,7,12,4,111
内村医院,25,7,8,,8,7,17,,22,10,3,4,111
蓮根第二児童館,3,10,15,19,12,8,9,12,3,4,5,10,110
ロータスホール,1,6,4,6,6,5,12,11,9,43,4,2,109
高島平一丁目第三公園内集会所,6,8,10,6,8,19,12,13,10,6,3,8,109
平和保育園,6,9,15,7,11,15,15,7,7,6,3,7,108
木村内科クリニック,6,28,8,,,11,10,10,3,24,5,2,107
エコポリスセンター,8,7,11,20,14,4,8,6,5,7,9,7,106
板橋いこいの家,9,6,10,21,14,9,8,8,10,5,4,2,106
ときわ台駅周辺放置禁止区域図,3,6,13,3,11,9,27,5,5,10,8,5,105
成増公園前自転車駐車場（有料）,9,5,4,3,14,5,8,18,14,15,7,2,104
メリーポピンズ東武練馬ルーム,13,10,18,5,9,4,19,7,4,5,8,1,103
本蓮沼駅第３自転車駐車場（有料）,15,9,6,5,8,19,9,8,5,5,9,5,103
郡医院,7,12,5,4,3,11,4,10,5,34,3,4,102
下赤塚ベビールーム,9,13,6,10,10,10,16,7,4,3,6,7,101
中板橋駅東自転車駐車場（有料）,6,7,10,5,8,5,6,21,10,9,10,4,101
高島平けやき保育園,11,9,11,6,8,4,16,9,3,4,9,10,100
山中児童遊園内集会所,2,9,13,5,5,14,11,15,7,6,8,5,100
小規模保育園ドリームキッズ板橋保育園,11,12,11,6,9,6,18,9,4,3,5,6,100
天木診療所,5,11,4,,,11,5,7,8,38,11,,100
ひまわりキッズガーデン城山,6,7,11,3,8,9,18,11,7,4,7,8,99
教育科学館,16,14,14,6,9,7,11,6,2,8,4,2,99
若木保育園,3,4,9,3,12,7,13,15,7,12,4,10,99
成増一丁目自転車駐車場（有料）,8,8,7,12,8,10,7,8,9,10,8,4,99
高島平七丁目公園内集会所,5,7,6,7,2,12,11,14,9,8,8,9,98
板橋東清掃事務所,12,4,6,15,18,7,15,2,5,9,2,3,98
ときわ台保育園,2,6,8,8,14,14,16,5,5,5,6,8,97
下赤塚駅周辺放置禁止区域図,6,3,36,5,1,5,20,2,1,7,2,9,97
成増駅南口第３自転車駐車場（有料）,7,8,,6,8,4,4,7,8,22,17,6,97
成増駅南口第６自転車駐車場,10,4,2,4,10,6,7,14,5,18,10,7,97
ひまわりキッズガーデン小茂根,10,2,10,5,7,7,18,9,13,5,7,3,96
北角診療所,17,2,6,2,7,,,4,38,6,9,5,96
ときわ台駅北口第３自転車駐車場（有料）,18,16,6,5,8,11,6,7,5,8,4,1,95
清水町小規模保育園,13,12,7,8,12,5,12,9,1,2,8,5,94
西尾医院,,32,2,8,1,4,,6,20,17,,4,94
田丸小児科内科医院,10,15,,6,3,12,2,8,,28,8,2,94
堀井医院,12,11,,9,,8,6,7,26,6,7,2,94
高島平さつき保育園,3,7,9,4,8,13,17,4,9,3,6,10,93
いたばし観光センター,,8,8,17,10,7,9,7,10,11,4,1,92
陽光保育園,2,5,10,7,7,8,16,8,4,6,7,12,92
紅梅児童館,4,8,11,8,10,7,9,10,4,5,5,10,91
高島平駅・新高島平駅周辺放置禁止区域図,14,3,3,4,8,9,28,3,7,4,4,4,91
常盤台区民事務所,17,11,5,11,10,7,5,6,1,4,9,5,91
赤塚六丁目保育園,5,11,17,7,9,6,10,3,8,3,6,6,91
大山保育園,,5,8,7,9,14,9,14,5,3,11,6,91
仲宿いこいの家,9,3,7,9,7,12,3,13,11,6,10,1,91
舟渡ホール,15,2,20,12,5,17,2,6,2,6,1,2,90
中板橋駅周辺放置禁止区域図,5,15,4,8,3,6,23,3,7,7,3,6,90
さかうえ児童館,4,7,9,11,6,5,11,12,3,6,4,10,88
志村坂上駅北自転車駐車場（有料コイン式）,13,11,4,8,4,5,6,8,8,9,8,4,88
小規模保育園あずさわ保育園,7,12,17,10,9,8,4,4,8,1,6,2,88
大久保医院,,,,,3,,8,17,21,29,8,2,88
蓮根駅・西台駅周辺放置禁止区域図,7,7,10,3,3,4,24,5,3,11,10,1,88
小竹向原駅北自転車駐車場（有料）,10,5,8,7,6,11,4,8,9,6,9,4,87
北野ベビールーム,5,5,7,8,12,11,8,15,5,3,3,5,87
小規模保育園ウィズブック保育園志村坂上,8,10,11,4,6,19,7,11,2,1,4,3,86
小規模保育園大山金井町インフィニティ保育園,10,9,2,9,16,6,7,7,6,3,4,6,85
ベネッセ前野町保育園,18,14,8,4,6,3,7,10,2,2,3,6,83
佐藤クリニック,5,19,4,4,11,4,1,,13,13,7,2,83
小規模保育園生活クラブぽむ・徳丸,11,5,6,4,6,8,14,9,4,7,9,,83
上板橋体育館,13,13,9,11,6,6,8,3,1,2,3,8,83
新河岸幼稚園,6,5,8,4,9,9,11,9,9,4,6,3,83
サンシティ小規模保育園,9,7,8,7,10,4,6,9,8,6,3,5,82
板橋公園,9,12,7,3,4,13,5,5,1,4,11,8,82
レストランまき,8,9,7,8,11,7,5,2,7,3,7,7,81
わかたけ第二保育園,10,14,11,3,6,9,3,2,2,1,14,6,81
井垣医院,3,10,5,7,,8,5,4,9,22,5,3,81
多比良医院,5,15,2,4,10,3,5,7,4,21,3,2,81
板橋区役所前駅,8,8,7,6,6,7,11,9,7,4,6,1,80
戸田橋下臨時駐車場入口,23,5,6,2,5,6,5,5,5,10,6,1,79
杉内医院,6,22,5,,6,3,1,5,10,13,6,2,79
東京自由保育園,14,9,12,2,9,9,8,6,3,4,1,2,79
板橋本町駅第１自転車駐車場（有料）,5,9,8,5,4,7,5,3,8,8,9,8,79
蓮根三丁目自転車駐車場（有料）,3,14,4,6,10,7,7,8,8,4,5,3,79
このえ蓮根小規模保育園,21,10,12,3,4,9,5,5,2,2,2,3,78
さかうえ保育園,5,9,6,2,6,10,8,13,4,4,4,7,78
こども動物園高島平分園,12,2,6,6,8,3,8,2,5,9,8,8,77
さいしょ小児科,2,15,2,6,8,10,8,3,9,4,7,3,77
No.99遺跡,4,8,9,8,6,15,,4,3,3,14,2,76
中台小規模保育園,7,10,9,3,5,11,5,8,2,1,4,10,75
アスクときわ台保育園,4,9,4,6,7,9,14,8,2,3,2,6,74
高島陸橋交差点F自転車駐車場（有料）,3,3,5,6,7,4,5,,1,12,8,20,74
東武練馬駅北口第２自転車駐車場(有料),7,8,6,5,8,8,7,5,5,5,8,2,74
板橋幸町クリニック,,14,,,,6,2,2,,48,,2,74
前野保育園,1,5,5,1,1,5,8,20,10,4,7,6,73
板橋区役所前駅東自転車駐車場（有料）,7,6,2,5,10,6,11,3,6,1,7,9,73
No.134遺跡,12,6,12,11,12,,2,6,2,1,7,,71
荒川戸田橋陸上競技場,10,7,10,9,12,7,4,4,4,2,,2,71
大山駅,2,1,7,8,8,8,6,4,5,2,15,5,71
大山東方クリニック,,,,6,,6,3,5,13,27,9,2,71
内田診療所,5,,2,6,1,9,,,21,15,4,8,71
岩渕診療所,9,7,7,5,,4,5,4,14,8,2,4,69
志村一丁目小規模保育園,9,8,9,4,8,2,8,9,2,1,4,5,69
成増地域集会室,17,21,14,5,12,,,,,,,,69
グローバルキッズ成増園,3,3,5,3,8,16,5,7,8,2,2,6,68
下赤塚区民事務所,4,3,3,11,17,3,6,2,2,8,7,2,68
高島平診療所堀口内科小児科,16,4,4,5,4,2,,3,5,14,7,3,67
東新ベビールーム,1,10,6,4,12,2,11,8,5,3,2,3,67
明日葉保育園大山園,10,12,7,3,8,4,4,7,2,1,5,4,67
ぴっころきっず下赤塚小規模保育園,6,10,7,4,5,8,9,4,1,1,7,4,66
板橋区平日夜間応急こどもクリニック,11,7,4,7,7,9,,3,8,,7,3,66
ぴっころきっずときわ台小規模保育園,4,10,4,11,5,8,3,9,2,1,2,6,65
メディコール小規模保育園中板橋,5,9,7,4,8,7,5,4,3,1,5,7,65
前野ホール,5,5,4,3,2,10,10,,2,7,14,3,65
No.113遺跡,,2,,11,,3,4,9,10,1,2,22,64
こども動物園,6,7,5,4,7,5,5,5,5,5,3,7,64
小規模保育園大山西町インフィニティ保育園,10,10,7,5,6,6,6,2,3,2,4,3,64
小竹向原駅周辺放置禁止区域図,5,3,1,8,1,3,16,4,6,6,2,9,64
成増駅北口第４自転車駐車場（有料コイン式）,12,4,3,4,4,7,4,1,10,5,6,4,64
上板橋保育園,8,9,9,6,8,7,4,1,7,,,4,63
No.28遺跡,2,18,1,2,5,5,5,5,13,2,2,2,62
志村坂上区民事務所,12,8,6,12,7,5,1,2,1,2,4,2,62
日生あずさわ保育園ひびき,2,11,3,2,7,1,10,6,6,3,10,1,62
きららの杜西台小規模保育園,8,7,7,4,9,7,5,4,4,2,1,3,61
大山駅自転車駐車場（有料コイン式）,1,5,2,4,10,7,9,11,3,1,7,1,61
田島クリニック,,16,8,6,4,7,3,,,8,5,4,61
東板橋図書館,3,6,11,8,11,7,7,2,3,,3,,61
向原ホール,10,6,2,15,8,7,3,1,3,2,2,1,60
新河岸児童館,5,10,10,6,4,5,2,2,4,4,3,5,60
仲町ふれあい館,7,4,7,4,8,5,7,6,1,4,3,4,60
東武練馬駅周辺放置禁止区域図,4,5,1,11,6,3,14,4,7,1,1,3,60
成増駅北口第１自転車駐車場（有料）,8,3,4,2,14,6,3,3,3,4,7,2,59
浅倉内科クリニック,12,2,4,,4,,1,,26,4,6,,59
大山西町小規模保育園,6,3,6,6,2,13,8,2,3,5,2,3,59
道路補修工事（21）,,59,,,,,,,,,,,59
双葉町クリニック,8,2,3,2,,4,,10,14,4,11,,58
