,2017年,,,,,,,,,2018年,,,
板橋区保健所,12,9,11,10,5,3,14,8,,5,6,4,87
グリーンホール,3,2,20,2,,9,11,9,6,7,9,8,86
成増駅南口第7自転車駐車場,26,4,3,5,3,7,7,5,9,,9,8,86
前野ホール,5,6,4,4,8,16,5,11,7,7,8,5,86
戸田橋下臨時駐車場,6,11,16,1,4,5,11,9,17,2,1,2,85
高島陸橋交差点F自転車駐車場（有料）,13,5,8,3,,9,14,7,9,4,7,6,85
成増駅北口第４自転車駐車場（有料コイン式）,24,5,5,7,7,3,5,5,3,5,6,10,85
板橋福祉事務所,5,8,1,3,6,12,17,8,9,6,4,6,85
岩田医院,8,6,7,,2,8,7,7,15,19,,5,84
区立文化会館,5,2,2,3,1,6,13,10,13,9,9,11,84
志村坂上駅周辺放置禁止区域図,5,9,6,13,3,11,7,3,5,5,9,8,84
大山駅自転車駐車場（有料コイン式）,10,15,6,6,5,3,4,14,4,7,7,3,84
成増駅南口第５自転車駐車場（有料）,41,,,,,,,,,,,42,83
中板橋駅南口自転車駐車場（有料）,15,13,8,6,7,3,3,3,7,4,6,8,83
板橋東清掃事務所,1,1,2,5,6,5,14,14,7,11,9,8,83
グリーンホール（旧産文ホール）,2,5,3,8,1,9,9,9,11,13,8,4,82
弥生児童館,4,6,21,4,7,5,4,7,4,7,4,9,82
エコポリスセンター,5,11,24,6,,3,11,4,7,2,5,3,81
高島平診療所堀口内科小児科,4,8,4,7,2,6,3,8,9,22,,8,81
大原生涯学習センター,11,6,16,13,2,2,10,,4,5,3,9,81
栄町集会所,4,3,11,3,1,10,8,9,11,11,5,4,80
郡医院,6,,7,5,9,6,6,4,7,15,4,11,80
板橋三丁目児童遊園,,2,,33,2,9,12,13,3,3,2,1,80
中板橋駅東自転車駐車場（有料）,12,8,10,3,3,5,2,2,12,14,5,3,79
蓮根駅自転車駐車場（有料）,12,9,1,5,6,4,2,6,9,10,8,7,79
下板橋駅第１自転車駐車場（有料）,12,11,6,5,1,5,8,2,8,10,6,4,78
志村坂上区民事務所,7,16,13,14,5,5,5,,1,5,6,1,78
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,11,6,11,3,2,6,5,6,1,7,8,12,78
板橋区平和公園,6,17,3,3,4,10,9,3,3,3,7,10,78
蓮根児童館,12,8,18,3,6,2,6,6,5,6,1,5,78
志村三丁目駅第３自転車駐車場（有料）,11,8,2,5,1,1,4,4,5,14,11,11,77
成増駅北口第５自転車駐車場（有料）,25,7,4,5,1,5,5,2,6,2,3,12,77
田島クリニック,,8,3,5,5,2,5,10,10,14,15,,77
戸田橋下臨時駐車場入口,4,3,11,12,4,4,6,8,7,4,4,9,76
新河岸陸上競技場,6,8,5,5,1,7,5,5,3,27,,4,76
板橋区平日夜間応急こどもクリニック,7,2,,2,2,10,8,5,11,8,10,10,75
板谷公園,,3,,21,5,8,8,10,6,6,3,5,75
なります児童館,4,,17,9,9,3,10,5,4,2,5,6,74
上板橋体育館,8,,4,3,3,7,8,6,6,6,9,14,74
中板橋駅北口自転車駐車場（有料）,8,9,7,2,7,8,8,3,6,3,5,8,74
弥生小学校,5,4,11,2,,12,12,6,8,7,3,4,74
出井の泉公園,,8,62,1,1,,,,,,1,,73
小豆沢福祉園,12,7,,1,4,8,11,7,11,2,5,5,73
大山駅,3,4,4,,,7,16,10,7,8,7,7,73
本蓮沼駅第２自転車駐車場（有料ゲート式）,12,6,6,3,10,10,1,5,6,1,9,4,73
下板橋駅前集会所,7,3,8,1,1,5,2,9,8,8,8,12,72
南ときわ台公園内集会所,2,1,2,9,3,6,14,8,6,5,7,9,72
板橋警察署,4,2,2,2,5,6,11,12,5,10,6,7,72
緑が丘児童館,5,4,19,8,1,4,1,8,2,3,10,7,72
蓮根駅・西台駅周辺放置禁止区域図,13,7,9,9,4,5,4,2,1,7,2,9,72
加賀一丁目みどりばし緑地,,3,,27,1,10,11,10,3,3,2,1,71
紅梅児童館,8,7,18,5,1,2,5,9,1,8,5,2,71
中根橋小学校,3,4,2,4,,10,5,6,11,9,7,9,70
東板橋公園,1,5,6,16,5,6,10,5,3,2,6,5,70
杉内医院,2,10,,3,2,6,2,7,8,20,5,4,69
清水いこいの家,1,6,7,3,6,2,4,8,8,6,9,9,69
蓮根三丁目自転車駐車場（有料）,11,10,2,4,6,5,2,4,6,8,5,6,69
ときわ台駅周辺放置禁止区域図,17,18,8,4,2,6,6,1,,,2,4,68
観明寺,2,5,,1,4,7,17,9,5,6,4,8,68
No.165遺跡,5,10,6,6,4,4,6,4,5,10,4,3,67
水車公園,4,6,3,4,3,5,11,5,3,3,10,10,67
有賀小児クリニック,13,8,,5,3,,7,15,11,,,5,67
志村三丁目駅第２自転車駐車場（有料）,6,9,5,8,2,3,4,2,6,10,6,5,66
新河岸庭球場,8,5,,1,,6,8,8,6,9,5,10,66
ハイライフプラザいたばし,8,8,4,4,8,6,5,7,3,7,3,2,65
井垣医院,6,2,7,3,6,2,3,4,12,6,9,5,65
加賀福祉園,1,,,21,1,6,11,9,3,5,4,4,65
大山東方クリニック,,,,14,7,6,,,19,,13,6,65
向原児童館,4,4,21,4,5,3,4,4,1,2,7,5,64
大山駅周辺放置禁止区域図,10,11,5,2,5,3,1,6,6,1,10,4,64
志村城山公園内集会所,5,9,,1,,5,11,7,7,7,5,6,63
内田診療所,,6,4,7,2,7,,,12,2,16,7,63
荒川戸田橋陸上競技場,8,3,3,2,,1,1,12,11,10,5,6,62
高島平駅第２自転車駐車場（有料）,9,4,10,2,3,7,2,1,6,5,5,8,62
上板橋駅東自転車駐車場（有料）,11,8,10,4,1,7,2,1,4,1,5,8,62
田幡医院,13,3,,3,,4,3,5,4,13,9,5,62
加賀公園,4,12,1,13,5,6,5,4,3,4,3,,60
志村橋児童館,9,5,11,1,4,5,5,3,3,5,4,5,60
志村図書館,3,5,11,1,2,10,2,2,4,3,10,7,60
中央図書館,4,5,11,3,3,8,2,,2,4,7,11,60
東新児童館,5,2,14,2,5,6,2,6,4,4,6,4,60
区役所1階北館・3階南館,16,4,16,7,4,1,1,,3,1,3,3,59
高島陸橋交差点C自転車駐車場（有料）,3,7,1,3,3,2,2,6,10,2,9,11,59
新河岸保育園,4,19,,,2,,,,1,1,31,1,59
成増三丁目集会所,2,,2,,2,7,9,5,9,10,4,9,59
赤塚七丁目集会所,4,4,4,13,2,5,4,3,4,5,6,5,59
道路補修工事（1706）,10,9,18,2,5,12,3,,,,,,59
加賀第二公園,,4,,17,1,5,10,10,4,3,2,2,58
旧粕谷家（東の隠居）住宅,2,2,1,1,,,2,,,9,14,27,58
見次公園,,10,4,13,1,9,4,2,1,,9,5,58
新河岸児童館,5,6,17,2,3,5,2,3,2,7,2,3,57
赤塚いこいの家,2,8,8,4,5,9,2,5,1,2,4,7,57
多比良医院,6,11,,4,5,4,4,4,6,6,7,,57
大和集会所,2,1,,5,1,5,8,4,9,10,6,6,57
徳丸三丁目集会所,2,10,5,,1,6,7,5,5,5,3,8,57
蓮根第二集会所,4,5,,3,,4,10,7,8,8,6,2,57
近藤胃腸科内科クリニック,3,6,,2,5,4,5,4,10,3,12,2,56
新河岸水再生センター前臨時駐車場入口,5,15,8,8,2,4,3,,1,4,2,4,56
石川医院,,11,,,,,,,,45,,,56
智清寺,1,1,3,2,1,8,8,16,5,4,4,3,56
蓮根自転車保管所,14,6,6,3,7,10,7,1,1,,,1,56
ひまわりキッズガーデン志村,3,4,3,11,4,5,4,3,5,4,5,4,55
高島平九丁目集会所,5,4,,1,1,5,10,7,6,5,6,5,55
板橋駅,4,2,1,8,8,4,8,4,2,5,5,4,55
sukusukuカフェ＆キッズ,33,1,11,1,,1,,1,2,1,1,2,54
栄町保育園,8,12,19,4,1,3,2,,1,,2,2,54
高島平駅第１自転車駐車場（有料）,7,6,4,,5,5,5,1,7,3,5,6,54
上板橋駅,1,1,1,,,7,9,6,12,8,3,6,54
上板橋駅西自転車駐車場（有料）,7,8,4,4,5,6,6,2,2,3,4,3,54
東武練馬駅東自転車駐車場（有料コイン式）,8,10,5,1,1,2,2,2,5,8,6,4,54
加賀西公園,,3,,15,2,5,7,4,3,5,5,4,53
赤塚六丁目集会所,3,1,,,,11,10,8,2,5,6,7,53
大谷口児童遊園内集会所,5,,1,,1,5,9,4,8,9,5,6,53
子ども家庭支援センター,7,6,2,2,8,7,3,3,2,2,4,6,52
西高島平駅南口自転車駐車場（有料コイン式）,11,7,8,,3,3,2,5,3,4,3,3,52
見次公園内集会所,4,4,1,11,2,4,5,2,3,5,5,5,51
赤塚体育館,4,4,1,3,4,1,4,10,6,4,4,6,51
仲町高齢者在宅サービスセンター,7,4,5,6,1,7,5,3,2,3,3,5,51
東板橋公園運動場,6,6,,9,2,7,7,4,4,4,2,,51
板橋本町駅周辺放置禁止区域図,12,5,5,4,2,3,8,,1,2,3,6,51
城北公園,9,6,6,7,2,6,2,3,,1,3,5,50
板橋第九小学校,7,14,16,3,2,2,2,1,,,3,,50
あさひが丘保育園,3,2,,11,4,4,5,4,3,6,3,4,49
高島陸橋交差点D自転車駐車場（有料）,6,7,2,,3,2,2,4,6,5,3,9,49
歯科衛生センター,4,6,3,1,1,2,2,4,15,9,2,,49
道路補修工事（7）,,,,,1,,,3,12,19,8,6,49
板橋四丁目集会所,2,,2,12,4,7,7,4,3,5,3,,49
赤塚植物園,1,5,,6,3,4,2,3,4,2,10,8,48
二階堂調剤薬局ときわ台店,1,2,1,4,5,4,6,6,8,3,2,6,48
文殊院,3,8,3,1,,10,4,5,,4,5,5,48
そう内科クリニック,9,7,,4,2,6,2,,6,,11,,47
岩渕診療所,3,11,5,,,6,3,4,7,2,,6,47
小茂根一丁目集会所,4,2,3,,2,2,1,7,5,5,7,9,47
上板橋駅周辺放置禁止区域図,2,8,3,14,3,3,2,3,1,2,3,3,47
乗蓮寺,2,,1,1,1,6,7,9,5,3,9,3,47
水野医院,4,6,,,,3,3,4,,25,2,,47
浅倉内科クリニック,8,,2,5,,,4,,9,2,6,11,47
金沢小学校,4,1,3,12,1,7,7,3,3,3,2,,46
志村三丁目駅第４自転車駐車場（有料コイン式）,2,6,12,2,5,2,2,,3,4,6,2,46
板橋警察署加賀交番,,,,15,1,6,5,4,3,5,4,3,46
はすね駅西口内科,15,,5,,,4,7,8,,,,6,45
四葉集会所,3,2,,2,,5,6,5,3,5,6,8,45
仁木医院,,3,8,7,2,,,8,,17,,,45
仲宿いこいの家,5,11,8,1,,1,3,2,1,9,2,2,45
No.113遺跡,,,,4,,1,4,,,,8,27,44
下板橋駅第２自転車駐車場（有料コイン式）,5,10,4,2,1,4,10,1,3,1,2,1,44
根ノ上遺跡,1,1,1,1,1,4,8,6,7,4,6,4,44
道路補修工事（1704）,9,6,14,,10,1,4,,,,,,44
板橋第五中学校,1,2,1,10,1,5,5,4,4,4,2,5,44
望月内科クリニック,11,7,,6,8,,5,,7,,,,44
No.170遺跡,3,5,20,,,,1,,4,7,,3,43
はすぬま内科,8,,,,,4,2,8,,21,,,43
下赤塚児童遊園,,,,11,1,5,4,5,3,5,4,5,43
志村第二小学校,2,,,12,1,6,6,2,3,4,3,4,43
城北交通公園,8,16,1,4,,2,3,1,,1,2,5,43
中板橋駅周辺放置禁止区域図,9,1,1,5,6,5,7,,1,3,,5,43
仲町ふれあいセンター,,6,23,,,4,10,,,,,,43
道路補修工事（９）,,,,,,10,5,11,8,7,,2,43
板橋保育園,2,2,1,,3,3,6,3,,12,4,7,43
理化学研究所　板橋分室,1,1,2,,8,2,3,8,5,4,5,4,43
郷土芸能伝承館,2,17,10,1,2,2,1,1,2,1,2,1,42
新高島平駅北自転車駐車場（有料）,3,8,3,,2,8,2,1,7,2,1,5,42
板橋幸町クリニック,4,8,,,,,,8,10,12,,,42
高島平駅東口自転車駐車場（有料コイン式）,6,6,5,2,4,6,1,,2,2,3,4,41
赤塚溜池公園,,10,,1,1,2,3,1,1,5,9,8,41
大谷口いこいの家,1,3,5,5,,3,5,7,4,1,3,4,41
大門高架下自転車保管所,4,3,5,6,8,3,2,2,4,1,,3,41
東板橋庭球場,9,,,14,1,6,7,3,,,,1,41
成増保育園,5,2,2,6,,2,1,5,4,4,4,5,40
赤塚七丁目児童遊園,,,,10,1,5,4,5,3,4,4,4,40
中丸いこいの家,,4,7,3,2,3,2,1,2,6,6,4,40
氷川神社,6,,4,2,1,,1,5,3,5,7,6,40
志村三丁目駅第５自転車駐車場（有料コイン式）,4,6,5,7,1,1,,1,4,,7,3,39
清水図書館,4,3,13,4,3,1,2,2,2,2,,3,39
いたばし総合ボランティアセンター,2,4,19,2,,1,,,,1,2,7,38
なりますいこいの家,3,6,5,,,1,3,5,6,3,2,4,38
株式会社アズマ,,,4,1,3,1,2,7,5,3,5,7,38
高島平区民館,1,4,9,2,2,3,3,3,1,4,3,3,38
志村警察署,,2,,9,1,4,4,3,3,5,3,4,38
消費者センター,5,6,,3,8,2,4,2,,2,3,3,38
西台三丁目集会所,5,8,18,4,2,,,,,,,1,38
道路補修工事（17）,,,,,9,11,1,7,8,2,,,38
道路補修工事（1705）,3,9,19,1,6,,,,,,,,38
氷川図書館,3,7,11,2,,2,1,3,3,1,3,2,38
本蓮沼駅周辺放置禁止区域図,3,1,2,2,1,1,9,1,9,2,5,2,38
No.28遺跡,1,8,9,,1,,6,5,1,,3,3,37
高島平警察署下赤塚交番,,1,1,11,1,4,4,2,3,4,3,3,37
石神井川緑道,,,,10,1,8,5,3,4,3,3,,37
赤塚六丁目公園,,,,13,1,4,4,2,3,4,3,3,37
板橋三丁目おうぎ小広場,,3,,10,1,9,5,2,1,1,1,4,37
かないくぼ保育園,4,15,4,2,2,1,5,,,1,2,,36
めぐみ薬局氷川町店,1,1,1,5,4,3,3,3,4,5,3,3,36
梶山児童遊園,,,,10,1,4,4,3,3,4,4,3,36
佐藤医院,9,7,3,5,6,6,,,,,,,36
斎藤医院,,7,,,,4,,9,2,11,,3,36
志村一丁目8～11番地先,1,,,9,1,4,3,3,3,6,3,3,36
舟渡病院,2,7,2,2,3,5,2,4,9,,,,36
小豆沢公園,14,10,,1,1,3,1,1,1,,3,1,36
常盤台区民事務所・地域集会室,,,1,,1,5,7,8,4,3,4,3,36
Baby＆Beans,1,1,2,6,2,5,5,1,6,1,2,3,35
No.101遺跡,1,,10,2,3,3,1,,4,1,4,6,35
加賀一丁目公園,,2,,10,1,5,5,2,3,3,3,1,35
上板橋保育園,3,6,6,5,1,2,4,1,1,2,,4,35
成増ヶ丘薬局,2,,1,3,3,3,3,3,2,8,5,2,35
前野公園,3,7,,1,,4,,2,4,,3,11,35
東武練馬駅周辺放置禁止区域図,12,2,5,3,,1,3,1,2,1,2,3,35
道路補修工事（8）,,,,,,9,9,1,,13,2,1,35
日曜寺,2,2,1,,,2,1,8,4,7,4,4,35
たにもとクリニック,3,,3,3,,2,4,2,6,6,2,3,34
安養院,3,2,3,5,4,3,1,4,1,3,2,3,34
高島平駅・新高島平駅周辺放置禁止区域図,5,6,5,3,,4,4,2,1,2,,2,34
志村消防署志村坂上出張所,,,,10,1,5,3,2,3,4,3,3,34
赤塚福祉事務所,1,2,16,3,2,3,3,2,,1,,1,34
板橋第四小学校,2,3,,10,1,6,7,3,,1,1,,34
No.24遺跡,1,17,,,,,1,4,,5,3,2,33
いたばしボローニャ子ども絵本館,1,6,8,5,1,1,1,3,,1,3,3,33
クオール薬局中板橋店,1,1,1,4,3,3,3,3,3,4,3,4,33
グランダ大山,3,6,1,4,1,2,2,,2,3,3,6,33
