,2018年,,,,,,,,,2019年,,,
成増駅南口第４自転車駐車場（有料）,26,36,31,40,53,43,32,35,25,34,37,73,465
熊野地域センター,27,19,14,10,28,23,61,50,50,64,62,48,456
桜川地域センター,14,29,8,10,33,19,52,58,46,62,58,61,450
まなびの森保育園下赤塚,1,,1,2,17,30,73,86,42,45,80,65,442
あずさわ児童館,34,45,23,36,88,33,28,25,29,28,37,33,439
下赤塚地域センター,14,6,2,6,28,23,44,56,38,60,85,53,415
板橋本町駅第４自転車駐車場（有料）,35,34,29,22,42,38,32,25,27,35,31,53,403
成増地域集会室,30,32,34,29,31,20,35,48,35,26,45,29,394
西台駅東自転車駐車場（有料）,12,25,14,25,28,18,12,35,47,44,53,78,391
成増駅北口第２自転車駐車場（有料）,43,43,24,40,37,39,34,24,21,19,34,32,390
高島平地域センター,8,9,12,4,17,16,37,40,50,55,50,77,375
西台集会所,2,3,,,7,10,50,24,39,25,60,154,374
ときわ台駅南口自転車駐車場（有料）,13,18,26,25,60,28,31,33,25,28,30,53,370
仲宿地域センター,22,14,16,17,33,12,31,29,39,46,50,60,369
赤塚支所,46,38,29,26,43,27,23,13,34,27,22,36,364
高島平児童館,30,28,19,37,74,20,40,17,26,19,22,28,360
板橋健康福祉センター,26,38,39,48,30,26,23,20,31,37,17,23,358
氷川児童館,21,21,27,40,89,21,21,25,28,18,24,22,357
西台駅高架下自転車駐車場（有料）,8,5,2,6,4,8,3,23,68,52,78,99,356
清水児童館,27,26,21,21,66,23,29,23,27,27,33,28,351
東武練馬駅自転車駐車場（有料）,33,22,24,20,31,34,27,26,33,19,35,47,351
蓮根地域センター,13,10,14,17,21,39,27,29,33,41,55,39,338
成増駅南口第５自転車駐車場（有料）,,,,30,20,26,29,36,32,43,32,79,327
板橋区役所前駅周辺放置禁止区域図,32,31,22,20,24,22,24,32,28,30,26,32,323
成増駅南口自転車駐車場（有料）,31,25,17,14,20,20,17,23,25,25,40,59,316
南前野児童館,24,20,18,22,61,20,32,15,34,26,20,24,316
富士見地域センター,14,7,6,7,24,10,46,24,33,50,54,38,313
赤塚七丁目集会所,26,19,7,4,14,14,30,19,33,42,60,42,310
四葉集会所,21,12,6,2,40,14,18,39,23,26,44,53,298
大谷口地域センター,26,33,16,4,21,18,16,26,22,31,35,50,298
前野地域センター,19,18,17,13,22,19,21,23,25,47,38,31,293
志村坂上地域センター,33,25,17,11,18,9,21,25,24,33,33,43,292
清水地域センター,14,9,16,17,18,14,28,25,31,41,37,39,289
大谷口二丁目集会所,3,,,,5,5,17,15,32,61,44,105,287
成増三丁目集会所,13,17,11,9,21,15,20,25,22,39,39,49,280
板橋地域センター,23,23,17,20,22,21,15,24,16,35,24,36,276
大和町自転車駐車場（有料）,17,14,19,15,25,18,42,21,19,22,27,30,269
徳丸タウンブリッジ自転車駐車場（有料）,24,15,21,20,33,17,19,20,18,19,28,32,266
富士見台児童館,19,21,14,9,48,22,17,17,21,25,26,23,262
上板橋駅北自転車駐車場（有料）,25,18,14,13,18,28,32,18,13,17,21,40,257
新板橋駅前高架下自転車駐車場（有料）,18,25,21,18,27,23,27,17,15,15,22,28,256
常盤台集会所,12,13,11,9,12,13,10,22,43,44,35,31,255
水車公園前自転車保管所,26,18,20,20,29,22,14,23,20,22,17,23,254
小茂根一丁目集会所,5,7,4,5,19,5,10,21,38,52,39,44,249
若木小学校,9,13,12,13,65,26,28,15,26,12,8,10,237
高島陸橋交差点A自転車駐車場（有料）,34,12,15,25,26,16,10,14,24,15,19,25,235
赤塚健康福祉センター,32,26,15,11,33,16,10,12,17,26,14,21,233
金沢小学校,13,18,17,17,13,29,59,8,17,14,13,14,232
情報処理センター,29,21,15,9,19,19,23,18,17,22,21,16,229
板橋西清掃事務所,15,20,11,13,20,19,13,17,29,19,32,21,229
赤塚六丁目集会所,19,11,5,7,11,18,13,22,22,20,15,59,222
蓮根集会所,3,2,,2,7,9,9,18,31,30,48,63,222
見次公園内集会所,27,12,,1,6,9,23,12,31,25,29,46,221
小竹向原駅自転車駐車場（有料ゲート式）,11,16,9,39,19,10,12,13,24,17,16,24,210
蓮根駅自転車駐車場（有料）,6,12,10,10,14,8,11,9,24,20,24,55,203
志村福祉事務所,10,19,7,7,16,6,8,23,18,28,28,32,202
ときわ台駅北口第１自転車駐車場（有料）,19,18,9,16,19,19,23,9,10,10,20,27,199
本蓮沼駅自転車駐車場（有料）,25,19,10,13,14,14,18,12,15,13,18,27,198
加賀中学校,19,15,9,12,22,17,35,10,16,13,7,21,196
大山東集会所,14,4,9,3,13,11,27,27,20,19,22,26,195
板橋郵便局前自転車保管所,27,24,19,8,24,16,10,15,10,14,16,12,195
高島平二丁目集会所,1,3,5,10,16,14,21,30,27,15,19,32,193
南常盤台一丁目集会所,1,1,1,,9,6,21,26,29,30,33,36,193
赤塚新町光が丘集会所,15,5,1,,4,11,24,20,19,21,34,35,189
舟渡地域センター,11,19,6,11,30,11,15,22,11,11,21,20,188
はちすクリニック,5,22,7,19,17,16,31,6,3,24,19,17,186
常盤台地域集会室,17,17,6,10,28,30,9,11,13,21,10,14,186
ときわ台駅北口第２自転車駐車場（有料）,18,14,10,17,26,8,17,6,11,13,17,26,183
中台地域センター,17,15,10,11,17,6,17,11,25,13,16,24,182
志村健康福祉センター,21,7,17,13,43,9,10,18,7,19,1,16,181
南板橋児童館,16,8,7,3,23,4,8,12,49,14,14,22,180
なります児童館,7,7,7,7,15,10,7,12,24,27,28,26,177
ときわ台駅北口第４自転車駐車場（有料ゲート式）,12,14,15,13,12,17,14,19,14,8,17,21,176
上板橋第二中学校,3,13,13,12,9,14,44,10,15,16,10,17,176
赤塚福祉事務所,15,6,2,6,11,9,6,8,24,25,23,40,175
新河岸水再生センター前臨時駐車場,18,26,10,12,17,15,20,17,7,6,9,11,168
蓮根児童館,14,8,5,8,15,8,12,19,19,20,21,19,168
大山東児童館,23,9,12,5,27,8,12,26,10,8,11,15,166
板橋駅自転車駐車場（有料）,21,12,4,10,18,18,12,16,6,14,16,19,166
事業所内保育所帝京わかくさ保育園,1,1,1,1,6,9,10,18,18,26,43,31,165
栄町集会所,8,8,6,3,10,13,13,21,24,20,17,20,163
板橋フレンドセンター,17,14,13,9,13,9,20,15,16,7,13,17,163
本蓮沼駅第３自転車駐車場（有料）,29,22,10,12,8,15,16,3,9,6,9,24,163
加賀小学校,16,47,11,9,14,10,5,7,7,12,10,13,161
志村坂上駅自転車駐車場（有料コイン式）,29,20,18,9,12,14,17,4,9,6,14,7,159
板橋区役所前駅西自転車駐車場（有料）,14,10,15,3,16,9,13,11,17,15,9,27,159
はすのみ児童館,9,5,6,10,35,15,9,21,10,11,11,16,158
清水医院,5,4,6,6,5,9,7,12,42,31,25,4,156
大山らる小規模保育園,,3,3,2,5,9,11,16,21,10,44,32,156
美術館,12,13,9,13,25,10,5,17,13,13,8,18,156
ゆりの木児童館,27,17,7,7,19,11,8,12,17,11,11,7,154
高島平区民事務所,19,11,6,10,21,11,10,9,6,14,13,24,154
高島平九丁目集会所,20,5,8,6,8,5,10,8,15,18,16,33,152
大山東方クリニック,8,2,,4,4,12,10,7,40,43,16,5,151
板橋福祉事務所,5,6,1,3,12,4,19,21,19,18,27,16,151
下板橋駅第１自転車駐車場（有料）,15,15,5,10,17,10,15,12,17,11,9,14,150
板橋区役所前駅,22,17,10,9,15,10,8,10,11,14,8,13,147
YUMEパーク・大和町自転車駐車場（有料コイン式）,12,7,7,11,19,17,18,6,8,10,12,19,146
グリーンカレッジホール（シニア学習プラザ）,12,4,3,23,14,13,9,10,13,21,9,15,146
レストランまき,19,21,18,8,19,14,5,14,10,4,6,6,144
志村コミュニティホール,35,18,6,7,8,11,14,9,9,7,16,4,144
志村坂上駅北自転車駐車場（有料コイン式）,30,19,10,11,9,13,16,6,3,6,15,5,143
渡邉医院,13,17,9,5,9,13,3,6,29,21,12,6,143
西台三丁目集会所,1,1,3,1,7,7,12,19,26,20,26,19,142
高島平駅第１自転車駐車場（有料）,10,4,9,11,10,10,9,15,12,11,21,19,141
志村三丁目駅第２自転車駐車場（有料）,13,4,6,9,12,12,14,11,7,19,14,19,140
きたのホール,13,14,10,7,7,3,9,9,9,14,22,22,139
さかうえ児童館,16,14,2,13,44,9,8,9,5,6,7,4,137
成増公園前自転車駐車場（有料）,24,21,5,5,5,7,13,8,10,7,12,20,137
大谷口北町集会所,,,,,5,11,11,17,20,31,20,22,137
徳丸三丁目集会所,20,11,4,4,9,5,10,14,7,15,12,26,137
赤塚児童館,21,8,7,6,17,12,5,22,7,11,9,10,135
板橋第二中学校,5,8,7,11,6,26,30,4,12,7,5,14,135
西尾医院,7,15,2,2,10,5,8,11,21,38,11,4,134
板橋区保健所,11,11,7,9,6,8,5,8,12,9,25,22,133
志村ふれあい館,13,5,,17,26,10,7,12,15,10,5,12,132
戸田橋下臨時駐車場入口,11,9,12,8,19,10,12,2,31,10,2,4,130
志村児童館,15,13,6,8,24,12,6,3,12,12,8,11,130
板橋区役所前駅東自転車駐車場（有料）,16,12,8,8,19,12,7,12,13,9,11,3,130
板橋駅西口自転車駐車場（有料コイン式）,16,13,5,9,9,11,7,8,11,11,11,18,129
成増駅周辺放置禁止区域図,27,2,11,5,7,1,10,3,8,19,19,15,127
成増駅南口第２自転車駐車場（有料）,11,5,12,14,6,10,4,8,9,15,13,20,127
こども動物園,24,17,15,6,9,9,7,17,12,3,3,4,126
高島平四丁目集会所,6,1,,4,5,5,17,15,29,15,12,17,126
新板橋駅・板橋駅・下板橋駅周辺放置禁止区域図,14,2,20,2,10,11,5,19,14,7,5,15,124
板橋いこいの家,26,17,8,4,6,9,10,7,7,2,15,13,124
いたばし観光センター,19,18,9,8,15,7,15,5,6,10,4,6,122
赤塚新町保育園,14,8,5,1,5,2,7,4,15,19,26,16,122
高島平一丁目集会所,6,2,,2,8,4,14,15,10,21,27,12,121
上板橋児童館,7,,2,9,25,7,11,8,15,10,13,14,121
藤田医院,6,15,7,5,4,12,6,8,10,28,14,5,120
緑が丘児童館,9,7,5,13,20,21,18,5,6,7,5,4,120
赤塚高台集会所,6,1,6,3,11,4,7,13,17,10,17,24,119
東武練馬駅東自転車駐車場（有料コイン式）,10,7,5,7,17,8,12,6,16,10,10,11,119
小豆沢集会所,12,5,,,4,3,11,6,14,13,24,26,118
東新集会所,6,6,2,,9,3,9,17,12,20,23,11,118
板橋東清掃事務所,18,10,15,15,15,6,8,6,4,10,6,4,117
ときわ台はしもと小児科アレルギー科,5,15,4,4,,15,,14,15,34,,10,116
しらさぎ児童館,8,3,6,6,30,5,10,11,8,7,8,13,115
高島平健康福祉センター,7,12,8,7,18,4,8,14,7,6,7,17,115
篠遠医院,5,20,4,5,4,6,9,8,24,14,14,2,115
下赤塚区民事務所,22,9,4,5,13,2,7,12,5,12,6,17,114
中台三丁目集会所,1,,,1,4,1,8,17,18,14,10,40,114
西徳第二公園内集会所,1,,,,4,6,40,10,11,11,9,21,113
田丸小児科内科医院,6,8,,,8,6,8,2,10,38,18,9,113
平山医院,10,9,3,9,6,7,9,9,23,18,8,2,113
蓮根メディカルクリニック,6,,17,10,,10,8,7,14,25,11,5,113
高島平駅第２自転車駐車場（有料）,6,6,8,7,18,9,6,10,3,7,16,16,112
東武練馬駅北口第２自転車駐車場(有料),14,3,3,8,7,13,9,4,4,11,13,23,112
成増一丁目自転車駐車場（有料）,17,14,8,10,3,6,6,1,3,6,10,27,111
高島平ベビールーム,1,,,,6,3,7,16,14,9,29,25,110
七軒家集会所,1,18,1,,7,5,12,18,14,5,16,13,110
板橋区平日夜間応急こどもクリニック,7,7,8,5,13,4,7,13,20,13,5,8,110
木村内科クリニック,4,16,5,3,5,3,6,4,14,30,10,10,110
中央図書館,17,13,8,7,23,9,9,12,4,2,3,2,109
蓮根区民事務所,10,14,10,10,13,9,7,4,8,9,7,8,109
大和集会所,8,5,6,3,8,2,5,8,17,14,11,21,108
区立文化会館,13,10,6,8,9,12,9,6,15,10,4,5,107
常盤台区民事務所,13,14,1,6,17,10,4,6,7,8,5,16,107
蓮根第二児童館,9,6,4,9,18,12,8,7,11,11,4,8,107
郡医院,4,16,,6,5,9,8,4,14,28,7,3,104
志村城山公園内集会所,11,4,4,6,12,4,4,13,10,9,11,16,104
事業所内ブルーポピー保育園,,,,,3,3,4,5,24,20,20,25,104
志村三丁目駅第１自転車駐車場（有料）,20,10,6,8,10,8,13,8,5,10,3,2,103
萩原医院,16,7,4,7,10,5,8,3,5,20,12,5,102
高島平つぼみ保育園,1,3,,,5,7,7,16,9,13,19,21,101
成増駅南口第６自転車駐車場,7,4,7,9,4,7,12,3,5,10,11,21,100
泉福寺,4,6,6,3,2,6,4,3,8,27,13,18,100
大山駅,11,11,9,7,15,9,8,5,10,10,4,1,100
こども動物園高島平分園,9,11,5,6,12,9,10,10,11,6,5,5,99
徳丸地域センター,12,8,5,8,14,5,8,5,8,10,1,15,99
リサイクルプラザ,7,12,7,6,22,7,11,6,3,6,5,6,98
高島陸橋交差点F自転車駐車場（有料）,13,13,8,11,13,4,8,4,8,8,3,5,98
本町集会所,9,1,,2,3,3,15,5,8,8,21,23,98
西徳児童館,3,5,6,1,20,1,8,3,14,18,8,10,97
下赤塚ベビールーム,,2,2,2,5,5,12,18,8,10,21,11,96
香川内科小児科医院,3,17,3,7,4,4,5,8,6,26,6,7,96
志村三丁目駅第３自転車駐車場（有料）,15,5,3,8,10,4,8,7,6,7,9,14,96
前野町六丁目集会所,5,2,,,3,3,9,17,16,14,8,19,96
下赤塚駅周辺放置禁止区域図,23,15,2,2,11,5,3,7,6,10,5,6,95
前野ホール,15,15,1,10,11,15,7,4,2,2,7,6,95
観明寺,9,12,9,5,9,5,7,9,11,7,6,5,94
舟渡ホール,9,4,3,12,10,9,3,6,10,10,5,12,93
熱帯環境植物館（グリーンドームねったいかん）,10,14,8,4,8,6,9,9,11,7,2,5,93
宮下内科医院,1,2,6,6,,7,11,8,6,30,9,6,92
新河岸保育園,1,1,17,32,3,1,1,7,3,4,8,14,92
仲町ふれあい館,7,8,7,6,14,11,13,9,5,6,5,1,92
向原ベビールーム,,2,1,,2,3,7,8,8,11,27,21,90
中台二丁目集会所,5,1,,,3,1,4,4,8,21,23,20,90
堀井医院,9,2,,12,3,13,,4,32,2,13,,90
徳丸ふれあい館,7,15,4,4,19,6,6,5,3,6,7,7,89
成増駅北口第４自転車駐車場（有料コイン式）,15,10,3,3,2,,5,6,15,2,13,14,88
清水いこいの家,14,11,8,12,12,5,6,3,2,9,,6,88
東板橋図書館,17,18,4,7,20,3,4,7,4,4,,,88
内村医院,8,6,9,5,5,3,6,12,9,8,16,1,88
志村図書館,24,16,2,3,10,7,5,5,6,2,3,4,87
成増駅北口第１自転車駐車場（有料）,15,8,5,6,6,1,6,,7,5,5,23,87
富士見台集会所,9,2,3,1,5,2,3,9,13,14,16,10,87
赤塚植物園,31,13,5,1,1,2,10,4,3,3,5,8,86
大山駅自転車駐車場（有料コイン式）,6,4,3,7,6,15,4,7,6,6,5,17,86
井垣医院,5,7,2,5,3,2,3,5,13,25,13,2,85
新高島平駅北自転車駐車場（有料）,5,5,6,4,5,12,7,9,11,6,10,5,85
大山駅周辺放置禁止区域図,8,2,8,1,5,12,5,7,14,4,11,8,85
うぃず成増保育園,,,1,,4,,5,20,8,12,19,15,84
紅梅児童館,6,1,9,2,16,8,7,9,9,3,8,6,84
事業所内びおら保育園,,,,,3,3,3,7,21,11,10,26,84
小竹向原駅北自転車駐車場（有料）,7,9,4,8,10,7,8,10,5,3,3,10,84
小豆沢福祉園,13,11,6,8,10,4,5,7,5,7,4,4,84
赤星医院,5,6,5,5,2,3,3,5,3,33,12,2,84
高島陸橋交差点D自転車駐車場（有料）,7,9,8,9,12,4,5,5,6,8,5,5,83
小規模保育園マミー保育所,1,,,,2,4,11,7,10,8,21,19,83
上板橋健康福祉センター内集会所,3,2,1,1,5,3,10,11,3,6,15,23,83
杉内医院,8,6,10,2,6,4,,3,17,22,3,2,83
徳丸石川集会所,6,1,1,1,8,6,12,6,9,8,7,18,83
南ときわ台耳鼻咽喉科,4,10,5,4,5,8,,4,10,28,2,3,83
佐藤クリニック,4,8,3,4,4,3,3,5,9,23,13,3,82
ウエルネス保育園成増小規模保育園,,,2,,4,1,6,9,5,12,27,15,81
教育科学館,9,3,3,11,7,15,6,3,4,9,2,9,81
水車公園,30,14,1,1,4,6,6,7,2,3,2,5,81
東光寺,7,8,5,8,8,4,10,6,9,6,6,4,81
No.29遺跡,70,3,,,,,,3,,1,2,1,80
大原生涯学習センター,11,7,13,7,8,8,4,3,4,1,5,9,80
中板橋駅東自転車駐車場（有料）,7,3,6,8,10,4,12,5,3,6,7,9,80
板橋公園,9,12,5,2,9,4,12,9,5,3,4,6,80
幸町集会所,1,2,1,,6,5,15,7,11,15,8,8,79
ときわ台駅北口第３自転車駐車場（有料）,10,4,3,11,9,4,5,3,5,3,9,12,78
新河岸水再生センター前臨時駐車場入口,7,12,4,5,4,12,11,6,4,2,1,10,78
中根橋小学校,12,6,8,4,8,2,3,5,3,7,11,9,78
有賀小児クリニック,,10,6,,9,,6,5,,21,13,8,78
メリーポピンズ東武練馬ルーム,6,1,2,2,8,1,1,7,1,6,21,21,77
ロータスホール,20,4,3,10,13,4,3,5,8,2,1,4,77
荒川戸田橋陸上競技場,6,10,2,9,6,5,7,6,8,5,6,7,77
清水町第二集会所,5,1,1,3,4,5,3,1,15,9,10,20,77
ときわ台駅周辺放置禁止区域図,7,4,4,11,5,,10,9,1,7,8,10,76
前野町三丁目集会所,11,12,,,7,,8,8,9,6,7,7,75
弥生児童館,11,3,6,4,17,8,3,4,5,4,3,7,75
エコポリスセンター,6,4,1,4,11,16,9,5,3,8,,7,74
赤塚体育館,15,6,1,3,11,6,6,5,6,6,4,5,74
南前野保育園,8,5,2,,7,4,2,2,5,8,13,18,74
グリーンホール（旧産文ホール）,6,6,4,4,11,4,5,5,2,7,8,11,73
蓮根駅・西台駅周辺放置禁止区域図,11,2,,6,9,1,4,6,8,10,7,7,71
向原ホール,9,7,7,9,7,7,2,2,2,4,5,9,70
清水町集会所,6,1,3,,3,,2,2,10,6,14,23,70
日曜寺,5,3,7,4,8,5,4,7,8,8,7,4,70
志村坂上駅周辺放置禁止区域図,26,16,,5,2,1,4,1,2,3,8,1,69
志村坂上区民事務所,17,8,3,3,4,3,6,3,1,4,5,12,69
戸田橋下臨時駐車場,3,5,3,5,6,5,14,8,3,4,3,9,68
志村橋児童館,6,3,,5,12,1,7,4,7,3,7,13,68
東板橋体育館,19,16,2,4,7,3,2,5,1,5,1,3,68
高島陸橋交差点C自転車駐車場（有料）,10,6,4,11,7,3,6,3,4,8,1,4,67
上板橋駅周辺の放置禁止区域図,4,4,3,1,4,11,2,5,4,12,7,10,67
新河岸庭球場,8,11,6,8,12,8,6,2,4,2,,,67
板橋本町駅第１自転車駐車場（有料）,9,7,5,3,7,4,9,2,2,7,5,7,67
いたばしボローニャ子ども絵本館,11,9,2,3,16,3,14,3,4,1,,,66
志村消防署,8,7,4,,2,4,5,14,10,4,3,5,66
小規模保育園ぶれあ保育園・赤塚,,,3,,2,4,5,5,11,11,16,9,66
天木診療所,,,,,,,7,,,39,15,5,66
高島平診療所堀口内科小児科,6,7,4,3,5,2,2,4,14,13,5,,65
坂下二丁目集会所,6,2,,,4,4,6,8,12,3,7,13,65
仲宿いこいの家,7,8,4,6,8,2,9,3,3,7,5,3,65
徳丸五丁目集会所,14,4,1,,5,2,3,,10,3,12,11,65
板橋交通公園,3,10,4,8,3,1,4,7,2,8,6,9,65
蓮根三丁目自転車駐車場（有料）,5,3,5,11,10,2,5,5,5,1,3,10,65
ひまわりキッズガーデン城山,9,7,1,2,5,1,4,5,4,7,6,13,64
あさひが丘保育園,26,13,5,,5,4,1,1,5,3,,,63
岩渕診療所,4,7,4,3,,4,9,6,14,4,,8,63
新河岸幼稚園,,1,,1,5,26,6,3,5,5,5,6,63
成増駅南口第３自転車駐車場（有料）,11,4,1,5,1,5,3,5,1,12,4,11,63
成増駅南口第7自転車駐車場,7,3,5,2,1,8,4,1,3,5,7,17,63
西台二丁目集会所,,,,,2,,7,7,4,7,16,20,63
岩田医院,4,5,,4,5,5,7,3,14,11,2,2,62
成増駅北口第５自転車駐車場（有料）,10,2,,5,1,8,8,,10,1,5,12,62
アイル板橋小規模保育園,,,,,3,5,7,5,4,5,24,8,61
ベネッセ前野町保育園,,,2,,3,1,4,3,8,14,12,14,61
双葉町クリニック,15,,,,,14,,3,1,27,,,60
智清寺,5,5,8,4,1,2,3,5,10,7,5,5,60
ハイライフプラザいたばし,15,1,3,5,11,2,6,5,2,1,6,2,59
高島平駅・新高島平駅周辺放置禁止区域図,10,5,4,2,6,4,4,6,1,,4,13,59
水野医院,,,,12,3,5,7,5,13,4,10,,59
浅倉内科クリニック,7,,,3,,5,7,,15,18,,4,59
仲町区民事務所,7,2,2,4,5,12,1,4,1,11,6,4,59
板橋警察署,12,8,5,5,10,5,6,3,2,2,,1,59
山中児童遊園内集会所,2,,,,5,7,3,4,16,8,8,5,58
小豆沢体育館,12,9,2,,9,4,4,,,3,11,4,58
田島クリニック,5,10,,9,2,2,3,5,8,6,6,2,58
東新保育園,1,3,1,1,4,1,,2,3,6,8,28,58
二階堂調剤薬局ときわ台店,1,13,5,4,5,5,4,6,4,6,5,,58
板橋本町駅周辺放置禁止区域図,13,4,1,1,7,3,8,5,2,4,3,7,58
文殊院,10,7,7,4,5,4,2,1,,16,1,1,58
コスモメイトときわ台小規模保育園,1,,,1,2,1,,2,4,6,28,12,57
ねづクリニック,,12,,6,3,5,,10,10,4,7,,57
根ノ上遺跡,5,6,6,5,7,5,5,5,2,4,2,4,56
中板橋駅南口自転車駐車場（有料）,5,12,3,3,2,7,1,4,2,4,2,11,56
道路補修工事（1805）,5,7,16,8,12,7,1,,,,,,56
下板橋駅第２自転車駐車場（有料コイン式）,18,8,5,2,2,4,4,3,,1,6,2,55
上板橋体育館,8,15,7,1,5,1,3,1,2,2,,10,55
No.99遺跡,6,2,5,3,6,10,1,3,4,4,5,5,54
紅梅保育園,3,1,1,1,9,12,,2,4,3,7,11,54
高島平すみれ保育園,1,3,,2,5,2,3,2,4,3,15,14,54
小規模保育園ドリームキッズ板橋保育園,,,,,2,4,3,6,7,4,16,12,54
東新ベビールーム,,1,1,1,4,1,3,4,4,13,8,14,54
東新児童館,5,3,2,2,14,5,,3,3,3,5,9,54
本蓮沼公園内集会所,6,1,,1,2,2,7,3,3,7,7,15,54
大門高架下自転車保管所,6,4,5,3,2,11,8,3,2,5,4,,53
多比良医院,,10,4,5,3,4,2,4,6,8,4,2,52
道路補修工事（1804）,2,1,18,6,7,3,5,4,3,3,,,52
No.134遺跡,,5,,2,13,3,7,3,13,1,3,1,51
No.165遺跡,2,9,10,2,5,3,1,3,4,3,8,1,51
コスモメイト成増保育園本園,,,,,6,2,1,2,,4,13,23,51
ひまわりベビールーム小竹向原,,1,1,,6,,1,4,1,9,17,11,51
見次公園,27,14,3,1,1,,1,2,,1,,1,51
若葉ゆめの園事業所内保育所,,,,,2,5,4,9,3,4,13,11,51
中板橋駅北口自転車駐車場（有料）,8,4,5,4,7,8,3,,1,3,1,7,51
東山公園内集会所,6,1,,,6,,3,3,10,5,8,9,51
道路補修工事（1806）,4,5,11,5,11,8,2,5,,,,,51
内田診療所,6,7,5,5,8,3,8,,6,,,3,51
白鳩保育園分園,2,1,,,3,,1,1,8,8,10,17,51
板橋幸町クリニック,,3,,,2,4,8,2,10,20,2,,51
弥生小学校,6,9,4,5,7,11,2,,3,2,2,,51
さいしょ小児科,5,12,5,6,3,,5,,6,2,6,,50
ひまわりキッズガーデン志村,21,15,1,2,6,1,,,1,2,1,,50
近藤胃腸科内科クリニック,2,5,,5,2,9,4,4,5,10,2,2,50
水久保公園内集会所,4,2,,,3,2,8,,3,11,8,9,50
清水図書館,11,3,1,6,8,,5,5,2,2,2,5,50
清水町小規模保育園,2,,1,2,4,,4,3,1,6,13,14,50
赤塚六丁目保育園,13,5,2,1,8,,,2,1,3,7,8,50
分園友和の森保育園,12,4,,,4,,1,6,1,9,9,4,50
本蓮沼駅周辺放置禁止区域図,13,8,2,2,3,1,,4,6,2,2,7,50
本蓮沼駅第２自転車駐車場（有料ゲート式）,10,8,2,5,5,1,10,,3,,1,5,50
ソーシン薬局ときわ台店,,7,5,3,4,2,1,6,12,5,4,,49
なりますいこいの家,4,2,6,3,7,2,,4,3,5,11,2,49
新河岸児童館,1,2,2,5,14,2,6,1,6,3,1,6,49
徳丸ヶ原公園内集会所,2,,,5,3,1,4,7,7,2,8,10,49
板橋区平和公園,4,9,3,2,3,2,3,6,6,2,1,8,49
たにもとクリニック,2,4,2,3,3,3,4,4,2,11,3,7,48
自転車駐車場改修工事（１）,,,,,16,6,6,6,7,2,5,,48
新河岸一丁目集会所,,,,1,3,3,4,8,12,4,9,4,48
北野保育園分園,14,6,2,,6,2,2,,1,7,5,3,48
さかうえ保育園,13,6,1,1,7,6,1,2,,1,6,3,47
梶山児童遊園,24,11,1,1,4,2,,1,1,1,,1,47
向原児童館,1,3,3,3,17,2,2,9,2,1,3,1,47
子ども家庭支援センター,5,6,3,2,6,1,3,3,6,1,3,8,47
小規模保育園あずさわ保育園,1,,2,,4,1,2,5,4,7,11,10,47
消費者センター,8,6,4,2,1,4,6,,,12,3,1,47
仁木医院,6,5,,,,4,,7,,25,,,47
中丸いこいの家,6,5,2,5,5,4,7,5,1,1,1,5,47
北野ベビールーム,1,,2,,5,5,4,6,4,3,8,9,47
グリーンホール,7,5,3,1,8,2,3,14,3,,,,46
そう内科クリニック,,,,,,,,5,7,24,10,,46
